"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.41943779660045,0.97,0.454,0,"0","Satb2"
0,1.99970431077415,0.923,0.403,0,"0","Clstn2"
0,1.96580752606954,0.925,0.472,0,"0","Dab1"
0,1.88468986452377,0.619,0.174,0,"0","Cdh12"
0,1.80837429716959,0.678,0.43,0,"0","Tenm3"
0,1.78692667392705,0.976,0.741,0,"0","Tenm2"
0,1.72682052466187,0.994,0.808,0,"0","Frmd4a"
0,1.69832722758856,0.991,0.85,0,"0","Ptprd"
0,1.69331413912589,0.787,0.396,0,"0","Itpr1"
0,1.67475351578736,0.641,0.184,0,"0","4921534H16Rik"
0,1.61916736197714,0.565,0.21,0,"0","Lrfn5"
0,1.59716260032136,0.776,0.358,0,"0","Hs6st2"
0,1.55968653821062,0.838,0.454,0,"0","Dlg2"
0,1.54942070009673,0.903,0.492,0,"0","Ntm"
0,1.54206047792098,0.941,0.592,0,"0","Pcdh9"
0,1.54203732609472,0.786,0.325,0,"0","Arpp21"
0,1.52338004392743,0.933,0.577,0,"0","Tiam2"
0,1.50523900575939,0.462,0.208,0,"0","Kcnq5"
0,1.50478036481213,0.959,0.722,0,"0","Macrod2"
0,1.49562350308673,0.882,0.476,0,"0","Dok6"
0,1.4726557788904,0.858,0.487,0,"0","Khdrbs2"
0,1.46942141292478,0.787,0.326,0,"0","9130024F11Rik"
0,1.45687496857348,0.821,0.415,0,"0","Runx1t1"
0,1.41967957059104,0.573,0.213,0,"0","Tafa2"
0,1.35942506342365,0.504,0.189,0,"0","Hs6st3"
0,1.33447971290886,0.993,0.737,0,"0","Rbfox1"
0,1.33447786595884,0.735,0.458,0,"0","Mef2c"
0,1.31145930026914,0.984,0.752,0,"0","Nav3"
0,1.30128530067004,0.226,0.045,0,"0","Gm49678"
0,1.27900459876631,0.409,0.175,0,"0","Ldb2"
0,1.25718668264241,0.732,0.47,0,"0","Ralyl"
0,1.23037106644658,0.967,0.79,0,"0","Gpm6a"
0,1.21979167066048,0.999,0.889,0,"0","Gria2"
0,1.2111304805677,0.957,0.735,0,"0","Cadm2"
0,1.21046931108133,0.957,0.656,0,"0","Plxna4"
0,1.20965777610584,0.963,0.712,0,"0","Robo2"
0,1.20541990632305,0.745,0.383,0,"0","Gm26871"
0,1.19432873807747,0.825,0.44,0,"0","Dscam"
0,1.19016004624151,0.958,0.677,0,"0","Ppfia2"
0,1.17197694839688,0.322,0.086,0,"0","Tmtc1"
0,1.17136284954236,0.852,0.486,0,"0","Opcml"
0,1.16097466878061,0.383,0.158,0,"0","Dync1i1"
0,1.15111446695715,0.284,0.067,0,"0","Ccbe1"
0,1.11157976159067,0.989,0.741,0,"0","Myt1l"
0,1.09427392363807,0.318,0.098,0,"0","Gm30382"
0,1.07826853460861,0.843,0.517,0,"0","Aff2"
0,1.07011708358567,0.825,0.625,0,"0","Msra"
0,1.06512500304188,0.716,0.415,0,"0","Nrg3"
0,1.06181385389006,0.958,0.682,0,"0","Slc8a1"
0,1.05011127425599,0.744,0.371,0,"0","Xkr4"
0,1.04288583049463,0.415,0.183,0,"0","Bmpr1b"
0,1.03613359794889,0.902,0.582,0,"0","Hivep2"
0,1.0348625466509,0.979,0.809,0,"0","Ank2"
0,1.0264751781362,0.527,0.213,0,"0","Gm2164"
0,0.998545814661564,0.602,0.336,0,"0","Atp8a1"
0,0.986340603315331,0.632,0.325,0,"0","Ldlrad4"
0,0.972706353219994,1,0.974,0,"0","Celf2"
0,0.967539449597986,0.775,0.422,0,"0","Shtn1"
0,0.960166128742751,0.564,0.328,0,"0","Csrnp3"
0,0.947921225618563,0.758,0.442,0,"0","Clmp"
0,0.946657539016359,0.432,0.185,0,"0","Tnr"
0,0.933919662184792,0.734,0.446,0,"0","D430041D05Rik"
0,0.905247690728196,0.579,0.326,0,"0","Osbpl6"
0,0.898559493635294,0.923,0.59,0,"0","Lrrc7"
0,0.895025488777376,0.826,0.591,0,"0","Atrnl1"
0,0.893529251514785,0.929,0.68,0,"0","Phactr1"
0,0.893030563888132,0.949,0.721,0,"0","Cacna2d1"
0,0.892808371660052,0.899,0.694,0,"0","Nkain3"
0,0.889967150819739,0.411,0.178,0,"0","Gm32509"
0,0.88927493643245,0.765,0.487,0,"0","Nell2"
0,0.872487051399065,0.966,0.731,0,"0","Anks1b"
0,0.863517907925803,0.958,0.755,0,"0","Aff3"
0,0.842587137294317,0.805,0.534,0,"0","Tmem108"
0,0.831016965014993,0.369,0.143,0,"0","Fam135b"
0,0.830574716542974,0.737,0.494,0,"0","Cntn2"
0,0.815275413763745,0.868,0.584,0,"0","Cacna1c"
0,0.814647854769609,0.871,0.709,0,"0","Pde4d"
0,0.813069811940003,0.783,0.559,0,"0","Adgrl2"
0,0.792496989580485,0.878,0.716,0,"0","Bcl11a"
0,0.791948114790794,0.896,0.618,0,"0","Adgrl3"
