"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",1.62219224838072e-55,1.15058619561938,0.559,0.107,1.40984728306768e-51
"Eif2s3y",2.37743828799788e-33,-0.537532619421019,0.046,0.402,1.03311580804948e-29
"Tsix",1.49634034509692e-30,0.498944958375696,0.308,0.033,4.33489797974577e-27
"Uty",1.33501170360912e-27,-0.460549208726757,0.059,0.379,2.90064667901671e-24
"Ddx3y",5.93199000064838e-17,-0.275962328772658,0.038,0.248,1.0310985019127e-13
"Kdm5d",3.51803693047574e-15,-0.261090324097503,0.027,0.207,5.09587649379411e-12
"Dbi",1.93183041859137e-12,-0.203490082026159,0.903,0.961,2.39850545256822e-09
"mt-Atp6",4.45603539197765e-12,0.0707244604993833,1,1,4.84092544895972e-09
"Fabp7",1.04589106016256e-10,-0.234578132294579,0.862,0.908,1.00998213376364e-07
"mt-Co2",1.51186038759096e-10,0.0725327167741727,1,0.998,1.3139578628553e-07
"Tmsb4x",9.1245212628282e-10,-0.115134851958699,0.986,0.992,6.8633320169978e-07
"mt-Nd4",9.47646809388719e-10,0.0741414395295821,1,1,6.8633320169978e-07
"Rps20",1.17886950246539e-09,-0.198044050957102,0.778,0.857,7.88119603532821e-07
"Vim",2.32799059077013e-09,-0.251342273030745,0.678,0.785,1.39734553581501e-06
"mt-Co3",2.41171131483432e-09,0.0605402890373674,1,1,1.39734553581501e-06
"mt-Nd1",4.33071365165711e-09,0.0804422232558797,1,0.996,2.3523895216595e-06
"Ube2n",4.6349790486974e-09,-0.26468636679392,0.319,0.504,2.36956487718995e-06
"Magi1",5.48371356427663e-09,0.167779173242608,0.919,0.85,2.6477196992849e-06
"Sox2",5.99099157259246e-09,-0.258911661834147,0.468,0.633,2.74040567144216e-06
"Rplp0",6.75233884666412e-09,-0.208868904510205,0.759,0.869,2.83700499018346e-06
"Rpl35a",6.99198792079606e-09,-0.214234459761876,0.692,0.799,2.83700499018346e-06
"Ubc",7.29415587557867e-09,-0.25753783187569,0.414,0.59,2.83700499018346e-06
"H3f3a",7.64872408492288e-09,-0.125566822122068,0.914,0.941,2.83700499018346e-06
"Aldoc",7.83432513685457e-09,-0.300939267522175,0.254,0.432,2.83700499018346e-06
"Marcksl1",1.14319079214326e-08,-0.219031440497558,0.562,0.693,3.97418846980683e-06
"Rpl38",1.45676217293687e-08,-0.186551779747949,0.8,0.9,4.86950770961322e-06
"Oaz1",1.59653087240259e-08,-0.224179021743113,0.622,0.748,5.1390554859448e-06
"Rpl13",2.18227288028968e-08,-0.154120498215595,0.886,0.932,6.77361914378487e-06
