"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82","Leading Edge 83","Leading Edge 84","Leading Edge 85","Leading Edge 86","Leading Edge 87","Leading Edge 88","Leading Edge 89","Leading Edge 90","Leading Edge 91","Leading Edge 92","Leading Edge 93","Leading Edge 94","Leading Edge 95","Leading Edge 96","Leading Edge 97","Leading Edge 98","Leading Edge 99","Leading Edge 100","Leading Edge 101","Leading Edge 102","Leading Edge 103","Leading Edge 104","Leading Edge 105","Leading Edge 106","Leading Edge 107"
"HALLMARK_ANGIOGENESIS","0.908163265306122","1","0.14641623786055","0.23694825400484","0.615051965609186","14","Itgav","App","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","1","1","0.143902565267782","0.176987658246584","0.553977384590485","104","Prkce","Ccn1","Nfib","Kalrn","Prdm2","Cacna1a","Arhgef9","Zmiz1","Slc7a1","Celf2","Magi2","Cdon","Sipa1l1","Atrn","Dab2","Pten","Nipbl","Grk5","Pdlim5","Abcc1","Nek7","Map2k5","Smad7","Igf1r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.997950819672131","1","0.00759591053352814","-0.205394727538934","-0.524239137074209","56","Taldo1","Gstm5","Sirt1","Ccnb2","Vdac3","Ip6k1","Phkg2","Hspa4l","Psmg1","Ide","Cdkn3","Pcsk1n","Cnih2","Rfc4","Aurka","Ezh2","Nek2","Coil","Tsn","Gmcl1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.996948118006104","1","0.00667841440698826","-0.237206771778644","-0.637578599197203","172","Arhgdia","Marcks","Mapre1","Plk1","Ywhae","Myh9","Smc1a","Capzb","Arf6","Sac3d1","Stk38l","Fscn1","Llgl1","Mid1ip1","Ezr","Kif5b","Ccnb2","Cenpe","Fgd6","Tpx2","Smc3","Mark4","Cdc42bpa","Bcr","Uxt","Ralbp1","Mid1","Dock4","Arhgef2","Katnb1","Taok2","Arfip2","Incenp","Arhgap5","Flna","Bcar1","Aurka","Myh10","Birc5","Kif4","Dlg1","Dlgap5","Nek2","Rictor","Shroom2","Palld","Epb41l2","Cdc42ep4","Cttn","Pcnt","Sun2","Map1s","Cntrl","Cdc42","Kif2c","Rfc1","Bcl2l11","Arl8a","Cyth2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","0.972107438016529","1","0.0115202567953401","-0.239801764309183","-0.606160668183313","48","Adrm1","Eif2ak2","Mmp14","Sri","Selenos","Slc31a1","Chst2","Gnai3","Klf6","Tpbg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL2_STAT5_SIGNALING","0.935845213849287","1","0.013628036219219","-0.278988052021577","-0.720816140260226","76","S100a1","Dcps","Odc1","Rnh1","Snx9","Prnp","Twsg1","Bmpr2","Gabarapl1","Pnp","Ptrh2","Syt11","Smpdl3a","Cd81","Casp3","Ccnd2","Klf6","Hopx","Praf2","Ccnd3","Pdcd2l","Aplp1","Ptch1","Ctsz","Ckap4","Rhob","Ttc39b","Csf1","Etv4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.88469387755102","1","0.0179363489740654","-0.314302898865894","-0.823680864957065","105","Ncoa4","Slc2a1","Blvrb","Prdx2","Lrp10","Mkrn1","Glrx5","Agpat4","Arl2bp","Slc25a38","Gclm","Ctsb","Bpgm","Ubac1","Aldh1l1","Fbxo34","Hdgf","Ezh1","Cat","Bmp2k","Smox","Pgls","Gde1","Ypel5","Klf3","Nudt4","Foxo3","Ccnd3","Dcun1d1","Gmps","Tmem9b","H1f0","Alad","Narf","Sdcbp","Bsg","Minpp1","Atg4a","Gclc","Adipor1","Bnip3l","Rad23a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.881126173096976","1","0.0196032645039178","-0.304930506692499","-0.751207355640827","40","Cntfr","Tgfb2","Igfbp2","Pdk2","Nudt11","Ryr1","Camk1d","Fgfr3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.824847250509165","0.981961012510911","0.0221551238181839","-0.32851164273279","-0.853196004282075","86","Il6st","Sox3","Slc2a1","Blvrb","Igfbp4","Tubb2b","Dynlt3","Fasn","Abca3","Tob1","Unc119","Add3","Bag1","Asb13","Chpt1","Fkbp4","Dhcr7","Isg20l2","Abat","Tpbg","Amfr","Fdft1","Inhbb","Adcy9","Med24","Snx24","Arl3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.799140708915145","0.974561840140421","0.0268158762373842","-0.343405424055058","-0.78932081341615","23","Eif2ak2","Lap3","Cd47","Irf2","Psme1","Psma3","Csf1","Wars","Ogfr","Adar","Nub1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.792035398230089","0.974561840140421","0.0287861460642093","-0.365814349188066","-0.783507187950821","14","Srp14","Srp9","Sec11a","Dcx","Spcs1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.777659574468085","0.974561840140421","0.0277292221875017","-0.347571544603505","-0.822198221857103","28","Hey1","Trp53","Ncstn","Csnk1e","Ctnnb1","Ccnd2","Kat2a","Axin1","Adam17","Hdac2","Ptch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.702407002188184","0.924219739721295","0.0341204536062472","-0.391308216970675","-0.869340079801363","18","Gstm5","Gas1","Akap7","Ntng1","Adam10","Ephb4","Crocc","Adipor2","Shroom2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.647298674821611","0.874727938948122","0.0346410167413251","-0.364728511865549","-0.941737698430983","71","Nfe2l2","Il6st","Marcks","Sat1","Id2","Plpp3","Tnc","Sod2","Fjx1","Pnrc1","Slc16a6","Tubb2a","Yrdc","Birc2","Ehd1","Sqstm1","Smad3","Klf6","Rcan1","Litaf","Ccnl1","Abca1","Zbtb10","Dusp1","Tiparp","Rhob","Csf1","Vegfa","Tank","Kdm6b","Panx1","Snn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.601025641025641","0.834757834757835","0.0383995813369433","-0.371414919302828","-0.950474836846967","58","Mt1","Eif2ak2","Vcam1","Lap3","Psmb2","Sod2","Psma2","Isoc1","Sri","Ptpn1","Pnp","Bpgm","Irf2","Casp7","Lysmd2","Ptpn2","Psme1","Casp3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT","0.517276422764228","0.738966318234611","0.0448645113168564","-0.372550409917138","-1.00222602324713","173","Mt1","Ncl","Stmn1","Hspa8","Hnrnpd","Hus1","Sfpq","Marcks","Pttg1","Sap30","Atf5","Odc1","Srsf2","Plk1","Smc1a","Prmt5","Nasp","Kif5b","Dr1","Upf1","Cks2","Ccnb2","Sqle","Mcm6","Cdc20","Cenpe","Snrpd1","Ube2c","Cbx1","Tpx2","Mad2l1","Cdkn2c","Ccna2","Hnrnpu","Pbk","Mcm5","E2f4","Smad3","Orc5","Cdkn3","Ube2s","Mki67","Cdc25b","Incenp","Cul3","Rpa2","Tra2b","Rad21","Kmt5a","Dkc1","Tacc3","Aurka","Troap","Cdkn1b","Birc5","Kif4","Amd1","Ezh2","Xpo1","Nek2","Nup50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.437755102040816","0.6437575030012","0.0526973085708419","-0.403919976004813","-1.04211602252293","70","Prelid3b","Sox9","Id2","Spon1","Akt2","Ano1","Mmd","Trib2","Mtmr10","Tspan7","Prrx1","Zfp639","Epb41l3","Akap12","Bpgm","Yrdc","Spry2","Peg3","Sparcl1","Ccnd2","Zfp277","Ptcd2","Pcsk1n","Adam17","Etv5","Strn","Etv1","Plat","Cbl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.346666666666667","0.525252525252525","0.0639271933359996","-0.422763701875699","-1.0824132940475","60","Ckb","Pde4dip","Eif4a2","Akt2","Cnn3","Pdlim7","Myh9","Itgb5","Ephb3","Rit1","Ryr1","Prnp","Bag1","Mapre3","Actn2","Scd2","Dtna","Sparc","Clu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.337410805300714","0.525252525252525","0.0649407684612899","-0.417084813409665","-1.07901641162816","79","Gstm1","Pea15a","Bcl10","Dap","Sat1","Dnaja1","Tgfb2","Sod1","Sod2","Bax","Pdcd4","Timp2","Hmgb2","Gpx1","Vdac2","Fez1","Ctnnb1","Casp7","Hgf","F2r","Sqstm1","Casp3","Ccnd2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.302443991853361","0.487812890086065","0.0702812841717392","-0.413885917539719","-1.08257776289854","101","Aldoc","Mt1","Cavin3","Aldoa","Gapdh","Sap30","Slc2a1","Eno1","Galk1","Ugp2","Slc25a1","Gbe1","Mif","Myh9","Ncan","Fam162a","Hexa","Ampd3","B3galt6","Pnrc1","Akap12","Gpi1","Errfi1","Bcan","Lxn","Hspa5","Noct","Tpi1","Pgm1","Chst2","Pfkl","Klf6","Dtna","Tpbg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.292918454935622","0.487812890086065","0.0745500777420554","-0.504528263207903","-1.13919734436861","20","Il6st","Hax1","Cntfr","Cd9","Ptpn1","Ptpn2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.243953732912723","0.420609884332282","0.083129129135339","-0.469052701627393","-1.14798460700149","37","Cdk9","Id2","Ppp1ca","Ube2d3","Smad1","Rhoa","Bmpr2","Tgfbr1","Ctnnb1","Fnta","Smad3","Fkbp1a","Id1","Xiap","Id3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.234800838574423","0.419287211740042","0.0850427463764322","-0.472702824415545","-1.16155936000059","39","Idi1","Scp2","Rbp1","Sod1","Isoc1","Abca3","Slc23a2","Abcd3","Pex6","Gclm","Dio2","Aldh9a1","Cat","Hsd17b4","Nedd4","Abca1","Idh1","Bcar3","Pex19","Dhcr24","Slc35b2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.233155080213904","0.419287211740042","0.0865399737444125","-0.512161127502335","-1.18137592840917","24","Rtn1","Hey1","Cntfr","Myh9","Dpysl2","Adgrg1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_E2F_TARGETS","0.185147507629705","0.356052899287894","0.096887770327544","-0.415721646423615","-1.11371888321561","163","Atp5o","Stmn1","Hnrnpd","Hus1","Pttg1","Ranbp1","Anp32e","Srsf2","Plk1","Trp53","Eif2s1","Ssrp1","Smc1a","Cdca3","Rfc3","Nasp","Gins4","Rpa3","Dnmt1","Psmc3ip","Ccp110","Paics","Pcna","Cenpm","Cks2","Ccnb2","Tubb5","Hmgb2","Nap1l1","Mcm6","Cdc20","Cenpe","Dctpp1","Phf5a","Msh2","Tubg1","Mcm7","Pold2","Asf1a","Smc3","Pms2","Mad2l1","Cdkn2c","Nme1","Dck","Psip1","Slbp","Mcm5","Mre11a","Pop7","Prps1","Usp1","Dut","Cdkn3","Snrpb","Ube2s","Lyar","Mki67","Rad51ap1","Cdc25b","Rpa2","Pnn","Tra2b","Rad21","Tacc3","Aurka","Mxd3","Cdkn1b","Rbbp7","Birc5","Rrm2","Tipin","Kif4","Ezh2","Dlgap5","Xpo1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PROTEIN_SECRETION","0.154943934760449","0.309887869520897","0.107972360317345","-0.452523775063351","-1.17069853479823","79","Ergic3","Ap2s1","Anp32e","Lman1","Rer1","Ap2m1","Vamp4","Gnas","Napa","Sod1","Sec22b","Vamp3","Cope","Clta","Galc","Copb2","Snap23","Cltc","Rab9","Stx12","Arcn1","Tmed2","Adam10","Yipf6","Vps45","Ap1g1","Tmx1","Arf1","Stx7","Stam","Copb1","Abca1","Snx2","Atp7a","Ap3b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.151003167898627","0.309887869520897","0.111918316325105","-0.51041434706679","-1.22474215843302","31","Crip2","S100a1","Pef1","Rac1","Wdr1","Cd9","Mmp14","Ctsb","Gnb2","Arf4","Csrp1","Fyn","Gng12","Sparc","Clu","Lta4h","Htra1","Lrp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.14344262295082","0.309887869520897","0.11331290842208","-0.464057756514123","-1.19028897506515","65","Dbi","Ncoa4","Rab4a","Hmgcs1","Idi1","Lman1","Sat1","Adrm1","Ngly1","Akt1","Arxes2","Myl12a","Actn1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V2","0.128258602711157","0.29149682434354","0.122107920287081","-0.501777388303878","-1.23614678333327","40","Npm1","Imp4","Plk1","Ppan","Tmem97","Nop16","Wdr43","Nip7","Hspd1","Pes1","Mrto4","Srm","Farsa","Exosc5","Dctpp1","Mphosph10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_NOTCH_SIGNALING","0.114438502673797","0.272472625413802","0.132147260608774","-0.562219829688477","-1.28922512040748","22","Rbx1","Psenen","Sap30","Aph1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.110997963340122","0.272472625413802","0.130777137971974","-0.454137216219822","-1.18330546107234","94","Actb","Gnai2","Actg1","Pfn1","Arpc2","Irs1","Plcg1","Hadh","Mvd","Vcam1","Gtf2f1","Akt2","Mdk","Myh9","Vasp","Fscn1","Myl12b","Actn1","Hras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","0.0641547861507128","0.168828384607139","0.176694268938498","-0.47695512257868","-1.24072921068936","88","Hsp90b1","Rps14","Nhp2","Npm1","Eif4a3","Calr","Eef2","Dctn1","Lsm1","Yif1a","Eif4a2","Ssr1","Eif2s1","Serp1","Eif4a1","Arxes2","Cebpg","Tars","Psat1","Aldh18a1","Kif5b","Exosc10","Pop4","Exosc5","Nop14","Tubb2a","Sec11a","Hspa5","Wipi1","Herpud1","Zbtb17","Srpr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.0621181262729124","0.168828384607139","0.179782316298324","-0.485640414631303","-1.25270413342057","74","Gnai2","Atox1","Pfn1","Ctsd","Calm1","Pla2g7","Rbsn","Lap3","Anxa5","Gmfb","Gpd2","Mmp14","Timp2","Calm3","Vcpip1","Ctsb","Pdp1","Irf2","Fdx1","Rnf4","Casp7","Gnb2","Hspa5","Actn2","Csrp1","Fyn","Ehd1","Gnai3","Casp3","Clu","Dock4","Rce1","Lta4h","Kcnip3","Lrp1","Ppp4c","Plat","Cdk5r1","Lgmn","Cr1l","Kif2a","Dyrk2","Stx4a","Src","Gnb4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.0372338382249317","0.109511288896858","0.321775918075361","-0.507124014419151","-1.31708020811257","86","Vim","Mest","Sfrp1","Pdlim4","Sat1","Copa","Id2","Gas1","Ppib","Igfbp4","Vcam1","Lgals1","Tnc","Plod2","Pfn2","Sgcb","Igfbp2","Itgb5","Ntm","Fbn2","Mmp14","Calu","Prrx1","Myl9","Pmp22","Fermt2","Serpinh1","Efemp2","Gpx7","Mcm7","Magee1","Wipf1","Cdh6","Tpm1","Loxl1","Sparc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_GLYCOLYSIS","0.036734693877551","0.109511288896858","0.237793834423688","-0.470853053191768","-1.23910070048928","112","Ppia","Taldo1","Aldoa","Ndufv3","Stmn1","Sap30","Sox9","Eno1","Galk1","Akr1a1","Hax1","Ugp2","Cyb5a","Plod2","Pgam1","Mif","Sod1","Psmc4","Txn1","Mdh1","Fam162a","Nasp","Ak3","Copb2","Dld","B3galt6","Rars","B3gat3","Sdhc","Arpp19","Nsdhl","Me2","Aldh9a1","Hspa5","Fkbp4","Nanp","Mdh2","Tpi1","Pgls","Kif20a","Chst2","Got1","B3gat1","Tpbg","Prps1","Rpe","Vldlr","Chpf2","Pgk1","Pmm2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.0286592172709594","0.0955307242365315","0.352487857583619","-0.504629923085717","-1.30837494363719","82","Mest","Cox6c","Ckb","Il6st","Etfb","Fabp5","Sox3","Blvrb","Id2","Igfbp4","Tst","Mdk","Pdcd4","Dynlt3","Jak1","Cd9","Abca3","Tob1","Add3","Mocs2","Ascl1","Bag1","Cdc20","Fgfr3","Chpt1","Fkbp4","Hspa4l","Dhcr7","Kif20a","Ugdh","Tpbg","Amfr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ALLOGRAFT_REJECTION","0.0252643570449886","0.0902298465892452","0.352487857583619","-0.546197295323786","-1.38467616861703","52","Ube2n","Rps19","Rps9","Bcl10","Rps3a1","Eif5a","Npm1","Rpl39","Abce1","Akt1","Tgfb2","Mrpl3","Cd47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","0.022899402586418","0.0880746253323769","0.352487857583619","-0.599911219541469","-1.45915647384481","34","Prdx1","Ftl1","Atox1","Lamtor5","Stk25","Ndufb4","Ndufs2","Prdx2","Sod1","Sod2","Txn1","Prdx6","Ndufa6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.0225060278745227","0.0880746253323769","0.352487857583619","-0.500666867854738","-1.30216036916311","90","Ldhb","Rchy1","Hint1","Rpl36","Rack1","Zmat3","Rpl18","Ctsd","Sat1","Blcap","Tprkb","Abhd4","Elp1","Trp53","Bax","Fam162a","Rps27l","Tob1","Hras","Ccp110","Pcna","Ccnk","Pom121","Ankra2","Nol8","F2r","Hspa4l","Cd81","Sp1","Ccnd2","Abat","Hdac3","Aen","Rap2b","Sec61a1","Cyfip2","Inhbb","Irak1","Foxo3","Ccnd3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_DNA_REPAIR","0.0182564214448698","0.0829837338403174","0.352487857583619","-0.488190653479503","-1.2892125401214","120","Taf10","Rbx1","Ak6","Polr2e","Mpc2","Polr2f","Adrm1","Dad1","Smad5","Alyref","Polr1d","Ercc1","Gtf2f1","Trp53","Ssrp1","Polr2k","Aprt","Sac3d1","Rfc3","Vps28","Gtf2h5","Polr1c","Ddb1","Ak3","Taf13","Rpa3","Surf1","Cetn2","Polr2d","Nelfcd","Polr2i","Supt4a","Pcna","Arl6ip1","Nudt9","Itpa","Dguok","Pom121","Gtf2b","Pnp","Nt5c3","Mrpl40","Cox17","Impdh2","Bola2","Nme1","Nfx1","Supt5","Tmed2","Eloa","Prim1","Ncbp2","Nelfe","Polr3c","Aaas","Dut","Eif1b","Sec61a1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MTORC1_SIGNALING","0.00859032003361263","0.0429516001680631","0.380730400722792","-0.493520405515705","-1.31984977565562","149","Ppia","Prdx1","Aldoa","Psmc2","Hsp90b1","Gapdh","Ufm1","Hmgcs1","Arpc5l","Idi1","Hspa4","Slc2a1","Eno1","Plk1","Ppa1","Calr","Psph","Plod2","Eif2s2","Gbe1","Ssr1","Mthfd2l","Cct6a","Serp1","Tmem97","Psmc4","Ube2d3","Cd9","Phgdh","Pdap1","Psat1","Qdpr","Eef1e1","Atp6v1d","Psmd12","Hspd1","Add3","Rit1","Cops5","Psmb5","Psmd13","Sqle","Serpinh1","Pnp","Gpi1","Tubg1","Sec11a","Hspa5","Dhcr7","Hmgcr","Eprs","Tpi1","Pgm1","Abcf2","Dhfr","Scd2","Pfkl","Acly","Sqstm1","Got1","Psmg1","Cyp51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
