"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",4.57214434847162e-30,1.3302122332224,0.571,0.104,4.22466137798778e-26
"Tsix",7.5926054302835e-24,0.699953496294054,0.364,0.017,3.50778370879098e-20
"Uty",9.7746213521373e-16,-0.478083312300171,0.093,0.503,3.01058337645829e-12
"Rpl24",4.32762467070124e-14,-0.425686909725945,0.671,0.875,9.99681298931988e-11
"Ppia",1.54075034820128e-13,-0.32939178965941,0.871,0.965,2.84730664347597e-10
"Rpl27",1.88434633523848e-12,-0.452367432473619,0.557,0.83,2.90189335626726e-09
"Rps7",2.72934591117198e-12,-0.368345121689081,0.736,0.91,3.53093745511485e-09
"Eif2s3y",3.05708870572714e-12,-0.407484368822783,0.079,0.413,3.53093745511485e-09
"Rpl35a",4.7047477101331e-12,-0.366120832193343,0.7,0.878,4.44103265362578e-09
"Rpl29",4.80631239569889e-12,-0.388682889567582,0.657,0.84,4.44103265362578e-09
"Rps16",1.5199088052646e-11,-0.328231421298268,0.793,0.889,1.27672339642226e-08
"Rpl18a",1.71815796911832e-11,-0.286262266192093,0.829,0.906,1.31812014642948e-08
"Rps26",1.85449804151334e-11,-0.359420517690547,0.729,0.899,1.31812014642948e-08
"Rplp0",2.10465849116808e-11,-0.353008357070441,0.786,0.927,1.37491533859309e-08
"Rps10",2.23200541979398e-11,-0.335654626828922,0.771,0.913,1.37491533859309e-08
"Rpl11",5.98757731403008e-11,-0.298979821463574,0.793,0.903,3.45782589885237e-08
"Eef1b2",7.17948526200874e-11,-0.436249528470696,0.486,0.76,3.90226140123299e-08
"Rpl13",1.05513292245472e-10,-0.275773252845928,0.879,0.951,5.41634900193424e-08
"Rps11",1.16570063437061e-10,-0.33693366566483,0.771,0.892,5.6367195352632e-08
"Rps20",1.22006916347688e-10,-0.286710610439149,0.829,0.906,5.6367195352632e-08
"Rps8",1.40167175242835e-10,-0.234125250592633,0.943,0.972,5.80625183953058e-08
"Ddx3y",1.44464417339116e-10,-0.310098837137923,0.043,0.323,5.80625183953058e-08
"Rplp1",1.44527913754549e-10,-0.267134903212618,0.843,0.913,5.80625183953058e-08
"Rps24",2.0245982271792e-10,-0.284584742576965,0.857,0.938,7.79470317463993e-08
"Rps25",2.50822093817038e-10,-0.391333584235415,0.571,0.795,9.27038458747773e-08
"Rps17",2.62461556760383e-10,-0.422570151162154,0.514,0.792,9.32747994025359e-08
"Eef1a1",2.97825167532641e-10,-0.253452101236708,0.914,0.958,1.01922390666726e-07
"Fau",5.72890022545926e-10,-0.296531768995149,0.786,0.917,1.89053707440156e-07
"Rpl15",6.57799844394816e-10,-0.288173178042474,0.8,0.903,2.09588640076141e-07
"Rpl37",7.1305022062739e-10,-0.272171777944612,0.829,0.938,2.19619467953236e-07
"Rps3a1",9.62713898221399e-10,-0.313365874865374,0.757,0.882,2.71833407295652e-07
"Rps29",9.69284405772597e-10,-0.21298793872691,0.921,0.965,2.71833407295652e-07
"Btf3",9.70833597484471e-10,-0.397603155117405,0.493,0.743,2.71833407295652e-07
"Tubb5",1.09850796208703e-09,-0.205841093728802,0.936,0.958,2.98535693226005e-07
"Mrpl51",1.15918287591912e-09,-0.351969434212269,0.143,0.451,3.01107696157619e-07
"Rps3",1.17314686814657e-09,-0.333146790480605,0.7,0.878,3.01107696157619e-07
"Rps12",1.31286722684566e-09,-0.288495324625619,0.786,0.868,3.15318529443633e-07
"Stmn1",1.34115318569885e-09,-0.158383661935,1,0.99,3.15318529443633e-07
"Rpl32",1.34740734877462e-09,-0.348064331397062,0.721,0.875,3.15318529443633e-07
"Rps4x",1.36501527897677e-09,-0.328889372393006,0.736,0.868,3.15318529443633e-07
"Cdk4",1.85280515786856e-09,-0.393284962238281,0.486,0.733,4.1342913775817e-07
"Elob",1.87922335344623e-09,-0.389634967296294,0.479,0.747,4.1342913775817e-07
"Rpl37a",2.13484605569761e-09,-0.261213970042069,0.829,0.91,4.54474008456605e-07
"Tpt1",2.18375191316991e-09,-0.251056120499879,0.907,0.955,4.54474008456605e-07
"Rpl23",2.21334744378217e-09,-0.291772330006868,0.814,0.934,4.54474008456605e-07
"Rpl39",2.42798891033974e-09,-0.271036940886373,0.8,0.872,4.8770907677259e-07
"Rps19",2.77825918574143e-09,-0.269124064311842,0.793,0.872,5.46193933537252e-07
"Rps9",2.88206652899969e-09,-0.282902930805245,0.8,0.896,5.54797806832441e-07
"Rps23",3.26297711892673e-09,-0.308785664663817,0.729,0.83,6.04206777884102e-07
"Ptma",3.26951719634254e-09,-0.140528783707468,0.986,0.997,6.04206777884102e-07
"Rpl17",4.75352387424369e-09,-0.301640536563439,0.736,0.865,8.61226678392385e-07
"Rps13",5.62711654779385e-09,-0.325217829121296,0.686,0.847,9.81114454536334e-07
"Rpl26",5.62760455524087e-09,-0.30386088400058,0.714,0.844,9.81114454536334e-07
"Rps5",6.66337317472344e-09,-0.312346653454378,0.743,0.868,1.1401771876749e-06
"Rpl23a",6.82783293761924e-09,-0.341490670593843,0.621,0.781,1.14707593352003e-06
"Actb",8.0579695851973e-09,-0.183798744865127,0.95,0.972,1.30182480903794e-06
"Rpl8",8.08192900173847e-09,-0.274655477339422,0.786,0.885,1.30182480903794e-06
"Rpl21",8.1716275891992e-09,-0.299785232141033,0.743,0.878,1.30182480903794e-06
"Akr1a1",8.40718802078881e-09,-0.380716482149726,0.286,0.566,1.31665114088286e-06
"Tuba1b",1.01773039284521e-08,-0.401415881178194,0.521,0.74,1.56730480498162e-06
"Rpl30",1.23331743567197e-08,-0.28406884958599,0.743,0.872,1.86817264026378e-06
"Rpl14",1.49230922014147e-08,-0.331787613971894,0.643,0.806,2.21138484731305e-06
"Elof1",1.50776239589526e-08,-0.308172994054801,0.164,0.448,2.21138484731305e-06
"Hsp90ab1",1.53383508933892e-08,-0.196817656666756,0.921,0.951,2.21447441023307e-06
"H2afz",1.76128280869908e-08,-0.17946012410434,0.964,0.969,2.49636100092713e-06
"Rack1",1.78311500066224e-08,-0.315325791317138,0.671,0.844,2.49636100092713e-06
"Rpl13a",1.84452578279489e-08,-0.265959097373359,0.786,0.868,2.5437937661231e-06
"Ran",2.8033326378301e-08,-0.309722283082437,0.693,0.826,3.80923434905149e-06
"Phb2",2.98210916473242e-08,-0.328806833882998,0.207,0.514,3.99343314233732e-06
"Rpl10",3.59911363834711e-08,-0.347840779693566,0.579,0.802,4.75083000261819e-06
"Tmsb4x",3.95897981399967e-08,-0.150935469384328,0.993,0.997,5.08174256204285e-06
"Nme2",3.95979939899443e-08,-0.372071173416892,0.507,0.75,5.08174256204285e-06
"Rps14",4.73967448110112e-08,-0.278483862178873,0.75,0.882,5.99925920621566e-06
"Rpl36",4.91403066722382e-08,-0.303663927264456,0.686,0.837,6.13589775204704e-06
"Rpl3",5.16042871421757e-08,-0.290004583628896,0.693,0.799,6.35764817591605e-06
"Rps27a",5.68661889559368e-08,-0.217247791735943,0.9,0.955,6.91373139411652e-06
"Cfl1",5.96596791034882e-08,-0.31061840128883,0.65,0.799,7.15916149241859e-06
"Mif",7.05360385563804e-08,-0.340274536220658,0.543,0.747,8.35580764437121e-06
"Cox5a",7.66090279473046e-08,-0.358995274527121,0.45,0.698,8.87573295864464e-06
"Rpl28",7.68461728021181e-08,-0.222353721082168,0.85,0.885,8.87573295864464e-06
"Atp5o",7.94668225927227e-08,-0.367545489463794,0.393,0.653,9.06510420687356e-06
"Rpsa",8.28297034220255e-08,-0.220385304665787,0.879,0.903,9.3334934099941e-06
"Prdx2",8.84719946187748e-08,-0.279349406315138,0.729,0.823,9.74512182159885e-06
"Set",8.85920165599895e-08,-0.315805378685901,0.614,0.778,9.74512182159885e-06
"Rpl34",9.69496784020283e-08,-0.286964288370217,0.7,0.847,1.05390003345264e-05
"Rpl9",1.05363856105997e-07,-0.278344674111401,0.743,0.872,1.13204887258072e-05
"Hmgn2",1.07542828595779e-07,-0.331871206285518,0.643,0.788,1.14217900715517e-05
"Rplp2",1.12446697004036e-07,-0.265266882371195,0.75,0.84,1.18069031854238e-05
"Hint1",1.17059000759969e-07,-0.322008422178461,0.579,0.774,1.21530917642935e-05
"H3f3a",1.28642170927243e-07,-0.212103107572459,0.893,0.948,1.32072628818636e-05
"Ndufa2",1.32431277442444e-07,-0.358671151697721,0.357,0.625,1.3446868171079e-05
"Eif5",1.33921138796689e-07,-0.346516010520841,0.379,0.632,1.34503404617544e-05
"Eef1d",1.59637409820025e-07,-0.328834365385776,0.229,0.517,1.58607491046992e-05
"Snrpd3",1.68057009463402e-07,-0.346293961861383,0.307,0.587,1.65196464621472e-05
"Selenoh",1.76053897158698e-07,-0.362749178011698,0.45,0.642,1.71235579973302e-05
"Syce2",1.87465009770623e-07,-0.261870016249187,0.093,0.323,1.80435071904224e-05
"Snrpg",2.47102393597743e-07,-0.290330036583921,0.607,0.764,2.35384135757025e-05
"Rpl41",2.54050810389968e-07,-0.223479971340919,0.85,0.931,2.39533621224827e-05
"Ndufc2",2.64752189774758e-07,-0.354475964277712,0.464,0.715,2.47102043789774e-05
"Kdm5d",2.77333014851992e-07,-0.242876844357166,0.057,0.264,2.56255705723241e-05
"Mrps33",2.88262686589308e-07,-0.319614176695574,0.286,0.58,2.63717546939129e-05
"Mrpl34",3.03420322270092e-07,-0.266740376221629,0.171,0.441,2.73993514384584e-05
"Bag1",3.05425670796668e-07,-0.299832765735353,0.186,0.444,2.73993514384584e-05
"Ndufb6",3.17427753767631e-07,-0.290742017537217,0.179,0.448,2.8202235046278e-05
"Eif5a",3.32403423681644e-07,-0.334337604550231,0.493,0.684,2.92515012839847e-05
"Rpl19",3.51638920740263e-07,-0.208651450671216,0.857,0.892,3.06522983739625e-05
"Atp5g1",3.61227081094641e-07,-0.33463056268127,0.314,0.59,3.11492908477108e-05
"Rps15a",3.64082620297919e-07,-0.254172465108049,0.779,0.872,3.11492908477108e-05
"Sem1",4.16474791876261e-07,-0.329979817605476,0.493,0.708,3.53048355682261e-05
"Rpl6",4.46285592479436e-07,-0.224371735247755,0.814,0.875,3.74879897682726e-05
"Gm10076",5.14611252007068e-07,-0.336068285480279,0.271,0.535,4.28379096265343e-05
"Taf10",5.31839187262072e-07,-0.26622542611726,0.164,0.427,4.3876732949121e-05
"Arf1",5.71533639981819e-07,-0.313764904327329,0.35,0.587,4.67342551631151e-05
"Ndufb1-ps",5.89644582401466e-07,-0.324333185671034,0.3,0.556,4.77922450999083e-05
"Hnrnpab",6.11031332361283e-07,-0.322201925860989,0.557,0.719,4.90950392262457e-05
