"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82","Leading Edge 83","Leading Edge 84","Leading Edge 85","Leading Edge 86","Leading Edge 87","Leading Edge 88","Leading Edge 89","Leading Edge 90","Leading Edge 91","Leading Edge 92","Leading Edge 93","Leading Edge 94","Leading Edge 95","Leading Edge 96","Leading Edge 97","Leading Edge 98","Leading Edge 99","Leading Edge 100","Leading Edge 101","Leading Edge 102","Leading Edge 103","Leading Edge 104","Leading Edge 105","Leading Edge 106","Leading Edge 107","Leading Edge 108","Leading Edge 109","Leading Edge 110","Leading Edge 111","Leading Edge 112","Leading Edge 113"
"HALLMARK_ANGIOGENESIS","0.5","0.833333333333333","0.271288554688953","0.276833930412823","0.910503081137018","14","Nrp1","Ptk2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","1","1","0.00502537209391229","-0.175290908495846","-0.425145044951698","72","Prelid3b","Mycn","Yrdc","Scg3","Glrx","Ccnd2","Gadd45g","Ptcd2","Strn","Plat","Cab39l","Sparcl1","Akt2","Adam17","Id2","Ammecr1","Tspan13","Sdccag8","Cdadc1","Tor1aip2","Etv1","Mafb","Pcsk1n","Satb1","Ptbp2","Spry2","Sox9","Crot","Cpe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","1","1","0.00354273909070668","-0.128136037130335","-0.315534921610986","96","Ddah1","Cited2","Mrps31","Col5a2","Sri","Fzd2","Bckdhb","Mta1","Ptprm","Slc7a1","Dlg1","Cap2","Nipbl","Dusp1","Atp2c1","Nfkb1","Plpp3","Acvr2a","Nr3c1","Tjp1","Cdkn1b","Id1","Amph","Prdm2","Atrx","Insig1","Prkar2b","Pik3r3","Dmac2l","Pex14","Grk5","Col11a1","Pmp22","Map2k5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.996966632962588","1","0.00562708211299112","-0.228714379083074","-0.551729637146573","63","Bag1","Ckb","Cnn3","Pdlim7","Rit1","Tsc2","Bin1","Plxnb2","Sh2b1","Gabarapl2","Notch1","Prnp","Akt2","Scd2","Ifrd1","Atp6ap1","App","Agl","Itgb5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.981981981981982","1","0.00651414071836222","-0.303592775921131","-0.763942285642291","176","Marcks","Cyth2","Arhgdia","Dlgap5","Ywhae","Mapre1","Bcl2l11","Arl8a","Cdc42","Ezr","Rictor","Wasf2","Espl1","Plk1","Ccnb2","Mid1ip1","Arfip2","Nusap1","Cenpf","Nek2","Net1","Cep72","Tubgcp2","Plekhg2","Mark4","Arhgef2","Katna1","Lats1","Incenp","Lmnb1","Uxt","Sac3d1","Tubgcp3","Dynll2","Birc5","Cntrl","Anln","Kif2c","Hdac6","Arf6","Rab3gap1","Bin1","Ranbp9","Kifap3","Dlg1","Cep131","Fbxo5","Katnb1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.976861167002012","1","0.00801915843678622","-0.286074423569101","-0.703276167121091","92","Bag1","Slc39a6","Fkbp4","Ppif","Nxt1","Tpbg","Isg20l2","Amfr","Arl3","Fkbp5","Dynlt3","Fdft1","Elovl5","Olfm1","Tgif2","Mybbp1a","Chpt1","Abat","Slc1a4","Tob1","Slc16a1","Blvrb","Thsd4","Akap1","Fasn","Gab2","Jak2","Mybl1","Slc7a2","Sox3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.949748743718593","1","0.0111060331981493","-0.311782996405962","-0.76860197524119","99","Actb","Gnai2","Mdk","Actg1","Pfn1","Ywhah","Arpc2","Tubg1","Hras","Sympk","Hadh","Jam3","Rsu1","Msn","Pbx2","Inppl1","Stx4a","Pard6g","Dlg1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.947261663286004","1","0.01221929569568","-0.290763382447521","-0.684141315861339","38","Ppp1ca","Rhoa","Arid4b","Ctnnb1","Skil","Fkbp1a","Cdkn1c","Ube2d3","Acvr1","Id2","Tjp1","Smad1","Id1","Hdac1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.94331983805668","1","0.0124136372369971","-0.29100301623623","-0.687390238614816","40","Gtf3c5","Plag1","Bard1","Mfsd6","Cntfr","Sgk1","Skil","Chst2","Btg2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.898082744702321","1","0.0161121851693944","-0.336360096310143","-0.819164617450779","79","Vim","Ppib","Lgals1","Calu","Mcm7","Ptx3","Qsox1","Serpinh1","Col5a2","Pfn2","Gpc1","Sat1","Tpm4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
