"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",4.7682641425316e-50,1.24852636438652,0.607,0.097,3.85800251772232e-46
"Tsix",3.32614983289376e-33,0.547933018226531,0.396,0.026,1.34559391489717e-29
"Eif2s3y",4.18127688776396e-31,-0.525796224615833,0.065,0.451,1.12769037662994e-27
"Kdm5d",9.41567246809299e-21,-0.377761341335835,0.048,0.32,1.90455514848351e-17
"Uty",1.03580422840825e-19,-0.384303291791031,0.065,0.346,1.67613840241023e-16
"Gm47283",4.10853589789635e-13,-0.31698048778943,0.551,0.746,5.54036065831323e-10
"Ddx3y",7.26294021532197e-11,-0.219659930388553,0.03,0.183,8.39492132602429e-08
"mt-Nd1",5.24987079556162e-10,0.0649465475111288,1,1,5.30958807586113e-07
"Rsrp1",3.50527755146507e-08,-0.189049076383944,0.786,0.874,3.1512445187671e-05
"4930512B01Rik",1.58142850050399e-07,0.173158923653758,0.185,0.054,0.000127953379975778
"mt-Nd2",1.86121243533264e-07,0.0581014471881698,1,1,0.00013690063467524
"mt-Nd4",1.05107526002128e-06,0.0424923422438583,1,1,0.000708687494069345
"mt-Cytb",1.46237804026485e-06,0.0371110623104314,1,1,0.000910161594137144
"2810432F15Rik",4.77859931716259e-06,0.220078424409773,0.298,0.16,0.00276168907679732
"Auts2",5.19049885826952e-06,0.028075786323055,1,1,0.00279975508415058
"mt-Co2",7.82086767891535e-06,0.0330841172604037,1,1,0.00395491502438151
"Tenm4",8.93867857130419e-06,0.0878334641291156,0.979,0.963,0.00425428519531895
"mt-Atp6",9.88217679351412e-06,0.0307970090974972,1,1,0.0044420384686846
"Rbm39",1.10955448534887e-05,-0.123537505648163,0.854,0.909,0.00472495017945141
"Nsd3",3.15165294755575e-05,0.180962987671789,0.714,0.557,0.0120286529216533
"Gm28379",3.1812281527823e-05,0.169245740871719,0.229,0.114,0.0120286529216533
"Eef1a1",3.27067561829654e-05,-0.117607472082618,0.911,0.949,0.0120286529216533
"Gm9968",3.43909206859544e-05,0.19229020825511,0.363,0.217,0.0120981277943503
"Prelid3b",3.69157169902556e-05,0.133789499115866,0.188,0.08,0.0124452110903399
"Slc38a9",3.93755836922345e-05,-0.191511056078973,0.292,0.434,0.0127435139061548
"Slit3",4.56703221965588e-05,0.0672884586329681,0.946,0.96,0.0142122529573984
"mt-Co3",8.23654940594548e-05,0.0247409269965071,1,1,0.0236424178855565
"1700109K24Rik",8.2789424222466e-05,0.207359737763976,0.485,0.346,0.0236424178855565
"Tmem68",8.47398490521738e-05,-0.166265520358035,0.137,0.246,0.0236424178855565
"Cnst",8.93421302011961e-05,0.130222376101968,0.202,0.097,0.0240955725152626
"Rps29",9.48039663216182e-05,-0.10939760033435,0.899,0.931,0.0246709189610106
"Rpsa",9.84691885786498e-05,-0.126373153895173,0.795,0.814,0.0246709189610106
"Zfhx2",0.000100622954605531,0.189083555468221,0.568,0.429,0.0246709189610106
"Srrm4",0.000104620853807756,0.115865407616012,0.94,0.891,0.0248966861223104
"Ddx5",0.000116190435380548,-0.0897166276506489,0.958,0.98,0.0268599089332575
"Chst11",0.000122398113759671,0.176181183219072,0.548,0.383,0.0275089760674861
"Nnat",0.000128343192174984,-0.0905830000739618,0.952,0.969,0.0280655342672376
"Ppp1r2",0.000133464477376559,0.136489710763313,0.312,0.183,0.0284173970119406
"Mlxip",0.000141733239739205,0.144125270079518,0.405,0.249,0.0285114948190498
"Snrnp48",0.000143190202873517,-0.177672411577878,0.327,0.449,0.0285114948190498
"Dcun1d4",0.000144477973993455,0.145690128585102,0.268,0.151,0.0285114948190498
"Gm47271",0.000156642241147231,0.176773973278569,0.753,0.686,0.0298566913883347
"Rasgef1b",0.000158674790470695,0.0977090775342009,0.97,0.937,0.0298566913883347
"Ypel2",0.000167009829819393,0.171321210337608,0.387,0.249,0.0304052478362586
"Pdia6",0.00017328427115638,-0.164162273054251,0.521,0.637,0.0304052478362586
"Rtn1",0.000176047700655461,-0.0563415474995945,0.979,0.963,0.0304052478362586
"Ntrk3",0.000176621758534687,0.0592414292632706,0.994,0.989,0.0304052478362586
"Phykpl",0.000182478745971426,0.144268419268222,0.298,0.174,0.0307590736178085
"Celf4",0.000223093023841331,0.104106931269515,0.923,0.883,0.036837666446943
"Rpl41",0.000233925829678533,-0.116844303097977,0.821,0.866,0.0372917065843043
"Ttc19",0.000235060812730135,-0.163809498790357,0.405,0.509,0.0372917065843043
"Rpl11",0.000268138792139246,-0.120885607869598,0.777,0.817,0.04172136475382
"Prkce",0.000277520411191461,0.130231103663809,0.932,0.843,0.0423663706971719
"Acp1",0.000312661773606571,-0.152774630700492,0.574,0.634,0.0468471557453846
"Gm15414",0.000327039582497728,0.172867305442285,0.375,0.257,0.0475174815376235
"Ly6h",0.000328881345458771,-0.0939369940558588,0.842,0.854,0.0475174815376235
"Tuba1a",0.000369345547895807,-0.0454873423475481,1,1,0.0524276285618417
"Rtn4",0.000409856634390867,-0.087516061101566,0.905,0.934,0.057175000497526
"Dgkd",0.000460521007474815,0.147399762949394,0.518,0.369,0.0631538215504869
"Bri3",0.000511696862556732,0.139404900489612,0.488,0.343,0.0677080912944611
"Gm28375",0.000513927523556009,0.140262101462068,0.235,0.134,0.0677080912944611
"Sema3c",0.000526653642416426,-0.0957671748155564,0.911,0.926,0.0677080912944611
"Erc2",0.00052720427036844,0.0941702637913584,0.935,0.897,0.0677080912944611
"Rora",0.000550075733750801,0.168932961600859,0.318,0.2,0.069541605652777
"Gnao1",0.000571351770448672,0.128273029693011,0.783,0.691,0.0711201103800032
"Cplx2",0.000584237390915989,0.129726227729049,0.351,0.223,0.0716221928772919
"Unkl",0.000703183501564148,0.0902095427924552,0.152,0.069,0.0849172792709779
"Sox4",0.000720165173498279,-0.0923033900357884,0.911,0.94,0.085689064981979
"AU040320",0.000751684179836503,0.128791467810589,0.33,0.209,0.0880543319733606
"Stoml2",0.000764520392687268,0.0933231157404883,0.152,0.071,0.0880543319733606
"Rpl13a",0.00078081716948255,-0.137185625573889,0.655,0.754,0.0880543319733606
"Tsc22d4",0.000784413158360662,0.146200550298752,0.348,0.237,0.0880543319733606
"Rpl9",0.000794542655212553,-0.128967005169458,0.685,0.763,0.0880543319733606
"Arid1b",0.000812952370898084,0.101127296892622,0.872,0.82,0.0880543319733606
"Cmip",0.000823728581042229,0.151174453491096,0.741,0.603,0.0880543319733606
"Pigk",0.000827107802493562,0.176213407333339,0.583,0.457,0.0880543319733606
"Camkk2",0.000838099873603027,0.152121400031297,0.485,0.357,0.0880657932119752
"Gm45645",0.000872492857419654,0.114910045832681,0.14,0.063,0.0882909684374405
"4932443L11Rik",0.000873848363112412,0.141907361980677,0.339,0.22,0.0882909684374405
"Slc16a2",0.00087785894741408,0.110351232121883,0.795,0.766,0.0882909684374405
"Rps16",0.000883891786359249,-0.128376089020102,0.673,0.74,0.0882909684374405
"Rab11fip3",0.000952609800976455,0.151947608992428,0.562,0.431,0.0939947060939085
"Gm16226",0.00097063367928604,0.184157321790376,0.509,0.417,0.0946192421578717
"Rsf1os1",0.00098731724531281,0.159913146604561,0.301,0.2,0.0950998075217374
"Supt16",0.00102340609719756,-0.168876058133275,0.315,0.397,0.097416220381476
"Pebp1",0.00103712411594699,-0.116363271234592,0.723,0.783,0.097574083978222
"Rbmx",0.00111971782007477,-0.153148784506159,0.396,0.48,0.104133757266954
"Gfod1",0.0011328364546468,0.127779726981577,0.277,0.174,0.104156588119855
"Sgcb",0.00115128619960282,-0.107555233939937,0.068,0.143,0.104663557763892
"Rab18",0.00120972847996657,-0.140521338626634,0.182,0.274,0.108281239620108
"Ptprg",0.0012178461012767,0.148404679981789,0.723,0.6,0.108281239620108
"Gm44686",0.00127372932402706,0.15726478519787,0.372,0.269,0.112018956094597
"Cacna1c",0.00131850433844162,0.0801212860027347,0.961,0.937,0.112774633848455
"Bcl7a",0.00131937472012081,0.145623256814859,0.58,0.463,0.112774633848455
"Rpl5",0.00133667907863409,-0.140481630163933,0.568,0.646,0.112774633848455
"Pygb",0.00133807500302208,0.123029006407777,0.351,0.231,0.112774633848455
"Msl1",0.00137983591683575,0.126089974452029,0.402,0.274,0.11416070010313
"Pcid2",0.00139433073156088,0.0915459119703337,0.14,0.066,0.11416070010313
"Jpx",0.0013968495007057,0.114142443509787,0.31,0.197,0.11416070010313
"Tmsb4x",0.00153103300558715,-0.0555890906839283,1,1,0.123875880482056
"Hspa8",0.0016601351108941,-0.101558587118793,0.81,0.857,0.132991615665784
"Cramp1l",0.00176699663018809,0.107032920649081,0.298,0.189,0.140164409165214
"Gm26749",0.00186392404447346,0.118974822628593,0.312,0.206,0.145453421621245
"Cachd1",0.00186962746862062,0.141844318118083,0.774,0.649,0.145453421621245
"Dhx9",0.00193341299375201,-0.13625638680993,0.455,0.546,0.147782821257332
"Gm2516",0.00193609925266063,0.148298419694796,0.259,0.163,0.147782821257332
