"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47"
"HALLMARK_IL2_STAT5_SIGNALING","0.0314070351758794","0.572916666666667","0.287857117255149","0.489640352487902","1.49693319642512","55","Rora","Igf1r","Aplp1","Snx14","Rragd","St3gal4","Map6","Cdkn1c","Bmpr2","Bcl2l1","Eef1akmt1","Pou2f1","Tiam1","Mapkapk2","Nfil3","Lclat1","Hipk2","Rabgap1l","Spred2","Tnfrsf21","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_NOTCH_SIGNALING","0.0356125356125356","0.572916666666667","0.287857117255149","0.6441920234108","1.5480248182936","16","Fbxw11","Cul1","Sap30","Arrb1","Psenen","Ppard","Maml2","Notch2","Prkca","Dtx1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.0562347188264059","0.572916666666667","0.208955027549354","0.430177720567542","1.38003081567931","80","Prkce","Apbb2","Prkar2b","Wdr37","Igf1r","Pex14","Sfmbt1","Smad7","Aggf1","Spop","Mapk14","Vav2","Kalrn","Scn8a","Pik3r3","Sipa1l1","Col11a1","Nfib","Insig1","Amph","Akt3","Tgfbr3","Kcnma1","Magi2","Notch2","Prkca","Nipbl","Dyrk1a","Col5a2","Ica1","Fyn","Bmpr1a","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.0572916666666667","0.572916666666667","0.213927855492356","0.463762727737417","1.37735188053071","48","Auts2","Trim26","Irf2","Peli1","Adar","Znfx1","Trafd1","Nfkbia","Slc25a28","Psma2","Ogfr","St8sia4","St3gal5","Cmtr1","Ripk2","Eif4e3","Serping1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.150442477876106","0.702614379084967","0.124434168630393","0.407765563369225","1.24303813492541","53","Camkk2","Akap12","Lifr","Sgk1","Uap1","Rab4a","Fkbp5","Stk39","Tpd52","Insig1","Dhcr24","Vapa","Fads1","Gnai3","Idi1","Ube2j1","Tmem50a","Rps6ka3","Elovl5","Actn1","Gsr","Cdc14b","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.158551810237203","0.702614379084967","0.119887845115423","0.386622265202022","1.22095248408886","68","Flnb","Reep1","Kdm4b","Tmem164","Igf1r","Med13l","Fos","Dhcr7","Nav2","Fkbp5","Tiam1","Slc1a4","Elovl2","Slc1a1","Ncor2","Cbfa2t3","Celsr1","Ablim1","Itpk1","Mapt","Arl3","Adcy1","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.15979381443299","0.702614379084967","0.121543282035469","0.429630856963462","1.24695778602636","40","Gtf3c5","Tenm2","Kmt2d","Btg2","Sgk1","Entpd7","Prkn","Gpr19","Nr6a1","Kcnq2","Slc25a23","Slc29a3","Mast3","Clstn3","Asb7","Cpeb3","Camk1d","Nudt10","Nos1","Chst2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.168539325842697","0.702614379084967","0.115734447701689","0.388013357903833","1.2127010817844","62","Prelid3b","Inhba","Akap12","St6gal1","Dcbld2","Zfp277","Ammecr1","Ccser2","Trib2","Cbl","Avl9","Cpe","Tspan7","Atg10","Btbd3","Akt2","Rabgap1l","Mmd","Pcsk1n","Snap91","Jup","Hdac9","Usp12","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.200495049504951","0.702614379084967","0.103958471559957","0.372658941514097","1.17483488948896","65","Pak1","Jun","Vdac2","Smad7","Btg2","Bcl2l11","Lef1","Btg3","F2r","Crebbp","Add1","Dpyd","Bcl2l1","Sqstm1","Pdcd4","Tgfbr3","Ctnnb1","Ppt1","Bcap31","Gsr","App","Dnaja1","Xiap","Ank","Slc20a1","Tgfb2","Nedd9","H1f0","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.212484993997599","0.702614379084967","0.0985499803531691","0.347997777071883","1.14477042447355","99","Bach1","Lpin2","Xpo7","Tmcc2","Rcl1","Daam1","Osbp2","Btg2","Tfdp2","Narf","Smox","Btrc","Atg4a","Rad23a","Add1","Foxj2","Tfrc","Bmp2k","Pcx","Nudt4","Cat","Eif2ak1","Slc11a2","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.219023779724656","0.702614379084967","0.0992333343771191","0.382249533982115","1.17875777506828","58","Ier5","Pnrc1","Inhba","Jun","Fos","Marcks","Btg2","Sgk1","Ifngr2","Kdm6b","Btg3","Nfkbia","Sqstm1","Nfil3","Fosb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.231903485254692","0.702614379084967","0.0999276973731092","0.423375452645508","1.17436863690594","33","Cdk9","Smurf1","Smad7","Ifngr2","Ski","Cdkn1c","Bmpr2","Hdac1","Smad1","Ncor2","Hipk2","Ctnnb1","Trim33","Bmpr1a","Arid4b","Xiap","Smurf2","Slc20a1","Rab31","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.238888888888889","0.702614379084967","0.10027910675413","0.464417052534795","1.19838696594098","22","Trim26","Irf2","Adar","Trafd1","Slc25a28","Ifitm2","Ogfr","Cmtr1","Nub1","Ripk2","Tdrd7","Mvb12a","Ly6e","Elf1","Wars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.262515262515263","0.729209062542396","0.0873098257637931","0.349622010935542","1.11942263510739","79","Rora","Pnrc1","Jun","Akap12","Hexa","Fos","Rragd","Xpnpep1","Sap30","Cdkn1c","Rbpj","Eno1","Ldha","Kif5a","Efna3","Tpd52","Nfil3","Slc6a6","Gcnt2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","0.278350515463918","0.732501356483994","0.0870515867946735","0.387004690040651","1.12323987826589","40","Inhba","Dcbld2","Pcdh7","Btg2","Ifngr2","Nfkbia","Ifitm2","Slc1a2","Slc11a2","Sema4d","Lyn","Gnai3","Mmp14","Ripk2","Ifnar1","Chst2","Slc31a1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.343304843304843","0.818363273453094","0.0810802057550866","0.456248877153302","1.09638828095439","16","Jun","Itga4","Ifngr2","Cbl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.343712574850299","0.818363273453094","0.072003313661988","0.327999093710682","1.07470760262949","90","Myh10","Cdk8","Cdh4","Mapk14","Vav2","Cap1","Pik3r3","Atp1a3","Evl","Rhof","Sympk","Plcg1","Parva","Insig1","Akt3","Akt2","Cadm3","Negr1","Nrxn2","Cntn1","Ppp2r2c","Nfasc","Actn1","Jup","Itgb1","Src","Gtf2f1","Mapk11","Thbs3","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.430813124108417","0.945301542776999","0.0694481442003175","0.423802905324621","1.03149334582318","17","Srp14","Akt3","Elp4","Srprb","Chga","Mafb","Abcc8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ALLOGRAFT_REJECTION","0.434838709677419","0.945301542776999","0.0640703750499722","0.340318618177473","1.01693219287442","49","Inhba","Glmn","Mrpl3","Ifngr2","Apbb1","Aars","F2r","Eif3d","Tpd52","Ikbkb","St8sia4","Abce1","Lyn","Galnt1","Ripk2","Hdac9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.537794299876084","0.953282828282828","0.0521630305460055","0.302017671343322","0.952092595099567","66","Fdx1","Brpf3","Prkcd","Irf2","Zeb1","Xpnpep1","Atox1","Gmfb","Zfpm2","Gng2","L3mbtl4","Prcp","Cdh13","Gpd2","Pdp1","Prep","Kcnip3","Lyn","Gnai3","Mmp14","Cblb","Src","Usp14","Serping1","Fyn","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.56144578313253","0.953282828282828","0.0488970772260102","0.288121252627181","0.939100937450382","88","Ier5","Bivm","Jun","Cyfip2","Tm7sf3","Dnttip2","Ercc5","Fos","Btg2","Plxnb2","Wwp1","F2r","Trafd1","Cdh13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.587765957446808","0.953282828282828","0.0513223330421143","0.332149132442059","0.928875717552436","34","Hsd17b4","Scp2","Cat","Dhcr24","Fads1","Lonp2","Abcd3","Pex19","Idi1","Slc23a2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.614598540145985","0.953282828282828","0.0535669384770951","0.389121999838466","0.873916196418514","12","Dcbld2","Efna5","Lyn","Mdga1","App","Gstm5","Ncoa6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.662546353522868","0.953282828282828","0.0425023180036553","0.282779811163919","0.88854364297798","63","Slit3","Inhba","Spock1","Jun","Copa","Aplp1","Fermt2","Cadm1","Magee1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.693648816936488","0.953282828282828","0.0407403526717903","0.280408249033691","0.866184789559042","59","Gnao1","Reep1","Mef2d","Mef2c","Plxnb2","Nav2","Sgcd","Cdh13","Pcx","Gabarapl2","Flii","Camk2b","Mef2a","Akt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.69965075669383","0.953282828282828","0.0372254009247509","0.261685237211764","0.884174600630959","133","Kif3c","Flnb","Pcnt","Mid1","Myh10","Stau1","Itsn1","Marcks","Bcl2l11","Arhgef2","Myo9b","Rapgef5","Rhof","Plekhg2","Tiam1","Ranbp9","Tlk1","Sun2","Cep192","Clip2","Prex1","Abr","Ralbp1","Sos1","Kif3b","Pxn","Notch2","Stk38l","Bcr","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.70653685674548","0.953282828282828","0.0449543067640062","0.325626975801375","0.827551117750208","21","Cul1","Lef1","Rbpj","Ppard","Ncor2","Ctnnb1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.743065693430657","0.953282828282828","0.0448645113168564","0.353257040588172","0.793368273695737","12","Vav2","Fstl1","Tnfrsf21","Col5a2","App","Vegfa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PROTEIN_SECRETION","0.749385749385749","0.953282828282828","0.0365314928349125","0.262571256964003","0.840754495028925","76","Vps45","Gm37240","Arfgef2","Cog2","Sgms1","Ap1g1","Ap2m1","Napa","Stx16","Anp32e","Atp6v1h","Tpd52","Rab5a","Gbf1","Atp1a1","Ppt1","Rps6ka3","Arfgef1","Rab2a","Ica1","Sh3gl2","Ap2s1","Atp7a","Scrn1","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.756281407035176","0.953282828282828","0.0371479221137289","0.267479278859243","0.817740224729833","55","Pex14","Rdh11","Cadm1","Hsd17b4","Scp2","Cat","Dhcr24","Fads1","Lonp2","Abcd3","Idi1","Slc23a2","Smarcc1","Acsl4","Elovl5","Pex5","Ctbp1","Abcc8","Dlg4","Prdx5","Eci2","Vps4b","Acox1","Idh2","","","","","","","","","","","","","","","","","","","","","","",""
