"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",2.18379690329619e-91,1.13397353040164,0.533,0.09,1.26114271165355e-87
"Eif2s3y",5.7436733940504e-56,-0.540845510837683,0.03,0.34,1.65848569253205e-52
"Uty",6.13249190708392e-51,-0.497580334096973,0.029,0.313,1.18050469211366e-47
"Tsix",3.80123188679416e-44,0.474370768624159,0.272,0.023,5.48802853655907e-41
"mt-Atp6",1.35985372031231e-33,0.0680497764529577,1,1,1.57063104696072e-30
"mt-Nd1",3.24039878829474e-31,0.0914325034107475,0.995,0.997,3.11888383373369e-28
"mt-Co2",7.66644750882007e-26,0.066743195613463,1,1,6.32481919477656e-23
"mt-Nd2",2.33719925498192e-25,0.0992508427934586,0.999,0.994,1.68716571219007e-22
"Ddx3y",1.52560445930951e-24,-0.254137019197634,0.009,0.147,9.78929528056935e-22
"Kdm5d",1.46686110537012e-23,-0.263002616623489,0.016,0.158,8.47112288351241e-21
"mt-Co3",1.3237507378817e-22,0.0531740211340632,1,1,6.94969137387895e-20
"mt-Cytb",7.26499702151511e-21,0.0562158691903623,0.999,1,3.49627981660414e-18
"mt-Nd4",1.36068613802701e-19,0.0663152482240554,0.999,1,6.04458649777382e-17
"Gm47283",5.42772221020152e-18,-0.311596672522294,0.352,0.556,2.23893541170813e-15
"mt-Nd3",2.68270676112252e-13,0.187579744422828,0.863,0.758,1.03284210303217e-10
"Eef1a1",4.12355497325104e-13,-0.126318845443192,0.859,0.883,1.4883456231578e-10
"Rpl7",1.29706708865391e-11,-0.199459442991765,0.576,0.691,4.40621319822137e-09
"Tuba1a",3.51804767045083e-11,-0.0590265135770398,0.997,0.999,1.12870696093631e-08
"Rpl18a",5.83666887693767e-11,-0.170896322821914,0.73,0.823,1.77404014549027e-08
"mt-Co1",6.67573797646771e-11,0.0422436232023764,0.997,0.999,1.92761934070505e-08
"Tmsb4x",1.10049523903663e-10,-0.0641865717918342,0.991,0.989,3.02636190735073e-08
"Rpl27a",4.5041574160439e-10,-0.126510196613816,0.795,0.823,1.18234132171152e-07
"Rplp0",6.14122646080572e-10,-0.164831838534838,0.686,0.768,1.54198186135448e-07
"Rps5",1.16291378600718e-09,-0.176096978714386,0.647,0.75,2.79826129757977e-07
"Rps9",1.24964499806866e-09,-0.156157510954973,0.699,0.777,2.88667994553861e-07
"Stmn1",1.42177900270027e-09,-0.0652887359844865,0.986,0.995,3.15798990022849e-07
"Rbm39",1.61549050890489e-09,-0.111906779488868,0.849,0.886,3.45535469960213e-07
"Rpl13",2.44789767767889e-09,-0.121823477586178,0.818,0.844,5.04878896021272e-07
"Gm26936",3.20546977386579e-09,0.230007314215674,0.328,0.199,6.38330618761204e-07
"Rpl18",3.52451697294386e-09,-0.154980083245574,0.731,0.816,6.78469517291693e-07
"Rpl39",4.24121228674326e-09,-0.152161655248592,0.701,0.768,7.90096805030398e-07
"Tpt1",9.81904257577696e-09,-0.122196489503851,0.844,0.886,1.77203033984725e-06
"Rps23",2.44931730395206e-08,-0.175799944763242,0.567,0.669,4.2863052819161e-06
"Rps27a",3.37445179356559e-08,-0.11294822233509,0.824,0.849,5.73160561995332e-06
"Rps3a1",5.53879073854375e-08,-0.130860126329447,0.712,0.76,9.13900471859719e-06
"Rps24",6.14076940052847e-08,-0.116711923760467,0.815,0.852,9.85081758001442e-06
"Rpl37",7.87294300980771e-08,-0.124082400374445,0.78,0.825,1.22881745626053e-05
"Jun",8.73934272776746e-08,0.205559607901764,0.465,0.333,1.32815011191729e-05
"Rps7",1.16664446672725e-07,-0.138494391637537,0.711,0.782,1.7275312295769e-05
"Rpl9",1.45447837118733e-07,-0.150321968345243,0.65,0.738,2.07490373121907e-05
"Rps11",1.47309182649319e-07,-0.126431787914384,0.704,0.736,2.07490373121907e-05
"Rpl29",1.51081963243368e-07,-0.172020073749363,0.523,0.622,2.07737699459631e-05
"Rps15a",1.82217688233727e-07,-0.134884052080938,0.702,0.758,2.44722592918552e-05
"Auts2",1.89448419721683e-07,0.0402712720993867,1,0.999,2.48651050884709e-05
"Gm4258",2.08283955970332e-07,0.172703708694041,0.738,0.611,2.6729774349526e-05
"Rpl23",2.59291005870992e-07,-0.106772948176903,0.826,0.859,3.25522947588039e-05
"Mir99ahg",4.30288687370393e-07,-0.0374731688605987,1,0.997,5.28705780758302e-05
"Tenm4",6.61497946689831e-07,0.0818092397722416,0.946,0.928,7.95864717111203e-05
"Rpl41",7.89779320514237e-07,-0.114533214098703,0.764,0.812,9.30811342034636e-05
"Rplp1",9.95485367478069e-07,-0.122560709066637,0.722,0.767,0.000114978559943717
"Rpl24",1.02225452486243e-06,-0.131727461045922,0.653,0.71,0.000115755291785892
"Rps12",1.12303918748745e-06,-0.124407317409829,0.692,0.736,0.000124722140533462
"Actb",1.26497480110006e-06,-0.0672776368233994,0.94,0.94,0.000137834518421752
"Rpl19",1.32074334439455e-06,-0.103862716858656,0.742,0.773,0.000141246163219973
"Rps14",1.37100745526784e-06,-0.120774675737123,0.691,0.744,0.000143955782803123
"mt-Nd5",1.70812407850286e-06,0.10728415078229,0.85,0.804,0.000176150295595607
"Fau",1.85136527103261e-06,-0.109908073828908,0.785,0.825,0.000185382671421392
"Rpl38",1.86185193808497e-06,-0.107320471411018,0.819,0.861,0.000185382671421392
"Gm44686",2.43842217251412e-06,0.183541769841452,0.319,0.215,0.000238676068580831
"Gm28379",2.53280699392421e-06,0.145444278283206,0.151,0.077,0.000243782673165206
"1700109K24Rik",2.58285455036666e-06,0.174854466340915,0.239,0.148,0.000244524344727335
"Rps8",2.93327703448937e-06,-0.0727862150940459,0.891,0.882,0.000273220562486711
"Rps29",3.07685564541267e-06,-0.0602306248166486,0.909,0.888,0.000282045100829495
"Rps17",3.89869913157421e-06,-0.162917274563286,0.399,0.494,0.000351796679450641
"Rps20",4.47227403826764e-06,-0.119666341684321,0.694,0.733,0.000397344347246086
"Atp5c1",4.66308172247021e-06,-0.161766235383194,0.297,0.401,0.000408019650716143
"Rpl32",5.88386708361515e-06,-0.116276155540103,0.688,0.735,0.000507154215042948
"Cd81",8.79423417058365e-06,-0.157149229919413,0.236,0.332,0.000746863269634126
"Tmsb10",9.3555107951802e-06,-0.0880120426831557,0.854,0.872,0.00078301557742269
"9630028H03Rik",1.06102039957457e-05,0.185492500297727,0.508,0.418,0.000867077610655884
"Rps28",1.06601749535182e-05,-0.0938764095526585,0.79,0.817,0.000867077610655884
"Rsrp1",1.15111885449432e-05,-0.112359563331397,0.684,0.728,0.000923293247875654
"Selenow",1.30783691803618e-05,-0.127336394625655,0.517,0.597,0.00103462441118616
"Rps26",1.45670362499511e-05,-0.114793355787188,0.711,0.762,0.00113681938301983
"Rpl27",1.57989564885731e-05,-0.123228645023145,0.569,0.619,0.00121651964962013
"Rps4x",1.74643151137954e-05,-0.127763309831125,0.629,0.703,0.00132705815502853
"Pfdn2",1.8628172290978e-05,-0.143815589379291,0.199,0.288,0.00139711292182335
"Rpl11",2.06653078915475e-05,-0.100110540124394,0.77,0.8,0.00152509788277362
"Gabarap",2.10244851343957e-05,-0.148724896886134,0.322,0.412,0.00152509788277362
"Cox4i1",2.11268970773834e-05,-0.119510399506888,0.634,0.695,0.00152509788277362
"Hspa8",2.23786152785657e-05,-0.0860681790684668,0.808,0.828,0.00159551238560145
"Gm26749",2.40985973663034e-05,0.148523234915349,0.257,0.17,0.00169718780232197
"Igfbpl1",2.56196336697035e-05,-0.0535725572186612,0.976,0.99,0.00178257089689805
