"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.142105263157895","0.679012345679012","0.191892240384838","0.592453283581463","1.36947214296246","11","Jun","Ptpn11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.203703703703704","0.679012345679012","0.190023305279108","0.428181818545999","1.22514130297889","50","Jun","Hmgb2","Bcl2l1","Ank","Top2a","Satb1","Ptk2","Sod2","Pdcd4","H1f0","Pea15a","Xiap","App","Dnm1l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.225165562913907","0.70364238410596","0.169570644405628","0.426229295853119","1.15577246139275","30","Bmpr2","Hipk2","Smurf2","Skil","Cdk9","Tjp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.355555555555556","0.823798627002288","0.140406238523342","0.34420785076954","0.984869596330266","50","Jun","Mxi1","Large1","Klf7","Slc6a6","Nedd4l","Ndst1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.362549800796813","0.823798627002288","0.144630528034484","0.327698984118649","0.96423667128309","66","Adgrl2","Rnd3","Map1b","Ltbp1","Nfib","Nfkb1","Tjp1","Irs1","Aggf1","Ythdc1","Mapk14","Celf2","Dyrk1a","Kalrn","Apbb2","Cacna1a","Prkce","Prkar2b","Pten","Tent4a","Scaf8","Map2k5","Nrp1","Atp2c1","Igf1r","Atxn1","Togaram1","Schip1","Atp2b4","Prkca","Sfmbt1","Mmp16","Bmpr1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.378947368421053","0.823798627002288","0.131457611642763","0.362974809124065","0.992223726019764","37","Jun","Dnajb4","Nfkb1","Sod2","Ier2","Bcl6","Fos","Ier5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.532846715328467","0.859017245298951","0.110564716336619","0.299572259552915","0.859122453531827","47","Nav2","Mpped2","Itpk1","Wwc1","Med24","Rhobtb3","Bcl11b","Flnb","Inpp5f","Gab2","Farp1","Med13l","Fos","Kdm4b","Reep1","Fkbp4","Snx24","Celsr2","Mapt","Abca3","Igf1r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.545454545454545","0.859017245298951","0.11146266692298","0.313527111101979","0.876819294805762","44","Tspan7","St6gal1","Ank","Atg10","Trib2","Satb1","Ephb2","Snap91","Strn","Sdccag8","Avl9","Rabgap1l","Id2","Nrp1","Pcsk1n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.566225165562914","0.859017245298951","0.100633389423036","0.324386989115433","0.879614687449655","30","Auts2","Nfkb1","Ogfr","Sod2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.64","0.859017245298951","0.104732821580651","0.277217169789014","0.819178327653392","68","Tspan5","Smox","Mxi1","Add2","Nudt4","Narf","Igsf3","Riok3","Bach1","H1f0","Slc11a2","Xpo7","Dcun1d1","Klf3","Ctns","Cdc27","Top1","Eif2ak1","Daam1","Tnrc6b","Btrc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
