"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",4.70962497059634e-33,1.49004647593384,0.78,0.137,4.88670686949076e-29
"Tsix",1.77066278161743e-19,0.800125375638925,0.512,0.048,9.18619851103124e-16
"Uty",4.94455510509416e-15,-0.543663621775039,0.098,0.473,1.71015679234857e-11
"Kdm5d",3.69610477923393e-11,-0.355270776315549,0.067,0.37,9.58769579733281e-08
"Eif2s3y",2.19626928068609e-10,-0.44005176020625,0.134,0.438,4.55769801127977e-07
"Ddx3y",2.15547973598122e-06,-0.207596927856821,0.055,0.24,0.00372754295675686
"mt-Co2",3.77683140859351e-06,0.0671201570265194,1,1,0.00559834324222375
"Hivep3",7.45602433096015e-06,-0.261011131047039,0.713,0.877,0.00967046355725531
"mt-Co3",8.94752692847069e-05,0.0588683323981685,1,1,0.10315504378868
"Malat1",0.000118322518307517,0.0358870934753495,1,1,0.12277144499588
"Pdap1",0.000193424780811743,-0.29232236742395,0.39,0.568,0.182452320518422
"Gm47283",0.000235319560989409,-0.246062185737677,0.616,0.76,0.203472980402176
"Esrra",0.000285431550240002,0.247443821534057,0.36,0.192,0.222456268448871
"Fgf13",0.000300153022193927,-0.207709676687473,0.787,0.89,0.222456268448871
"mt-Atp6",0.00044917624064731,0.0511926055895873,1,1,0.3107101781971
"mt-Nd1",0.000488194609229263,0.0831356843623481,0.994,0.993,0.316594204085177
"Tmbim6",0.000554695054464148,-0.192526053734389,0.262,0.432,0.328399680457521
"Gm35576",0.000569698751757457,0.129514128604541,0.14,0.027,0.328399680457521
"mt-Cytb",0.00060493657395601,0.0503543960537094,1,1,0.330359046914082
"Arhgap23",0.000694289841096923,0.228183249562435,0.378,0.219,0.360197569561084
"mt-Nd2",0.000915964358371886,0.0672449724565127,0.988,1,0.430881956827507
"Rpl27",0.000981482232779751,-0.236697167847039,0.543,0.712,0.430881956827507
"1110004F10Rik",0.000989493745405173,-0.239222755480932,0.457,0.623,0.430881956827507
"Selenow",0.000996642922500017,-0.228596576485131,0.598,0.726,0.430881956827507
"Ndufb9",0.00103880315845598,-0.214800469248048,0.384,0.575,0.431144862885569
"Rbfox2",0.00110202554546945,-0.157968507279046,0.762,0.877,0.439792963838115
"Fam155a",0.00118956363702771,-0.158021960649349,0.799,0.863,0.448743573796897
"Nell1",0.00121095027624452,-0.309257965794694,0.244,0.39,0.448743573796897
"Ppp1r9a",0.00131069381504677,-0.197507913909799,0.659,0.842,0.468508441642031
"Pard3bos1",0.00135459264160186,0.0944132459906444,0.195,0.068,0.468508441642031
