"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57"
"HALLMARK_ANGIOGENESIS","0.0181392165516627","0.181392165516627","0.352487857583619","0.710295097193992","1.8629034210774","15","Vegfa","Lrpap1","Vcan","Ptk2","Ccnd2","Itgav","Col5a2","Fstl1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.0303624652673167","0.216874751909405","0.352487857583619","0.453788795559385","1.57696536311022","58","Camk1d","Tg","Cyp39a1","Skil","Fggy","Brdt","Clstn3","Ryr2","Kmt2d","Nr4a2","Btg2","Bmpr1b","Dlk2","Ntf3","Kcnq2","Ryr1","Mthfr","Nr6a1","Sgk1","Arpp21","Epha5","Prkn","Igfbp2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.051174251789366","0.296912114014252","0.321775918075361","0.420916657203987","1.55711748986062","89","Fosb","Slc16a6","Vegfa","Map2k3","Nr4a1","Yrdc","Irs2","Tnfaip8","Tnc","Smad3","Jun","Btg1","Gem","Plk2","Fos","Nfe2l2","Ccn1","Nr4a2","Pde4b","Btg2","Mxd1","B4galt1","Sgk1","Egr1","Nampt","B4galt5","Klf10","Klf6","Nfkb2","Abca1","Litaf","Sqstm1","Atp2b1","Mcl1","Dusp4","Bcl6","Nfat5","Rnf19b","Dnajb4","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.0536430081863624","0.296912114014252","0.321775918075361","0.413678563831924","1.51298371904754","83","Vegfa","Vcam1","Fn1","Vcan","Cap2","Lamc1","Adam12","Fuca1","Htra1","Tnc","Jun","Gem","Tpm4","Ccn1","Wnt5a","Cdh6","Col11a1","Efemp2","Dst","Notch2","Slc6a8","Fbn1","Igfbp2","Fbn2","Itgav","Loxl1","Col5a2","Fstl1","Sgcd","Lrp1","Serpinh1","P3h1","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.0593824228028504","0.296912114014252","0.287857117255149","0.401297159845567","1.40330106704738","63","Mthfd2","Vcam1","Tapbp","Lats2","Stat3","Rbck1","Btg1","Pfkp","Lysmd2","Ncoa3","Pde4b","Ripk1","Psmb10","Serping1","Nampt","Samhd1","Nup93","Bpgm","Peli1","Pnpt1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V2","0.0953436807095344","0.358851674641148","0.216542836735348","0.405728930463434","1.32490493750937","40","Hk2","Mybbp1a","Tcof1","Noc4l","Gnl3","Ppan","Exosc5","Nop56","Farsa","Las1l","Rrp9","Imp4","Pes1","Mphosph10","Pprc1","Ipo4","Ddx18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.0980861244019139","0.358851674641148","0.222056046145248","0.332091373098601","1.25425850154792","101","Tgif2","Lrig1","Slc24a3","Ablim1","Calb2","Dhcr7","Mybbp1a","Add3","Tob1","Fdft1","Nrip1","Ncor2","Celsr1","Fos","Wwc1","Slc7a5","Slc7a2","Gla","Svil","Podxl","Rapgefl1","Mast4","Scarb1","Elovl5","B4galt1","Slc1a4","Dlc1","Inpp5f","Rbbp8","Klf10","Bcl2","Tmem164","Slc1a1","Fkbp4","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.107655502392345","0.358851674641148","0.211400189384923","0.318621785760116","1.209882515623","102","Id1","Prdm2","Scn8a","Cap2","Lamc1","Ptpn21","Add3","Mapk14","Lpar1","Phf3","Smad3","Ltbp1","Pik3cd","Kit","Nr1d2","Nfib","Tent4a","Cdon","Ccn1","Adgrl2","Schip1","Irs1","Col11a1","Inpp4b","Notch2","Dlc1","Cdc42bpa","Dmac2l","Kcnma1","Col5a2","Smad7","Sfmbt1","Kalrn","Atp2b1","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.131578947368421","0.411184210526316","0.190023305279108","0.310283894168774","1.18648410972616","105","Baiap2","Vcam1","Nf2","Speg","Nrxn2","Calb2","Mdk","Jup","Vcan","Cadm3","Ctnna1","Ptk2","Mapk14","Adam15","Thbs3","Map3k20","Map4k2","Cldn5","Irs1","Cdh6","Cdh8","Pbx2","Egfr","B4galt1","Myh9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.242924528301887","0.573710299247292","0.135002033828631","0.299593369575307","1.10877526185656","88","Slc24a3","Aldh3a2","Hprt","Mdk","Top2a","Dhcr7","Add3","Tob1","Fdft1","Slc29a1","Nrip1","Ncor2","Fos","Slc7a5","Gla","Rapgefl1","Scarb1","Elovl5","Slc1a4","Sgk1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.292620865139949","0.573710299247292","0.126875729929857","0.256714036299457","1.03860826380345","168","Ywhae","Anln","Arhgap5","Kif1b","Arhgef2","Arhgap10","Myo1e","Top2a","Itsn1","Racgap1","Cntrl","Arhgap29","Birc5","Plekhg2","Pafah1b1","Csnk1d","Sptan1","Pcgf5","Nusap1","Mid1","Cep57","Kntc1","Dst","Ect2","Notch2","Kptn","Nin","Fgd4","Dlgap5","Sun2","Myh9","Cenpf","Cdc42ep4","Kif23","Cdc42bpa","Tubgcp3","Mark4","Ezr","Rock1","Arhgef11","Prex1","Tubgcp6","Abl1","Pcnt","Lmnb1","","","","","","","","","","","",""
