"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82"
"HALLMARK_E2F_TARGETS","0.00179834472147867","0.0239578179693831","0.45505986738723","0.355672072039324","1.5058945634909","150","Nme1","Hells","Cit","Pnn","Ube2t","Kif2c","Melk","Ccp110","Gins1","Donson","Lmnb1","Bard1","Mthfd2","Spc24","Usp1","Smc1a","Pms2","Aurka","Eed","Cenpm","Ing3","Kif22","Dnmt1","Lig1","Stag1","Bub1b","Mki67","Plk4","Dlgap5","Suv39h1","Mxd3","Mre11a","Birc5","Tra2b","Xpo1","Hmmr","Dek","Diaph3","Nolc1","Hmgb2","Rad51c","Nup205","Ppp1r8","Top2a","Pds5b","Nudt21","Cnot9","Cks2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT","0.00205692678648088","0.0239578179693831","0.431707695803346","0.341215014144132","1.45952811377946","161","Fancc","Casp8ap2","Kif2c","Pml","Kif15","Incenp","Polq","Meis2","Rasal2","Lmnb1","Cbx1","Bard1","Gins2","Dbf4","Smc1a","Chaf1a","Aurka","Pura","Kif22","Stag1","Cul4a","Rbl1","Hnrnpu","Mki67","Rps6ka5","Map3k20","Plk4","Rad54l","Dr1","Kif20b","Srsf10","Kif23","Suv39h1","Bub1","Kmt5a","Ccnt1","Birc5","Tra2b","Xpo1","Hmmr","Nusap1","Kif11","Nolc1","Tpx2","Kpnb1","Top2a","Wrn","Pds5b","Snrpd1","Atrx","Slc12a2","Stil","Cks2","Smc2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.0493721873336394","0.154288085417623","0.321775918075361","0.469602470689558","1.45446259276636","27","Celsr1","Pml","Vegfa","Adgrg1","Dpysl2","Cntfr","Crmp1","Hey2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.177350427350427","0.402777777777778","0.152144922367565","0.458738207026267","1.24289228898112","16","Fgfr1","Vtn","Vegfa","Vcan","Col5a2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.197215777262181","0.402777777777778","0.150169802128406","0.311784303329759","1.15069631224422","63","Kif2c","Tle4","Grm8","Jam3","Dbf4","Zc3h14","Rad17","Acrbp","Aurka","Chfr","Tekt2","Topbp1","Dmc1","Bub1","Stam2","Pacrg","Slc12a2","Coil","Mast2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.201388888888889","0.402777777777778","0.148261500475107","0.28053289044572","1.12640905323037","101","Fermt2","Col11a1","Adam12","Dab2","Vegfa","Prrx1","Cdh11","Itgb1","Colgalt1","Vcan","Sparc","Col5a2","Pdlim4","Fmod","Tgfbr3","Fbln1","Eln","Sntb1","Igfbp2","Lama2","Wipf1","Efemp2","Dst","Dpysl3","Sdc4","Bmp1","Loxl1","Pfn2","Col4a1","Cdh2","Mmp14","Htra1","Plod2","Notch2","Sgcd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","0.311926605504587","0.537804492249288","0.115240003147781","0.265203651146762","1.05775696398792","95","Arxes1","Cnot4","Hsp90b1","Exosc2","Vegfa","Mthfd2","Eif4e","Pdia6","Cnot2","Tatdn2","Paip1","Mtrex","Herpud1","Eif4a2","Cebpb","Nolc1","Eif2ak3","Hyou1","Dcp1a","Srprb","Fkbp14","Edc4","Lsm4","Cnot6","Cks1b","Exosc4","Xbp1","Nop56","Atf6","Hspa5","Dctn1","Zbtb17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ALLOGRAFT_REJECTION","0.358313817330211","0.574752202643172","0.107554375265169","0.2906339867993","1.05872891777331","59","Nme1","Hdac9","Eif4g3","St8sia4","Eif3a","Prkcb","Mtif2","Ccnd3","B2m","Csk","F2r","Eif5a","Galnt1","Socs5","Bcl10","Ifnar2","Mrpl3","Eif3j1","Tpd52","Egfr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.36784140969163","0.574752202643172","0.102080107662747","0.33231468243579","1.05497480729629","30","Lef1","Tcf7","Hdac2","Rbpj","Hey2","Adam17","Axin2","Fzd1","Trp53","Ppard","Numb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.400473933649289","0.606778687347408","0.101350743797099","0.296433773070754","1.04129774977292","50","Cdkal1","Tcf7l1","Slc25a23","Sgk1","Pdk2","Bard1","Ptprj","Sptbn2","Epha5","Fgfr3","Cntfr","Igfbp2","Celsr2","Tenm2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
