"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",1.53748923838878e-09,1.4585827629104,0.681,0.14,1.57761770751072e-05
"Eif2s3y",2.59062830349454e-08,-0.645863370572395,0.085,0.64,0.000132912185110788
"Uty",5.07274520126661e-07,-0.538874807123908,0.085,0.54,0.00173504795033989
"Tsix",2.77066751373724e-06,0.594056205224093,0.511,0.08,0.00710745483961446
"Calm1",9.15053948841574e-05,-0.376807174477252,0.745,0.9,0.187787371381268
"Ly6h",0.000204097559138195,-0.218129238352237,1,0.98,0.237087156075488
"Lsm7",0.000204264045987042,-0.387494743494885,0.191,0.56,0.237087156075488
"Prkce",0.000206142073859735,0.306436665439374,0.894,0.78,0.237087156075488
"Rnf187",0.000208013520017825,-0.412291550284778,0.404,0.76,0.237087156075488
"Kdm5d",0.000248257973284012,-0.336676983062499,0.085,0.4,0.237087156075488
"Pfn2",0.000254162237289773,-0.425069354197788,0.319,0.62,0.237087156075488
"Emx2",0.000329935413167838,-0.32457334437014,0.745,0.94,0.282122272876266
"Tubb2a",0.000450569289210696,-0.341051897433239,0.745,0.88,0.338708732352026
"Msantd2",0.000462130616209761,0.347044565853577,0.532,0.22,0.338708732352026
"Cox4i1",0.000498477142835014,-0.350793500678466,0.66,0.88,0.340991597508672
"Cyc1",0.000556850583756798,-0.388014772889128,0.255,0.62,0.342053729689829
"Alg2",0.000599922711655853,-0.303482263145097,0.043,0.3,0.342053729689829
"Psmb3",0.000600035779594282,-0.388358352368349,0.319,0.62,0.342053729689829
"Ppa1",0.000827074467174989,-0.316713443144221,0.213,0.52,0.446663742509609
"Pcbd2",0.000923162350414636,-0.272396407385584,0.021,0.26,0.452916446081427
"Gdf5",0.000926931621451123,-0.273023307650948,0.043,0.3,0.452916446081427
"Cdh2",0.00111255521100216,0.292674653531686,0.936,0.78,0.518905864549691
"Sigmar1",0.00117346166363027,-0.295996729750754,0.064,0.32,0.523516962196096
"Hnrnpu",0.0012332584474207,-0.275824992790238,0.723,0.82,0.52726937204099
"Rpl7a",0.00128899546920825,-0.353297696551538,0.532,0.78,0.529055300381833
"Snrpn",0.00152825404197722,-0.36163973841858,0.426,0.68,0.59812463591957
"Edf1",0.00157385880224426,-0.3911097963853,0.277,0.56,0.59812463591957
"Lncpint",0.00169471582545355,0.350747120896781,0.809,0.54,0.605547820862126
"Slc8a2",0.00171142060276792,0.191303198199921,0.234,0.02,0.605547820862126
"Tubb4b",0.00188191274381701,-0.403149768310282,0.383,0.66,0.643676888810212
"Pik3r3",0.00198518629463596,0.385511322411418,0.638,0.34,0.650083119797948
"Scg3",0.00202735209370766,-0.353091470468377,0.362,0.66,0.650083119797948
"Telo2",0.0021155199823174,-0.31788173948409,0.106,0.36,0.65779850116845
"Slc2a1",0.00239032361510666,0.214775115887277,0.319,0.08,0.687159766447657
"Anapc5",0.00241268078828324,-0.338630831721678,0.489,0.72,0.687159766447657
"Ext1",0.00246683106592049,0.36048947828187,0.766,0.6,0.687159766447657
"Zcchc3",0.00247782003299516,-0.193428646252852,0,0.18,0.687159766447657
"Cfl1",0.00267253156698053,-0.350005126781937,0.532,0.8,0.70698297966006
"Calm2",0.00268710030277189,-0.209452516699473,0.872,0.9,0.70698297966006
"Eif2s2",0.00300400979867722,-0.35016795414449,0.489,0.7,0.721188191300428
"Eloc",0.00304508621446374,-0.346188554414308,0.298,0.52,0.721188191300428
"Gm47283",0.00306347666324334,-0.332572909040272,0.681,0.84,0.721188191300428
"Fiz1",0.00362147205493348,0.230737870852922,0.277,0.06,0.721188191300428
"Arhgdig",0.00367451306126673,-0.234919737425317,0.085,0.32,0.721188191300428
"4930512B01Rik",0.00376020096510007,0.140740928725064,0.213,0.02,0.721188191300428
"Cept1",0.00379616792407947,-0.273065653336738,0.085,0.32,0.721188191300428
"Tuba1a",0.00384033715517028,-0.123745451757348,1,1,0.721188191300428
"Eid1",0.0039682206448011,-0.357013036301807,0.426,0.66,0.721188191300428
"Tfrc",0.00397789780805106,0.247933392293851,0.362,0.12,0.721188191300428
"Tmed3",0.00398248984913743,-0.194314177237669,0.043,0.26,0.721188191300428
"Esco1",0.00402659763096214,0.323370447856773,0.574,0.34,0.721188191300428
"Supt4a",0.00406521710773958,-0.267295528131321,0.128,0.38,0.721188191300428
"Actg1",0.00410653216112425,-0.207615321876744,0.915,0.94,0.721188191300428
"Emc10",0.00438940043553699,-0.292729749294086,0.298,0.58,0.721188191300428
"Stmn2",0.00439309261161843,-0.253447820476959,0.83,1,0.721188191300428
"Jtb",0.00445294313797483,-0.265961990311479,0.085,0.3,0.721188191300428
"Msl2",0.00449458524620492,0.215079446214907,0.362,0.12,0.721188191300428
"Gm49359",0.00450402883927928,-0.272517641046269,0.043,0.24,0.721188191300428
"Gm16110",0.00455339794784459,-0.17555670609902,0,0.16,0.721188191300428
"Mmgt2",0.00455339794784459,-0.134579787845728,0,0.16,0.721188191300428
"B630019K06Rik",0.00467364050633326,-0.202806737864026,0.043,0.24,0.721188191300428
"Ddx3y",0.00469825994283594,-0.238886424843443,0.064,0.28,0.721188191300428
"Rnf122",0.00476990432185613,0.227425495023176,0.234,0.04,0.721188191300428
"Nomo1",0.00490910552580906,-0.225370882123761,0.085,0.32,0.721188191300428
"Spata33",0.00498881515307376,0.151401748498254,0.149,0,0.721188191300428
"Hif1a",0.00512776695227799,-0.291700842131328,0.362,0.64,0.721188191300428
"Cacnb3",0.00523142555847237,-0.298733792560198,0.17,0.4,0.721188191300428
"Nphp3",0.00541143541545798,-0.1848867849609,0.043,0.24,0.721188191300428
"Tnrc18",0.00542252115057653,0.289090743735385,0.787,0.6,0.721188191300428
"Dleu2",0.00547326986564517,0.3254550423795,0.447,0.2,0.721188191300428
"Aurkaip1",0.00570643818207207,-0.286880163213068,0.064,0.26,0.721188191300428
"Glrx5",0.00603258348664495,-0.266692898284549,0.17,0.42,0.721188191300428
"Atp2b1",0.00606111058075828,-0.212744810988781,0.766,0.92,0.721188191300428
"Slc1a3",0.00620324759238244,0.213525277972042,0.234,0.04,0.721188191300428
"Lztr1",0.00659600509390091,-0.263027036943106,0.234,0.48,0.721188191300428
"Tada1",0.00669183708124844,-0.214445521700613,0.106,0.34,0.721188191300428
"Mydgf",0.00675435803766844,-0.209739925785441,0.085,0.3,0.721188191300428
"Tango2",0.00688536407198683,-0.306210582750247,0.255,0.48,0.721188191300428
"Chmp1a",0.00695862707684532,-0.253839026290059,0.149,0.38,0.721188191300428
"Zyg11b",0.00704807170405561,0.301362589207704,0.511,0.3,0.721188191300428
"Pycard",0.00705192455288278,-0.160790981069465,0.021,0.2,0.721188191300428
"Nrn1",0.00747674694531601,-0.203840467951741,0.809,0.9,0.721188191300428
"Ccdc107",0.00753107388299505,-0.243612200504745,0.149,0.4,0.721188191300428
"Ramp1",0.00754191887905767,-0.325493678473303,0.213,0.44,0.721188191300428
"Armcx1",0.00756439662279539,-0.295397914398006,0.34,0.56,0.721188191300428
"Sema6d",0.00761760995002316,0.38281972082474,0.511,0.26,0.721188191300428
"Polb",0.00772627220839467,0.289965735761966,0.723,0.58,0.721188191300428
"Gm42372",0.00772925295049177,-0.21192117507598,0.064,0.26,0.721188191300428
"Ptpmt1",0.00801246459915086,-0.141588175605833,0.043,0.24,0.721188191300428
"Gpc4",0.00804680617302623,0.25048944785497,0.255,0.06,0.721188191300428
"Pde3b",0.00806345301491399,-0.274214739975586,0.234,0.48,0.721188191300428
"Mzt2",0.00815922984202833,-0.212716337373364,0.043,0.22,0.721188191300428
"Slc25a51",0.00819218783700049,-0.270882255984101,0.234,0.5,0.721188191300428
"Sec62",0.00828015406944854,-0.284855398533302,0.511,0.72,0.721188191300428
"Gm42984",0.00831983131744473,-0.143186629022536,0,0.14,0.721188191300428
"H2-D1",0.00831983131744473,-0.156626161948332,0,0.14,0.721188191300428
"Aimp2",0.00876653011030188,-0.202600933724285,0.043,0.22,0.721188191300428
