"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82","Leading Edge 83","Leading Edge 84","Leading Edge 85","Leading Edge 86","Leading Edge 87","Leading Edge 88"
"HALLMARK_UV_RESPONSE_DN","0.00408278288474835","0.0408278288474835","0.407017918923954","0.379389727358397","1.54071027900697","92","Prkce","Pik3r3","Celf2","Rasa2","Apbb2","Nrp1","Dlg1","Atxn1","Phf3","Adgrl2","Kcnma1","Atp2c1","Plcb4","Pten","Cap2","Vldlr","Slc7a1","Irs1","Kalrn","Sipa1l1","Rxra","Ythdc1","Tent4a","Nfib","Grk5","Add3","Dusp1","Cdon","Nr1d2","Col11a1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.0331411709121426","0.18411761617857","0.321775918075361","0.298161488004984","1.28372450135116","151","Trio","Fgd4","Abr","Vcl","Dock4","Prex1","Flna","Rasa2","Fgd6","Ssh2","Rhof","Arfgef1","Dlg1","Fscn1","Myo1e","Rasa1","Bcr","Sptbn1","Arhgef7","Nin","Rapgef5","Cdk5rap2","Csnk1d","Clip2","Numa1","Tiam1","Bcl2l11","Rock1","Arhgef11","Brca2","Palld","Apc","Nck2","Abi1","Kptn","Itsn1","Wasl","Tubgcp6","Pcnt","Alms1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.0658709581888632","0.329354790944316","0.287805130535564","0.365220999104656","1.33941731902348","53","Bmpr1b","Zbtb16","Epha5","Btg2","Tenm2","Ccdc106","Gtf3c5","Egf","Tgfb2","Arpp21","Ypel1","Zfp112","Cdkal1","Dcc","Abcg4","Prodh","Adra2c","Kmt2d","Pdk2","Igfbp2","Skil","Gpr19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.209718670076726","0.593869731800766","0.153158808683073","0.471491432693338","1.21611337878535","14","Vcan","Ptk2","Nrp1","Lrpap1","Vegfa","Fstl1","App","Jag1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.235772357723577","0.59593023255814","0.184706471207739","0.26314639692219","1.10740009340756","124","Slc2a1","Tfrc","Kdm7a","Vezf1","Mboat2","Xpo7","Nudt4","Daam1","Rbm5","Gapvd1","Ctns","Btg2","Tmem9b","Lpin2","Usp15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.238372093023256","0.59593023255814","0.153158808683073","0.328928527091417","1.1327861710478","38","Bcar3","Bmp2","Trim33","Sptbn1","Junb","Apc","Ski","Acvr1","Smurf2","Pmepa1","Skil","Klf10","Cdk9","Hdac1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.330960854092527","0.689501779359431","0.142901149386948","0.267537339034843","1.06155402213574","78","Satb1","Gfpt2","Itgbl1","Bmp2","Spon1","Nrp1","Snap91","Ank","Mmp11","Snap25","Evi5","Ccser2","Nin","Crot","Cdadc1","St6gal1","Rabgap1l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.378172588832487","0.746487119437939","0.109250039480711","0.358259703757886","1.0574115562668","22","Wars","Ncoa7","B2m","Cmtr1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.4","0.746487119437939","0.12384217120105","0.27107487067925","1.01774061496124","58","Ift88","Pias2","Mlf1","Agfg1","Arl4a","Pacrg","Snap91","Stam2","Spata6","Ip6k1","Rad17","Dcc","Phkg2","Topbp1","Clvs1","Dbf4","Nf2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.408304498269896","0.746487119437939","0.125033367555272","0.268590289948474","1.01924164266964","64","Casp7","Wars","Arl4a","Serping1","B2m","St8sia4","Gpr18","Cmtr1","Auts2","Jak2","Rnf213","Ifnar2","Trim26","Sppl2a","Ripk1","Ptpn2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
