"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",1.045208820227e-33,1.41590166860138,0.703,0.117,7.68019441102799e-30
"Tsix",4.44905579700605e-12,0.464841314016087,0.27,0.026,1.63458309982002e-08
"Eif2s3y",1.69970214124374e-11,-0.5282658142213,0.036,0.381,4.16313711128634e-08
"Uty",8.03188511557408e-10,-0.443443917300542,0.036,0.338,1.47545729573096e-06
"Malat1",6.1089153861192e-07,0.0566134332600265,1,1,0.000897766205144078
"mt-Co2",1.54349404757028e-06,0.091307308715062,1,0.996,0.00189026571025774
"mt-Co3",2.02793952568894e-06,0.0796375080964351,1,1,0.00212875709068034
"mt-Atp6",3.04612062175172e-06,0.0787302105138417,1,1,0.00279786179107895
"Wdcp",8.1606009876901e-06,0.15851592443246,0.135,0.017,0.00666267733972743
"Eef1a1",1.73038900181652e-05,-0.273883590305735,0.757,0.9,0.0117187305838455
"Rpl21",1.75430098560561e-05,-0.296002037502933,0.613,0.784,0.0117187305838455
"Gm1673",4.16055511440994e-05,-0.288277080077805,0.514,0.714,0.0254764658172369
"Tubb2b",6.53537641300927e-05,-0.115366215078132,0.964,0.97,0.0369399583713785
"Ss18l2",7.33969652883739e-05,-0.213620535765727,0.027,0.182,0.0385229214956408
"mt-Cytb",8.14933097723642e-05,0.070826346513587,1,1,0.0399208560138221
"Stmn1",0.000103538926699513,-0.101528785151862,1,1,0.0475502520867514
"Smc3",0.00011227328991936,-0.306626983608323,0.297,0.532,0.0485284784898505
"Rps27",0.000125135033175096,-0.254759256885398,0.613,0.762,0.0510829013205893
"Dhx15",0.000132900559128369,-0.305616992836438,0.18,0.368,0.0513975425513293
"Mrpl12",0.000157251890266054,-0.243222229528417,0.081,0.255,0.0566731830851121
"Rpl35a",0.000161967453019509,-0.290559500576558,0.541,0.745,0.0566731830851121
"H1fx",0.000181838778458606,-0.322738119815852,0.234,0.433,0.0607341520051743
"Atp5f1",0.000206519141756602,-0.292762681528297,0.333,0.537,0.0659783762446743
"H3f3b",0.000257229811796305,-0.0886672673737836,1,0.996,0.0787551940449687
"Dstn",0.000318798924359889,-0.293789212941606,0.333,0.554,0.0891677753355973
"Gm27241",0.000324793943338074,0.263139882031944,0.252,0.108,0.0891677753355973
"Suclg1",0.000332952339176142,-0.238374754399697,0.081,0.238,0.0891677753355973
"Eif3f",0.000353144596866611,-0.298056858681101,0.234,0.433,0.0891677753355973
"BC052040",0.000367768235036531,-0.236747041651342,0.063,0.212,0.0891677753355973
"Mrps28",0.000368811386065982,-0.204572629613212,0.063,0.216,0.0891677753355973
"mt-Nd2",0.000376184136554643,0.0966500021515482,0.991,0.987,0.0891677753355973
"Exoc5",0.000436601326751126,-0.263858136694201,0.279,0.485,0.0980906471726224
"Ddx3y",0.000455483595858774,-0.143589526814318,0.009,0.121,0.0980906471726224
"Bag1",0.000462552191143865,-0.243246948477867,0.126,0.294,0.0980906471726224
"Sars",0.000467225456048147,-0.268393066231171,0.189,0.377,0.0980906471726224
"Kdm5d",0.000495112183061805,-0.201485320126251,0.054,0.203,0.101057897809393
"Tmsb10",0.000545525503539619,-0.160422063805117,0.892,0.909,0.107701207957052
"Mrpl53",0.000556974129336957,-0.241396157339656,0.117,0.286,0.107701207957052
"Bex3",0.000584703595325712,-0.286044430243672,0.261,0.459,0.109223528239758
"Gpr89",0.000594575548392806,0.248782672138786,0.216,0.091,0.109223528239758
"Rps28",0.000616170325348919,-0.207686295139162,0.694,0.805,0.110429745138143
"Echs1",0.000673672229227368,-0.167317979365017,0.054,0.199,0.114140366656035
"Rps15a",0.000720397663578855,-0.254001135283473,0.577,0.706,0.114140366656035
"Snrnp27",0.00072259840759536,-0.239311642597135,0.135,0.303,0.114140366656035
"Hcfc2",0.000723335690731494,-0.177625279194381,0.027,0.152,0.114140366656035
"Bax",0.000726079746349471,-0.2612717906533,0.18,0.355,0.114140366656035
"Uqcrh",0.000730585442604882,-0.278809060100514,0.369,0.563,0.114140366656035
"Rpl41",0.000745609363022546,-0.202737471668499,0.694,0.784,0.114140366656035
"Csde1",0.000779597546596479,-0.265087948863727,0.315,0.511,0.116907811681447
"Cct5",0.000809960705773975,-0.265869134480178,0.225,0.411,0.119031825320543
"Saraf",0.000845241057431465,-0.266393296823342,0.171,0.333,0.121152664134115
"Nrn1",0.000872044032378724,0.180777606525723,0.225,0.091,0.121152664134115
"Rpl13",0.000873855634064792,-0.17235589538733,0.829,0.896,0.121152664134115
"Prkra",0.000961615743261152,-0.204030684073022,0.054,0.186,0.130602139743836
"Armc10",0.000977560926226315,-0.2079379585314,0.072,0.212,0.130602139743836
"Gabarapl1",0.00106995838036469,-0.205423978362255,0.09,0.234,0.137956970207065
"Lrp1",0.00107016158162802,-0.24088328505708,0.225,0.407,0.137956970207065
"Scand1",0.00113738380624316,-0.246644606756384,0.27,0.472,0.139279494242228
"Prex1",0.00113937389274472,0.160020958213624,0.126,0.035,0.139279494242228
"Rpl5",0.00115339174930084,-0.233238764400774,0.541,0.675,0.139279494242228
"Chmp5",0.00117295027110442,-0.217258703811707,0.135,0.303,0.139279494242228
"Selenow",0.00117519442610481,-0.210260431437272,0.595,0.714,0.139279494242228
"Bag6",0.00125424342779871,-0.224204595362561,0.162,0.329,0.146288582658174
"2310011J03Rik",0.00131375847193408,-0.140743906823446,0.009,0.108,0.149083432641956
"Pebp1",0.00132397903503348,-0.224435350711001,0.604,0.749,0.149083432641956
"Rpl3",0.00135294230371214,-0.269204835326239,0.441,0.636,0.149083432641956
"Atp6v1a",0.00136654578747996,-0.227560316971657,0.153,0.316,0.149083432641956
"Prelid1",0.00137965071035016,-0.202346100399836,0.108,0.251,0.149083432641956
"Ndufs6",0.00149641292566122,-0.225805030840613,0.171,0.333,0.159357133010995
"Nipsnap1",0.0016256350546116,-0.22012711066806,0.162,0.32,0.170645234018372
"Hnrnpab",0.00165221724952177,-0.25310436072202,0.387,0.563,0.17099284999276
"Hmgn1",0.00167734915830509,-0.228098549383305,0.559,0.723,0.17118280021147
"Hdac2",0.0017427988795024,-0.238990858850798,0.324,0.515,0.171193342142366
"Cops6",0.00174776015560604,-0.178399848820344,0.108,0.264,0.171193342142366
"Idh3a",0.00175706278863426,-0.187683609827366,0.054,0.177,0.171193342142366
"Rpl15",0.00179096739745194,-0.163021853552811,0.757,0.81,0.171193342142366
"Syt6",0.00183541392042452,-0.257342669825696,0.171,0.346,0.171193342142366
"Cwc15",0.00188587987329989,-0.182011008972307,0.135,0.29,0.171193342142366
"Tmsb4x",0.00188920647329425,-0.0878524165898817,0.991,0.996,0.171193342142366
"Stag1",0.00189178702024764,-0.243163064730147,0.514,0.697,0.171193342142366
"Tiam2",0.00191845756745668,-0.287394074980678,0.324,0.511,0.171193342142366
"Mmadhc",0.00194162677414387,-0.182105468127587,0.072,0.208,0.171193342142366
"Tmem160",0.00196634084028616,-0.185818855372056,0.063,0.19,0.171193342142366
"Rpl31",0.00200036249009139,-0.270186796644088,0.279,0.446,0.171193342142366
"Gm47283",0.00200318098277677,-0.243420094279889,0.414,0.615,0.171193342142366
