"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82","Leading Edge 83","Leading Edge 84","Leading Edge 85","Leading Edge 86","Leading Edge 87","Leading Edge 88","Leading Edge 89"
"HALLMARK_KRAS_SIGNALING_DN","0.218186500194786","0.600327451337093","0.249246554383295","0.340268793885679","1.14800359367756","33","Epha5","Zbtb16","Prkn","Ptprj","Vps50","Kmt2d","Btg2","Sgk1","Gtf3c5","Asb7","Gpr19","Kcnq2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.620689655172414","0.862068965517241","0.131457611642763","0.325993037437311","0.854467091858566","11","Vegfa","Lrpap1","Tnfrsf21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.843478260869565","0.998963730569948","0.139599673451922","0.234002733113476","0.731399440962249","23","Celsr1","Vegfa","Vldlr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.904458598726115","0.998963730569948","0.112378519110475","0.234367424548156","0.66264749567393","14","Atp6v0a4","Adipor2","Ncoa6","Flot2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.998963730569948","0.998963730569948","0.00893801210835004","-0.158033822378121","-0.448160890580566","76","Actb","Pfn1","Nf2","Gnai2","Rasa1","Vcan","Nf1","Fscn1","Tmem8b","Taok2","Cntn1","Ywhah","Pik3cb","Bmp1","Sgce","Hras","Myh9","Lima1","Map3k20","Evl","Pik3r3","Gnai1","Slit2","Actg1","Ctnna1","Akt3","Arpc2","Tjp1","Myl12b","Itgb1","Mapk14","Irs1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.995863495346432","0.998963730569948","0.00906269502060309","-0.179669500706713","-0.509499982416214","75","Cited2","Rnd3","Wdr37","Tent4a","Cdk13","Atp2b1","Aggf1","Fzd2","Ddah1","Plcb4","Prdm2","Lamc1","Spop","Igf1r","Zmiz1","Acvr2a","Atrn","Col11a1","Map1b","Pik3r3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.978170478170478","0.998963730569948","0.0115202567953401","-0.207881775832115","-0.586406659178529","69","Cited2","Pgk1","Gpc1","Tiparp","Eno1","Slc6a6","Klf6","Sap30","Jmjd6","Foxo3","Aldoa","Atp7a","Tpi1","Pim1","Map3k1","Mif","Ets1","Pnrc1","Bnip3l","Prdx5","Myh9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_NOTCH_SIGNALING","0.944777911164466","0.998963730569948","0.0237915888102658","-0.280189936546561","-0.610407906220958","12","Rbx1","Sap30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.930177514792899","0.998963730569948","0.0238622865877092","-0.284980905945694","-0.641238513069526","14","Chga","Dcx","Pax6","Spcs1","Sec11a","Mafb","Akt3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.92576882290562","0.998963730569948","0.0174698106128933","-0.251874977912599","-0.689586633346948","53","Lrp1","Basp1","Gpc1","Magee1","Fbn2","Pfn2","Aplp1","Fuca1","Cald1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
