"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm3764",0.0018137853210888,0.803710831806797,0.636,0.118,0.761401838737478
"M6pr",0.00181867069488771,-0.898820727685527,0.091,0.706,0.761401838737478
"Cox7b",0.00249279557123379,0.725516142079961,0.818,0.176,0.761401838737478
"Fgf13",0.00255735279126903,-0.925757887463019,0.091,0.765,0.761401838737478
"Stox2",0.00264954033344849,0.966927634969793,0.636,0.118,0.761401838737478
"Cep350",0.00299211946510249,0.740722725808285,0.545,0.059,0.761401838737478
"Atrnl1",0.00299211946510249,0.763757921841585,0.545,0.059,0.761401838737478
"Accs",0.00309557221521141,0.592960796596617,0.455,0,0.761401838737478
"Ss18l1",0.00309557221521141,0.565532975565419,0.455,0,0.761401838737478
"Glmn",0.00309557221521141,0.547636502193653,0.455,0,0.761401838737478
"Irs2",0.00309557221521141,0.68137611899053,0.455,0,0.761401838737478
"Dop1b",0.00309557221521141,0.591940001809455,0.455,0,0.761401838737478
"Rab11fip3",0.00309557221521141,0.580503304515047,0.455,0,0.761401838737478
"Hdgfl2",0.00309557221521141,0.513464278600599,0.455,0,0.761401838737478
"Mgat4a",0.00359779712660547,-0.858035697234666,0.273,0.824,0.761401838737478
"Ube3c",0.00363246922715461,0.746529922184679,0.636,0.176,0.761401838737478
"Zfp1",0.00365261377588718,0.649402343418937,0.545,0.059,0.761401838737478
"Vps13b",0.00384280719999355,-0.863878402560953,0.182,0.706,0.761401838737478
"Cdk17",0.00416156825863499,0.699455940733141,0.818,0.294,0.761401838737478
"Xist",0.00419985800897028,1.09237097671757,0.727,0.294,0.761401838737478
"Arl5b",0.00467014748014104,0.610817757685368,0.727,0.176,0.761401838737478
"Actg1",0.00474329863252717,-0.427715573719039,0.818,0.941,0.761401838737478
"Gm12353",0.00538567762261519,0.764807408780015,0.545,0.059,0.761401838737478
"Ptprk",0.00538567762261519,0.820933718180878,0.545,0.059,0.761401838737478
"Rictor",0.00545480226595578,-0.827658173294744,0,0.529,0.761401838737478
"Ctsl",0.00611587213419681,-0.777859857603467,0.636,0.882,0.761401838737478
"Helz",0.00670068606206009,-0.690577733419793,0.091,0.647,0.761401838737478
"Itch",0.00724660338341468,0.639826600897023,0.727,0.235,0.761401838737478
"Neo1",0.00727929523188483,0.667987449356053,0.545,0.118,0.761401838737478
"Top2b",0.00768856819836719,0.548806686689199,0.636,0.118,0.761401838737478
