"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72"
"HALLMARK_UV_RESPONSE_DN","0.00501389825793719","0.0292840488476217","0.407017918923954","0.393583917582077","1.53524166601034","94","Ccn1","Ddah1","Tjp1","Zmiz1","Schip1","Pik3r3","Ica1","Fyn","Map2k5","Anxa2","Prdm2","Nfib","Inpp4b","Plcb4","Cdk13","Plpp3","Atp2b1","Adgrl2","Atxn1","Rasa2","Smad7","Cdc42bpa","Mmp16","Insig1","Bckdhb","Arhgef9","Ltbp1","Grk5","Runx1","Rxra","Met","Pdgfrb","Smad3","Kalrn","Map1b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.013006286639427","0.059119484724668","0.380730400722792","0.462083791208986","1.57524252802826","43","Tjp1","Tgfb1","Id3","Fnta","Cdk9","Smurf1","Ctnnb1","Smad1","Klf10","Smad7","Sptbn1","Wwtr1","Furin","Ncor2","Smad3","Xiap","Fkbp1a","Rab31","Skil","Trim33","Smurf2","Ppp1r15a","Junb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.0509337860780985","0.169779286926995","0.261663521711573","0.372411121201787","1.38184183278903","65","Vim","Ccn1","Slit2","Tgfb1","Igfbp2","Cald1","Sfrp1","Sgcd","Spock1","Dpysl3","Pfn2","Copa","Gadd45b","Cdh2","Il15","Aplp1","Ntm","Lrp1","Mest","Plaur","Lgals1","Pdgfrb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.179310344827586","0.407523510971787","0.134273452883202","0.340655914568662","1.19179811466633","49","Tgfb1","Il15ra","Cd36","Cd38","Il2rg","Grb2","Ifnar1","Pim1","Ccr1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.344370860927152","0.606060606060606","0.0891647117820678","0.266470570177698","1.05320336192122","103","Jam3","Syk","Tsc1","Slit2","Tjp1","Pik3r3","Gnai1","Nectin1","Ldlrap1","Ptk2","Nrxn2","Cdh4","Pfn1","Tubg1","Negr1","Cadm2","Tial1","Exoc4","Vcl","Plcg1","Insig1","Nectin2","Myh10","Arhgef6","Akt2","Gamt","Cd86","Pik3cb","Mpzl1","Actn2","Pard6g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.345878136200717","0.606060606060606","0.0934449219410994","0.312552520933483","1.07355446287166","45","Prkn","Epha5","Igfbp2","Kcnq2","Dcc","Camk1d","Tenm2","Bmpr1b","Sphk2","Gtf3c5","Gamt","Nr6a1","Coq8a","Arpp21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.357142857142857","0.606060606060606","0.0943563635421779","0.368151237871725","1.06182777239218","22","Maml1","Gnai1","Ppard","Ctnnb1","Rbpj","Ncor2","Hdac2","Csnk1e","Adam17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.574137931034483","0.818822553897181","0.0646484568421928","0.266268806452348","0.931551891374544","49","Jam3","Agfg1","Pacrg","Camk4","Braf","Dcc","Ip6k1","Scg3","Chfr","Mllt10","Scg5","Cnih2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.639423076923077","0.864085239085239","0.0560595875032335","0.22700984553197","0.913255532689074","112","Tfdp2","Synj1","Dcaf10","Lpin2","Slc7a11","Epb41","Sec14l1","Atp6v0a1","Kdm7a","Cdc27","Bach1","Sdcbp","Add1","Cir1","Klf3","Sidt2","Clcn3","Blvra","Tspan5","Tcea1","Ranbp10","Fech","Rcl1","Mxi1","Arhgef12","Gclm","Mark3","Dcun1d1","Eif2ak1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.718861209964413","0.921616935851811","0.0554793308704233","0.251184099032248","0.864714252648188","47","Stx5a","Gnai1","Aldoc","Nfil3","Stard4","Fads2","Anxa5","Tm7sf2","Ctnnb1","Hmgcr","Pdk3","Trp53inp1","Antxr2","Plaur","Alcam","Sqle","Errfi1","Chka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
