"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",1.63892716579187e-23,1.35776646346019,0.6,0.077,1.22231188024758e-19
"Uty",9.88577702487183e-15,-0.596211654620275,0.037,0.432,3.68640625257470e-11
"Eif2s3y",1.8474306997721e-14,-0.608366747103983,0.067,0.471,4.59271271963343e-11
"Tsix",3.04629881052684e-14,0.557309685857007,0.333,0.006,5.67982413222729e-11
"Gm47283",6.68185492482666e-07,-0.381800124070943,0.422,0.658,0.000977864167993161
"mt-Atp6",7.86696836679937e-07,0.0565330011684284,1,1,0.000977864167993161
"mt-Nd1",1.08550946979179e-06,0.0851929737091015,1,1,0.00115653280367246
"mt-Co2",1.20263036651638e-05,0.0531868894505023,1,1,0.0112115215918489
"Rps9",1.46324821879849e-05,-0.263631082576074,0.711,0.858,0.0113668004125014
"Stmn1",1.52410839534747e-05,-0.110570153124174,0.985,0.987,0.0113668004125014
"mt-Nd2",2.11708591303697e-05,0.0628711515790141,1,1,0.0143538424903906
"H3f3a",3.38934836526564e-05,-0.131915970434524,0.956,0.968,0.0210648000901259
"Hsp90ab1",4.50880429146806e-05,-0.157350597376243,0.926,0.974,0.0244997160966607
"Rsrp1",4.5990349336719e-05,-0.234374702778658,0.711,0.865,0.0244997160966607
"Srsf7",5.19635203584289e-05,-0.274737914649393,0.622,0.806,0.0254139979952451
"Ahdc1",5.45218514245001e-05,0.311321519386346,0.452,0.232,0.0254139979952451
"Kdm5d",7.06368928482232e-05,-0.256393686660999,0.059,0.226,0.0309888204036499
"Rbm39",8.41829912773741e-05,-0.171095704951058,0.859,0.929,0.0343309921136857
"Igfbpl1",8.74616318262307e-05,-0.0916683381298915,1,1,0.0343309921136857
"Ipo7",0.000135726249455154,-0.247659831302849,0.074,0.232,0.0506123184218268
"Cd63",0.0001619134654446,-0.302270431581355,0.193,0.387,0.0575024107278964
"Gm9968",0.000173129710598631,0.338269753615949,0.378,0.2,0.0586909718929361
"Adnp",0.000189787818433507,0.275069905343697,0.585,0.368,0.0613862920831911
"Rnf157",0.000201652776319159,0.283328085568317,0.541,0.335,0.0613862920831911
"Rps26",0.000205773304113674,-0.247293901454826,0.696,0.858,0.0613862920831911
"Mfap4",0.00028345216832932,-0.346587682407193,0.43,0.606,0.0803665583180069
"Tmed4",0.00029094892391877,-0.246748785989949,0.111,0.277,0.0803665583180069
"Rps7",0.000330432223242596,-0.181703539297997,0.837,0.91,0.0880129828908316
