"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.0686015831134565","0.268194562964769","0.282013350011725","0.417999640478647","1.41220916426283","50","Jun","Dennd5a","Pde4b","Klf9","Fos","Ehd1","Junb","Ier2","Mcl1","Btg2","B4galt5","Panx1","Ier5","Dusp1","Pnrc1","Cflar","Plpp3","Nfkb1","Ccnl1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.119700748129676","0.389437689969605","0.204294756516886","0.40979545900242","1.28461820568778","32","Asb7","Grid2","Kmt2d","Cpeb3","Ypel1","Cdkal1","Tenm2","Plag1","Btg2","Slc25a23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.2171581769437","0.571468886693947","0.154190966581424","0.315551223058644","1.13489799046345","66","Wwc1","Ablim1","Med13l","Inpp5f","Fos","Akap1","Fdft1","Sh3bp5","Lrig1","Abca3","Farp1","Bcl2","Abhd2","Igf1r","Xbp1","Rab31","Slc1a4","Adcy9","Elovl5","Rhobtb3","Tob1","Nav2","Rps6ka2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.259459459459459","0.617760617760618","0.140406238523342","0.314122041876619","1.11526107464897","64","Jun","Wee1","Sod1","Timp3","Madd","Sptan1","Cdkn1b","Pak1","Mcl1","Btg2","Casp3","Dnaja1","Bcl2l1","Gpx4","Etf1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL2_STAT5_SIGNALING","0.323684210526316","0.683720930232558","0.122107920287081","0.305494864135348","1.07178800796189","60","Dennd5a","Ncs1","Odc1","Cdc42se2","Itga6","Lrig1","Bcl2","Igf1r","Ncoa3","Phtf2","Uck2","Xbp1","Rragd","Casp3","Praf2","Hipk2","Bcl2l1","Gpx4","Bmpr2","Rora","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.339181286549708","0.683720930232558","0.126253987849115","0.276216713592891","1.04132269918447","85","Nf2","Nfasc","Mpzl1","Tro","Tmem8b","Sirpa","Myh9","Rasa1","Epb41l2","Fscn1","Nectin1","Ywhah","Myh10","Src","Pard6g","Slit2","Vasp","Itga9","Map3k20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_NOTCH_SIGNALING","0.341860465116279","0.683720930232558","0.110122263835536","0.434546451873586","1.1022571618333","13","Fbxw11","Maml2","Wnt5a","Dll1","Sap30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.378016085790885","0.725863911649448","0.112843355675562","0.287630089353253","1.03447803890515","66","Nedd4l","Jun","Foxo3","Fos","Gpc1","Myh9","Bcl2","Cdkn1b","Dtna","Atp7a","Pfkl","Gcnt2","Mxi1","Kdm3a","Errfi1","Rragd","Vhl","Sap30","Rora","Aldoa","Ddit4","Map3k1","Dusp1","Pdk3","Dpysl4","Cited2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.406483790523691","0.725863911649448","0.103576326612592","0.327906238747216","1.02791359640418","32","Acvr1","Map3k7","Smad1","Smurf2","Tgfbr1","Sptbn1","Hdac1","Junb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.484018264840183","0.801762940735184","0.0880945010398517","0.403006244712422","0.973713934297529","11","Gas1","Tmem8b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.497093023255814","0.801762940735184","0.100633389423036","0.255408211737188","0.950540966751607","80","Prkce","Phf3","Arhgef9","Cdkn1b","Sipa1l1","Ica1","Atp2b4","Kalrn","Amph","Igf1r","Map1b","Apbb2","Pex14","Prdm2","Tent4a","Zmiz1","Fzd2","Spop","Dusp1","Cited2","Fyn","Plpp3","Lamc1","Bckdhb","Nfkb1","Nipbl","Cdk13","Acvr2a","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.590909090909091","0.868983957219251","0.0797705918628453","0.334562981602134","0.892255120798325","17","Pak3","Foxo1","Pax6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.610666666666667","0.872380952380952","0.0838361057159929","0.259753481555412","0.896175057304302","58","Jun","Cadm1","Gas1","Slit3","Tpm1","Gpc1","Timp3","Wnt5a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.805104408352668","0.987935606768013","0.0626618230932491","0.290613975301189","0.744943665299621","14","Jun","Ifnar1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.830860534124629","0.989119683481701","0.0732558655828455","0.220353498244831","0.81986433553639","81","Jun","Cdh13","Foxo3","Fos","Ralgds","Csrnp2","Rab40c","Dnttip2","Pcna","Wwp1","Pitpnc1","Cdk5r1","Ccp110","Tprkb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.946949602122016","0.997429305912596","0.0613026075396207","0.201874975779348","0.70357815013743","59","Cdh13","Ablim1","Atp6ap1","Myh9","Sptan1","Dtna","Pick1","Gnao1","Adcy9","Sparc","Sorbs1","Wwtr1","Agl","Nav2","Bin1","Cacna1h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.983827493261456","0.997429305912596","0.0602484086158019","0.182959870650683","0.627380187658852","55","Peg3","St6gal1","Zfp277","Gprc5b","Avl9","Evi5","Epb41l3","Tspan7","Mmd","Strn","Map3k1","Mycn","Ephb2","Scg5","Nin","Akt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.997429305912596","0.997429305912596","0.0573667426768556","0.175036218541448","0.572342192576578","42","Stk39","Xrcc6","Abhd2","Ube2j1","Zmiz1","Elovl5","Hmgcs1","Xrcc5","Gnai3","Camkk2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","0.969004893964111","0.997429305912596","0.037770500132479","-0.209186448629684","-0.619039099713596","35","Gabbr1","Atp2a2","Sri","Raf1","Kif1b","Slc31a1","Atp2c1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.966423357664234","0.997429305912596","0.0326513265618535","-0.190870912507977","-0.709969236824757","132","Cntrl","Prc1","Alms1","Cdc42","Arl8a","Akap13","Ranbp9","Pcnt","Wasf1","Rapgef6","Sass6","Bcar1","Nf1","Bcr","Cep250","Arhgap5","Nck1","Sorbs2","Katna1","Ccdc88a","Kif1b","Cttn","Racgap1","Pafah1b1","Rasal2","Top2a","Cd2ap","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.932148626817447","0.997429305912596","0.0391155247681459","-0.237016431701726","-0.645508227081472","23","Arf4","Serping1","Gnb2","Bmp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.897865853658537","0.997429305912596","0.0381628909049257","-0.220902154363974","-0.778725576876181","92","Prdx2","Ppox","Rnf123","Pgls","Sec14l1","Hmbs","Hdgf","Trak2","Fbxo9","Ezh1","Clcn3","Agpat4","Ranbp10","Xpo7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.875","0.997429305912596","0.0422468188360053","-0.2327731262203","-0.739375310834548","48","Psma3","Serping1","Ptpn1","Sri","Arid5b","Psme2","Rapgef6","Psme1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PROTEIN_SECRETION","0.81010719754977","0.987935606768013","0.0431036828790402","-0.240072754603458","-0.819324762409853","73","Arf1","Rab14","Ergic3","Gnas","Cope","Scamp1","Snx2","Vamp3","Tmx1","Rab2a","Rab22a","Clcn3","Anp32e","Kif1b","Copb2","Clta","Ykt6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.809917355371901","0.987935606768013","0.0466015072985992","-0.279132235362637","-0.751881775846853","22","Psma3","Psme2","Psme1","Mvb12a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.75","0.986842105263158","0.0504983044100709","-0.300481974536452","-0.80292106612096","21","Hdac2","Adam17","Ncstn","Rbpj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.746666666666667","0.986842105263158","0.0507027937029348","-0.301145398481533","-0.804693808269959","21","Vegfa","Cdk6","Crmp1","Nf1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","0.74313408723748","0.986842105263158","0.0494904866135495","-0.279409580638698","-0.790958100728391","27","Prdx2","Prnp","Ftl1","Prdx1","Prdx4","Ptpa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.540192926045016","0.818474130371237","0.0642140881844605","-0.294435819308317","-0.949954347372169","52","Fis1","Slc25a4","Scp2","Slc23a2","Abcd2","Fdps","Hmgcl","Prdx1","Hras","Pex13","Top2a","Ctbp1","Idh1","Prdx5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.516611295681063","0.807205149501661","0.0679922591544058","-0.333638281471265","-0.961315901682333","31","Scp2","Slc23a2","Abcd2","Slc29a1","Pipox","Pex7","Pnpla8","Pfkm","Pex13","Idh1","Prdx5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.490033222591362","0.801762940735184","0.070619624712259","-0.340846325927561","-0.98208452489102","31","Dhcr7","Alcam","Sqle","Fdps","Actg1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.400318979266348","0.725863911649448","0.0789209638180035","-0.311949567853789","-1.03349309250428","61","Cox6c","Dhcr7","Mdk","Id2","Plxnb1","Tspan13","Ckb","Bag1","Slc29a1","Hprt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ADIPOGENESIS","0.292151162790698","0.663979915433404","0.0911073131586733","-0.302725985452087","-1.08683045480669","104","Dhcr7","Scp2","Coq9","Uqcr10","Uqcr11","Tkt","Cox8a","Aplp2","Mdh2","Atp5o","Pim3","Apoe","Cox7b","Coq5","Miga2","Aifm1","G3bp2","Ddt","Cox6a1","Ghitm","Arl4a","Araf","Uqcrq","Dld","Por","Ndufab1","Idh1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_FATTY_ACID_METABOLISM","0.234177215189873","0.585443037974684","0.109684061970549","-0.342956905269848","-1.14477377173144","64","Erp29","Sdhd","Etfdh","Mdh2","Ldha","Rap1gds1","Pts","S100a10","Psme1","Ncaph2","Hmgcl","Apex1","Acot1","Cd1d1","Gstz1","Ccdc58","Dld","Idh1","Sdhc","Eci2","Gabarapl1","Hsd17b10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.188712522045855","0.524201450127376","0.132147260608774","-0.533127175285635","-1.26340970323981","12","Vegfa","Col5a2","Fstl1","App","Nrp1","Ccnd2","Ptk2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.155309033280507","0.456791274354433","0.13880510939114","-0.376915265669028","-1.23102584441178","56","Pfn1","Grb2","Xpnpep1","Serping1","Calm1","Akap10","Pclo","Hspa5","Usp16","Gnai2","Cr1l","Gnb2","Raf1","Calm3","Pdp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
