"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",6.69376532711292e-72,1.31384494359069,0.746,0.132,6.74262981400085e-68
"Tsix",1.30629289401774e-56,0.366054587872076,0.437,0.021,6.57914416072036e-53
"Uty",6.57833817340727e-26,-0.480474890894227,0.148,0.665,2.20878668069105e-22
"Eif2s3y",1.35486029945577e-20,-0.3876937028573,0.155,0.605,3.4118769491045e-17
"Kdm5d",1.29102890448304e-12,-0.2587925939738,0.092,0.407,2.60090683097154e-09
"Ddx3y",5.68594684418488e-12,-0.237088234854625,0.092,0.395,9.54575709357906e-09
"mt-Cytb",2.31428021226872e-07,0.0750626446543374,1,1,0.000333024922545468
"Nfatc3",2.1473181962449e-06,0.192505049201824,0.648,0.45,0.00270374202384686
"Tmtc1",4.00422616478426e-06,0.176612052528745,0.331,0.163,0.00448161890643021
"mt-Atp6",8.35432953309616e-06,0.0676054635166485,1,1,0.00841531613868776
"Mef2c",2.50404996523347e-05,0.343335920469219,0.655,0.54,0.0229302684543607
"Dync1i1",3.10821718064834e-05,0.237465444561646,0.359,0.208,0.0260908930505589
"Igfbpl1",4.06133520867255e-05,-0.0559201552552953,1,0.999,0.031109708929486
"Cdk11b",4.32379554266657e-05,0.158450099265579,0.761,0.632,0.031109708929486
"mt-Nd4l",4.67519313447237e-05,0.16134811442931,0.901,0.793,0.0313954802956935
"Btbd11",5.01434235275544e-05,0.152592465070948,0.268,0.133,0.0314765743230411
"Ryr2",5.60233830813832e-05,0.0884822307075794,0.113,0.034,0.0314765743230411
"mt-Nd2",5.62472290097032e-05,0.0865689282119768,1,1,0.0314765743230411
"H3f3b",6.44827109361271e-05,-0.0476274775575236,1,0.999,0.0328385086760995
"mt-Co1",6.5201049689466e-05,0.0666510188648965,1,1,0.0328385086760995
"Tenm2",7.48531691160413e-05,0.203972009729209,0.93,0.901,0.0359045701193278
"Gm41609",8.90741278192352e-05,0.0477974359966541,0.127,0.042,0.0390487438477196
"mt-Co2",8.91612338427033e-05,0.0647499889072649,1,1,0.0390487438477196
"Lhx2",9.84634046405277e-05,-0.166282592371619,0.873,0.938,0.0405189154527573
"Ptprz1",0.000103032173582236,0.188246430354349,0.901,0.867,0.0405189154527573
"Esd",0.00010458570453407,-0.133823133107628,0.775,0.859,0.0405189154527573
"Gm26936",0.000121001854588267,0.10999430688775,0.359,0.202,0.0438796754416765
"Sat2",0.000125284760035938,0.102168032648715,0.31,0.168,0.0438796754416765
"Fam189b",0.000126328858116611,0.0965834897497641,0.261,0.132,0.0438796754416765
"Ccbe1",0.000140342752329829,0.167845221704787,0.218,0.106,0.0471224181406124
