"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60"
"HALLMARK_KRAS_SIGNALING_DN","0.0341456496518275","0.401722655655747","0.321775918075361","0.514614437187351","1.6352677500472","55","Ryr2","Tenm2","Slc16a7","Bmpr1b","Ptprj","Sphk2","Kcnq2","Ryr1","Arhgdig","Nudt11","Btg2","Gpr19","Skil","Ccdc106","Arpp21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT","0.0985221674876847","0.454952267303103","0.181383128498408","0.352360833559211","1.25016691912448","131","Cdc7","Slc38a1","Kif15","Prc1","Gspt1","Cenpe","Xpo1","Sap30","Top2a","Nup98","Srsf2","Ewsr1","Brca2","Cdc20","Nusap1","E2f3","Mki67","Hnrnpu","Foxn3","Kmt5a","Ythdc1","Lmnb1","Gins2","Fancc","Mapk14","Pura","Cdc25a","Mcm2","Tra2b","Rbl1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.0996563573883162","0.454952267303103","0.184706471207739","0.369339193420754","1.27141118270054","100","Rapgefl1","Dhrs3","Kazn","Gla","Mast4","Tgif2","Snx24","Siah2","Inhbb","Retreg1","Adcy9","Ablim1","Fhl2","Slc39a6","Cbfa2t3","Thsd4","Med13l","Nav2","Aff1","Scarb1","Jak2","Bcl2","Flnb","Slc24a3","Slc1a4","Isg20l2","Akap1","Tmem164","Fkbp5","Slc16a1","Rhobtb3","Rrp12","Med24","Dhcr7","Syngr1","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.119791666666667","0.454952267303103","0.16823816568964","0.366623660499389","1.24440981310853","90","Adgrl2","Kcnma1","Celf2","Apbb2","Atp2b1","Prkca","Prkar2b","Kalrn","Fhl2","Cap2","Ica1","Ythdc1","Atxn1","Dyrk1a","Fyn","Bckdhb","Mios","Mapk14","Schip1","Vldlr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.167752442996743","0.460860272508683","0.135002033828631","0.312427061139665","1.13224977379742","153","Kif15","Prc1","Flna","Cenpe","Vcl","Nin","Arfip2","Top2a","Trio","Sptbn1","Abr","Clip1","Brca2","Epb41l2","Nedd9","Nusap1","Smc3","Arhgap10","Cdc42ep4","Myo9b","Lmnb1","Hook3","Atg4b","Kif3b","Dock4","Tsc1","Flnb","Apc","Bcr","Kif3c","Tlk1","Wasl","Pxn","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_E2F_TARGETS","0.199675324675325","0.492411076352682","0.122107920287081","0.315117912085622","1.12272388267669","135","Prkdc","Cdca8","Gspt1","Xrcc6","Diaph3","Cenpe","Xpo1","Pold1","Top2a","Rbbp7","Srsf2","Mxd3","Brca2","Cdc20","Smc3","Ube2t","Nme1","Dnmt1","Mki67","Lmnb1","Ctps","Cse1l","Rpa1","Mcm4","Rrm2","Usp1","Cdc25a","Mcm2","Tra2b","Brms1l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V2","0.348540145985401","0.670269511510387","0.0940503465727813","0.34476953202709","1.05124855622925","45","Tfb2m","Nip7","Bysl","Utp20","Aimp2","Mcm4","Slc19a1","Srm","Slc29a2","Rrp12","Ndufaf4","Pprc1","Tcof1","Farsa","Gnl3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.401041666666667","0.672743055555556","0.0833634065110386","0.304094243414566","1.01098463066327","78","Gfpt2","Pde4b","Plk2","Litaf","Sik1","Atp2b1","Fjx1","Ifngr2","Nr4a1","Ppp1r15a","Ripk2","Btg2","Ptpre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.476521739130435","0.672743055555556","0.0743625384422526","0.290568988787612","0.961338438368372","76","Gfpt2","Nin","Epb41l3","Mycn","Gucy1a1","Rabgap1l","Prrx1","Mmp11","Etv5","Cdadc1","Strn","Ppp1r15a","Avl9","Trib2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.484375","0.672743055555556","0.0734381410838857","0.294044567800733","0.966343365952373","71","Mef2c","Foxo4","Cacna1h","Gaa","Ak1","Ryr1","Adcy9","Wwtr1","Ablim1","Mef2d","Sparc","Pcx","Nav2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.6654478976234","0.756190792753864","0.0603786357920401","0.29251454739305","0.874344627729502","39","Acvr1","Sptbn1","Wwtr1","Ski","Id3","Ifngr2","Ppp1r15a","Skil","Apc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.694599627560521","0.771777363956135","0.059221919380382","0.293044692157071","0.851335302752063","32","Csrp1","Sh2b2","Mmp11","Sparc","Fyn","Fn1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.81260945709282","0.883271149013934","0.0490939668192139","0.242146757379659","0.792332087426445","69","Bmpr1b","Xrcc6","Slc38a2","Gucy1a1","Idi1","Arxes1","Iqgap2","Ndrg1","Fkbp5","Itgav","Hmgcr","Rrp12","Acsl3","Arid5b","Tsc22d1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.878839590443686","0.914369154816952","0.0443293451680314","0.225754092979366","0.763387579705794","86","Top2a","Rapgefl1","Gla","Cdc20","Siah2","Prkar2b","Aff1","Rabep1","Scarb1","Jak2","Gins2","Bcl2","Flnb","Slc24a3","Slc1a4","Fkbp5","Slc16a1","Dhcr7","Atp2b4","Mettl3","Tspan13","Ckb","Large1","Unc13b","Aldh3a2","Pdcd4","Igfbp4","Tob1","Dlg5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.896081771720613","0.914369154816952","0.0433636987883266","0.21793090673985","0.757123490629057","107","Efna3","Sap30","Gpc4","Gaa","Gpi1","Prkca","Slc6a6","Siah2","Mif","P4ha1","Ppp1r15a","Ddit4","Gpc1","Slc37a4","Errfi1","Scarb1","Bcl2","Ndrg1","Vldlr","Pfkfb3","Pdk1","Wsb1","Gys1","Pfkp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.959409594095941","0.959409594095941","0.0438879842863647","0.222233563245438","0.615658831296814","25","Unc5c","Tle1","Vldlr","Dpysl2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.867549668874172","0.914369154816952","0.0567672387487446","-0.281132607977279","-0.675357393209211","13","Tnfrsf21","App","Lrpap1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.62280701754386","0.724194206446349","0.0725351864394589","-0.334425858033094","-0.882058744062366","19","Neurod1","Dcx","Insm1","Chga","Akt3","Srp9","Spcs1","Srp14","Sec11a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_NOTCH_SIGNALING","0.620614035087719","0.724194206446349","0.0727141077934447","-0.335490554038149","-0.884866913342546","19","Rbx1","Psenen","Wnt5a","Cul1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_DNA_REPAIR","0.587926509186352","0.716983547788234","0.0850427463764322","-0.246335555271203","-0.934018590594453","136","Taf10","Rbx1","Rfc4","Dguok","Polr2i","Alyref2","Polr3c","Vps37b","Polr2a","Dgcr8","Zwint","Snapc5","Dad1","Gtf2b","Ncbp2","Rad52","Tmed2","Polr2f","Ago4","Rpa2","Sdcbp","Rfc2","Eloa","Mpc2","Ercc3","Ssrp1","Nt5c3","Cox17","Nt5c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MTORC1_SIGNALING","0.582677165354331","0.716983547788234","0.0855356947987884","-0.238020640290537","-0.930960205751298","160","Atp6v1d","Mthfd2l","Rit1","Pdap1","Psmc4","Scd2","Ak4","G6pdx","Hmbs","Ppa1","Sdf2l1","Psmd13","Hspa5","Immt","Cd9","Gbe1","Hsp90b1","Eprs","Gsk3b","Gmps","Actr3","Pitpnb","Tomm40","Acly","Psma4","Hmgcs1","Srd5a1","Adipor2","Ube2d3","Psmc6","Xbp1","Aldoa","Gga2","Idh1","Acaca","Eno1","Lgmn","Nmt1","Pgk1","Calr","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.570796460176991","0.716983547788234","0.0774767547848578","-0.366131325915824","-0.920541227427387","16","Crocc","App","Lyn","Gstm5","Adipor2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V1","0.514588859416446","0.677090604495323","0.0931454575337804","-0.243219181800305","-0.962596498850076","175","Hsp90ab1","Ap3s1","Rfc4","Snrpd2","Pole3","Psmc4","Eif4g2","Cul1","Cox5a","Apex1","Eif4h","Trim28","Rpl34","Ssbp1","Ncbp2","Rps5","Eprs","Vdac3","Uba2","Cct7","Rplp0","Prpf31","Psmd1","Snrpg","Hddc2","Psmd8","Ddx18","Psma4","Cyc1","Eif3j1","Srsf1","Xpot","Acp1","Rack1","Odc1","Psmc6","Ilf2","Hdac2","Pwp1","Ube2e1","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","0.513333333333333","0.677090604495323","0.0833634065110386","-0.289276247631378","-0.946633521292853","46","Gabbr1","Slc1a2","Ly6e","Ifitm2","Selenos","Acvr2a","Lyn","Hif1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.480769230769231","0.672743055555556","0.0913924325943768","-0.260686970979678","-0.966737374725718","105","Zyx","Adam23","Adam15","Negr1","Dhx16","Sgce","Ywhah","Mdk","Cdk8","Ppp2r2c","Jam3","Nrxn2","Rsu1","Tspan4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.466950959488273","0.672743055555556","0.0862865626267245","-0.35017028581464","-0.979431116211577","23","Il6st","Itga4","Tnfrsf21","Cd9","Ptpn1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.453159041394335","0.672743055555556","0.0891647117820678","-0.341328645612653","-0.98663959822938","27","Nkd1","Cul1","Ctnnb1","Axin2","Maml1","Ptch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.419953596287703","0.672743055555556","0.0972150808846466","-0.287295100533672","-0.997927694692378","69","Sema3c","Eci2","Slc25a17","Slc35b2","Ywhah","Pex11a","Bcl10","Sod1","Pex2","Idh2","Fis1","Fdps","Ercc3","Acox1","Idh1","Cat","Itgb1bp1","Mlycd","Scp2","Isoc1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.412887828162291","0.672743055555556","0.0999276973731092","-0.281789372809034","-0.991458070958884","80","Scg3","Ehd1","Spock2","Casp3","Rabif","Calm1","Prcp","Timp2","Hspa5","Zeb1","Prep","Calm3","Pclo","Lyn","Col4a2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","0.379807692307692","0.672743055555556","0.105520936843198","-0.277802086478235","-1.00917316959927","92","Pop4","Herpud1","Eef2","Cnot2","Exoc2","Eif4a2","Tubb2a","Hspa5","Atp6v0d1","Hsp90b1","Rps14","Nfya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.378571428571429","0.672743055555556","0.105125131597001","-0.290323303499784","-1.02400062987928","75","Gpx7","Edil3","Tpm1","Vim","Aplp1","Wnt5a","Fbln1","Magee1","Slit3","Fuca1","Cald1","Pfn2","Tpm4","Copa","Dpysl3","Col4a2","Pdlim4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.321184510250569","0.642369020501139","0.112843355675562","-0.318315171367252","-1.04345585854149","48","Pdk3","Scd2","Fabp5","Hsd17b7","Ctnnb1","Cd9","Gldc","Trp53inp1","Fdps","Hmgcs1","Pnrc1","Actg1","Lgmn","Pcyt2","Sqle","Antxr2","Fads2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","0.259340659340659","0.54029304029304","0.125033367555272","-0.354721699017381","-1.1112152340928","38","Prdx2","G6pdx","Gclm","Ptpa","Selenos","Sod1","Hmox2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.258536585365854","0.54029304029304","0.132846300606183","-0.293716725814594","-1.09292814860439","110","Mknk2","Fam162a","Rpl36","Ier5","Rps27l","Pmm1","Cd81","Ninj1","App","Ccp110","Tm7sf3","Fuca1","Nhlh2","Cyfip2","Blcap","S100a10","Prmt2","Rap2b","Ei24","Sesn1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.235294117647059","0.53475935828877","0.134273452883202","-0.328581942118041","-1.12817143124601","60","Psme1","Znfx1","Casp3","Lats2","Ly6e","Tor1b","St8sia4","Arl4a","Slc25a28","Cmtr1","Ptpn1","Hif1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_FATTY_ACID_METABOLISM","0.206812652068127","0.492411076352682","0.150169802128406","-0.313227839132326","-1.14530472946844","98","Psme1","Eci2","Sdha","Dld","Ywhah","Pdha1","Mdh2","Apex1","Hsdl2","Hsd17b7","Cbr1","Hsph1","Idh3b","Adsl","Blvra","Mcee","S100a10","Hmgcs1","Adipor2","Pdhb","Sdhc","Acox1","Idh3g","Hadhb","Odc1","Aldoa","Idh1","Mlycd","Auh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_GLYCOLYSIS","0.175126903553299","0.460860272508683","0.16823816568964","-0.312280797372162","-1.17930542978584","125","Stmn1","Fam162a","Cyb5a","Lhx9","Hdlbp","Pdk3","Dld","Psmc4","Ak4","Tpst1","G6pdx","Mdh2","Akr1a1","Copb2","Dpysl4","Hspa5","Pgm2","Sod1","Chst12","Glce","Hs2st1","Taldo1","Rragd","Sdhc","Nol3","Agl","Sox9","Aldoa","Idh1","B4galt4","Eno1","Pgk1","Hax1","Ndst3","Pkm","Qsox1","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_XENOBIOTIC_METABOLISM","0.166270783847981","0.460860272508683","0.166933848713193","-0.331111558711083","-1.19222771406106","88","Cyb5a","Asl","Hes6","Ddt","Pmm1","Tpst1","Tgfb2","Ddah2","Ninj1","Fbln1","Cbr1","Csad","Dhrs1","Cyfip2","Spint2","Mccc2","Tkfc","Gss","Jup","Acp1","Acox1","Idh1","Cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.145584725536993","0.454952267303103","0.179782316298324","-0.354865974995929","-1.24857347000393","80","Rnasel","H1f0","Satb1","Casp3","Ppp2r5b","Ctnnb1","Tgfb2","Gpx1","App","Bcl10","Timp2","Cdkn1b","Sod1","Pea15a","Cdc25b","Bcl2l1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PROTEIN_SECRETION","0.14218009478673","0.454952267303103","0.181383128498408","-0.346897868900522","-1.23547174602037","84","Gnas","Rab5a","Ap2m1","Stx7","Ap3s1","Clcn3","Copb2","Galc","Tmed10","Scamp1","Gbf1","Sod1","Tmed2","Atp1a1","Stx16","Napg","Sec24d","Napa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.133333333333333","0.454952267303103","0.188204146308491","-0.355935544798367","-1.25542186133957","75","Mknk2","Ap2m1","Cfl1","Ube2n","Rit1","Nck1","Mapk8","Plcb1","Cdkn1b","Hsp90b1","Gsk3b","Actr3","Prkaa2","Ecsit","Grk2","Ube2d3","Pten","Map3k7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ALLOGRAFT_REJECTION","0.116438356164384","0.454952267303103","0.197822021315103","-0.373448060928993","-1.26628111431294","57","Rpl39","Ube2n","Rps9","Nck1","Mtif2","Hdac9","Tgfb2","Cd47","Bcl10","St8sia4","Apbb1","Acvr2a","Lyn","Hif1a","Eif3j1","Map3k7","Rps19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL2_STAT5_SIGNALING","0.114754098360656","0.454952267303103","0.20207170902116","-0.365294518032417","-1.29662717137159","83","Casp3","Aplp1","Sh3bgrl2","Syt11","Tnfrsf21","Cd81","Plin2","Nop2","Socs2","Lclat1","Arl4a","Plpp1","Ptch1","Pus1","Ckap4","Map6","Dcps","Pou2f1","Bcl2l1","Dennd5a","Rragd","Praf2","Cdkn1c","Serpinb6a","Odc1","Xbp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.106753812636166","0.454952267303103","0.20207170902116","-0.466992151812818","-1.33990458483915","26","Psme1","Ly6e","Ifitm2","Cd47","Slc25a28","Cmtr1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.0755555555555556","0.454952267303103","0.245041785430996","-0.420976539050622","-1.377612254052","46","Slc35b2","Cyp7b1","Pnpla8","Pex11a","Gclm","Pex26","Sod1","Pex19","Idh2","Pex16","Pex7","Idh1","Cat","Mlycd","Scp2","Isoc1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.0569476082004556","0.454952267303103","0.287857117255149","-0.436169325096714","-1.46216139069708","53","Tsn","Scg3","Parp2","Rfc4","Clpb","Dcc","Jam3","Arl4a","Vdac3","Gstm5","Taldo1","Ddx25","Ift88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
