"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",2.04647726179497e-43,1.4691762825434,0.741,0.091,1.62183322997252e-39
"Tsix",3.70562108832398e-28,0.687675056837346,0.489,0.025,1.46835235624838e-24
"Eif2s3y",2.49189883000278e-16,-0.562349729408176,0.022,0.416,6.58276607592402e-13
"Uty",8.05326149666419e-10,-0.385534070000082,0.036,0.296,1.59555243402659e-06
"Sox4",6.43807575776018e-07,-0.177111703306711,0.935,0.971,0.00102043500760499
"Ddx3y",3.28450670812841e-06,-0.202655844355903,0.007,0.156,0.00433828594365294
"Tuba1a",4.26691337347886e-06,-0.0851319079525492,1,1,0.00483075549783142
"Kdm5d",5.02295189899092e-06,-0.209980818783929,0.007,0.152,0.00497586172493788
"mt-Nd4",7.89849448385229e-06,0.0680228029429912,1,1,0.00669610597428408
"mt-Co2",8.44934507796099e-06,0.0633138567050842,1,1,0.00669610597428408
"Zmym2",1.43683675374786e-05,-0.29280586370263,0.338,0.568,0.010351755703138
"Hsp90ab1",1.77753021344553e-05,-0.179744459834148,0.849,0.914,0.0117391057846299
"mt-Cytb",3.95457221900088e-05,0.0535353627194257,1,1,0.0237812479161304
"mt-Atp6",4.43372597124482e-05,0.0539494345759608,1,1,0.0237812479161304
"Gm20754",4.50118257087642e-05,-0.311020368910943,0.576,0.695,0.0237812479161304
"mt-Co3",5.818192950351e-05,0.0474308967526489,1,1,0.0286721030834978
"Gm28379",6.15048268037176e-05,0.255148208316478,0.237,0.091,0.0286721030834978
"Sorcs1",7.17721021974249e-05,0.234290353149093,0.173,0.049,0.0315996616619218
"Adarb1",7.97712031813685e-05,-0.226109431312031,0.129,0.313,0.0332729886953866
"mt-Nd1",8.92955533362736e-05,0.0723640379995993,1,0.996,0.0353833630094984
"Stmn1",0.000148399554419088,-0.092464940409843,1,0.996,0.0548853606139978
"Ube2m",0.000152363146183969,-0.239147922691499,0.187,0.366,0.0548853606139978
"Gm47283",0.000271414726159568,-0.232673241380064,0.576,0.741,0.093520074122373
"Tubb3",0.000321784480448394,-0.163997876275038,0.856,0.926,0.106255916981397
"Zfp871",0.000339213898911112,-0.202736411480043,0.151,0.313,0.107530805954823
"Mllt11",0.000364545877007055,-0.23711567465024,0.518,0.671,0.111116387510804
"Ptch1",0.000398050895102422,0.189465251169241,0.173,0.062,0.116835309025433
"Ccdc88a",0.000477092578907323,-0.238945855172461,0.554,0.753,0.135034238851448
"Lrrc7",0.000506906816458476,-0.131275495315265,0.906,0.975,0.138525397256325
"Grik2",0.000570323226537601,-0.165461442137887,0.835,0.893,0.150660385677016
"Cd200",0.000607146831977694,-0.244967203958299,0.273,0.424,0.152095578551305
"2210016L21Rik",0.00061413987553839,-0.213351125437806,0.165,0.325,0.152095578551305
"Rsf1os1",0.000658559853303706,0.22913820758667,0.295,0.16,0.158154146588844
"Zfp704",0.000720540938845031,-0.208901536095597,0.59,0.749,0.161238246478885
"Traf3ip2",0.000724343745437614,0.218975190682437,0.41,0.247,0.161238246478885
"Rbm39",0.000732438722175374,-0.160080696135163,0.799,0.893,0.161238246478885
"Stk25",0.000767755591992608,-0.1946900179069,0.165,0.329,0.162357995924529
"mt-Nd2",0.000778498907903105,0.0740533244579691,1,0.992,0.162357995924529
"Trps1",0.000938669310733039,-0.284166814233944,0.381,0.564,0.190742417629727
"Dhx32",0.000968532754884165,-0.122749703591787,0.022,0.119,0.191890552061425
"Eif3f",0.00101591217841696,-0.23894352487393,0.252,0.416,0.195299091156563
"Atp6v0c",0.00103502357458368,-0.218398390982303,0.525,0.675,0.195299091156563
"Hmgcs1",0.00118030375631804,-0.217521941946742,0.331,0.506,0.217532727181871
"Tdrd3",0.00122119909014613,-0.219169275670383,0.223,0.383,0.218744833479785
"Bloc1s4",0.00126624541506272,-0.131995807337851,0.029,0.128,0.218744833479785
"Kctd16",0.00131848675803007,0.136401911857461,0.165,0.062,0.218744833479785
"Actb",0.00133077245979845,-0.1337879410967,0.935,0.967,0.218744833479785
"Ythdc1",0.00137393431291903,-0.216844202535107,0.439,0.58,0.218744833479785
"Cct3",0.00140895543673777,-0.215600609348585,0.273,0.436,0.218744833479785
"Nalcn",0.00142420787388568,-0.16463063075895,0.05,0.16,0.218744833479785
"Eid1",0.00144910465162532,-0.222185208651659,0.381,0.535,0.218744833479785
"Rpl37",0.00145385830536951,-0.161085509786821,0.77,0.807,0.218744833479785
"Ndufa8",0.00146461146646431,-0.167132307781635,0.144,0.292,0.218744833479785
"Sec61a2",0.00149050107355311,-0.197903769409481,0.245,0.407,0.218744833479785
"Mir100hg",0.00157498049472298,0.100182219103534,0.986,0.971,0.221514840326606
"G3bp1",0.00161296118111984,-0.21317118404738,0.295,0.457,0.221514840326606
"Ttc3",0.00164034768064814,-0.0970208481132415,0.935,0.959,0.221514840326606
"Grpel1",0.00164802620814777,-0.170876341599592,0.108,0.239,0.221514840326606
