"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81"
"HALLMARK_TGF_BETA_SIGNALING","0.272727272727273","0.650981598236711","0.227987202850442","0.329776893410333","1.07334865545105","32","Arid4b","Pmepa1","Rab31","Ski","Hdac1","Hipk2","Sptbn1","Xiap","Smurf1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.470588235294118","0.737238926215304","0.140406238523342","0.317093037261812","0.960913337093902","19","Capn2","Sh2b2","Lrp1","Ctsb","Lta4h","Mmp14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.477064220183486","0.737238926215304","0.195789002148949","0.251309953588454","0.858307298530631","63","Btg3","Wee1","Cdc25b","Tgfb2","Hmgb2","Bcl10","Mcl1","Vdac2","Nedd9","Ank","Xiap","Bcl2l11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.513368983957219","0.737238926215304","0.140406238523342","0.296642971625919","0.929691075047568","22","Ptch1","Skp2","Cul1","Frat1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.807692307692308","0.891375468209189","0.219250346703755","0.242326566242924","0.724566650337539","130","Rab3gap1","Cenpe","Rabgap1","Clasp1","Rfc1","Cdc27","Tubgcp3","Cenpf","Arhgap5","Csnk1d","Myh10","Nf1","Tubgcp5","Sptbn1","Cd2ap","Nedd9","Kif3c","Sun2","Kif5b","Fscn1","Bcl2l11","Kptn","Ssh2","Trio","Plekhg2","Rasa1","Arfgef1","Clip2","Pafah1b1","Tsc1","Myo1e","Mid1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.938063063063063","0.938063063063063","0.0204893625108019","-0.238985075029702","-0.69065331233994","53","Sod1","Dhcr24","Fdps","Hras","Ctbp1","Prdx1","Gnpat","Pex2","Scp2","Acsl4","Pex6","Hmgcl","Prdx5","Sod2","Sema3c","Slc25a4","Ywhah","Top2a","Msh2","Siah1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.935447338618347","0.938063063063063","0.0210003441275487","-0.242129178140737","-0.698976543026855","54","Aplp1","Cdh2","Cap2","Copa","Slit2","Pfn2","Edil3","Basp1","Col4a1","Vcan","Dst","Cdh11","Igfbp2","Slit3","Tpm4","Spock1","Ntm","Jun","Fermt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.932146829810901","0.938063063063063","0.0201218228563507","-0.238569084885188","-0.709072230003515","67","Sybu","Fos","Tubb2b","Mapt","Deptor","Fkbp4","Mast4","Ablim1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.897637795275591","0.938063063063063","0.0230116943194552","-0.247204681461405","-0.721411117981508","56","Kif5c","Btbd3","Cpe","Ammecr1","Rabgap1l","Sdccag8","Atg10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.820065430752454","0.891375468209189","0.0262543396498271","-0.26575951354726","-0.811878933110122","82","Actb","Gnai1","Ppp2r2c","Mapk11","Ctnnd1","Myh9","Cadm3","Hras","Cntn1","Ptk2","Adam23","Gnai2","Slit2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
