"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",2.95284015043452e-11,1.17949443930714,0.571,0.089,2.60558614874342e-07
"Tsix",7.28494690248962e-08,0.47132491132411,0.327,0.011,0.000321411857337842
"Gm47167",5.76743852292486e-06,0.439810067845849,0.347,0.056,0.0169639591754297
"Eif2s3y",3.13995867450543e-05,-0.497565555755768,0.02,0.322,0.0611422768726926
"Fam160a2",3.46454424709274e-05,0.301198161297767,0.245,0.022,0.0611422768726926
"Itga1",9.6980806431493e-05,-0.275498877036696,0.796,0.933,0.126548247909186
"Uty",0.000100389589229862,-0.507394543224107,0.061,0.344,0.126548247909186
"Pard6g",0.000172495262560914,0.305224274606397,0.347,0.089,0.190262274604688
"Kcnj8",0.000256448722035972,-0.381637330237334,0.653,0.9,0.243122263557196
"Smc5",0.000311501226557005,0.337739491049082,0.51,0.189,0.243122263557196
"Phf7",0.00032832049802985,0.233280386249351,0.224,0.033,0.243122263557196
"Arhgap20",0.000348968741588673,0.280501826909467,0.245,0.044,0.243122263557196
"Mplkip",0.000382204336995938,0.239765400275106,0.245,0.044,0.243122263557196
"Dhx38",0.000385733419061734,0.206502177784396,0.224,0.033,0.243122263557196
"Cnn3",0.000414270953921833,0.406436978842853,0.694,0.344,0.243701793160417
"Mrpl45",0.000452424388957996,0.212140952968853,0.224,0.033,0.249512050510335
"Abtb1",0.000497451693755486,0.197198210005749,0.224,0.033,0.258206690923436
"Mfap2",0.000612761564827323,0.337433594651212,0.857,0.6,0.291587438054046
"Ext1",0.000677484310094557,0.424091540679659,0.388,0.144,0.291587438054046
"Nkapl",0.000740310735877876,0.138499593241441,0.122,0,0.291587438054046
"Emx2",0.000740310735877876,0.0998208465776448,0.122,0,0.291587438054046
"Zc2hc1a",0.000749899904744393,0.317691370790829,0.367,0.122,0.291587438054046
"Sfrp1",0.000760030720222468,0.249745025492171,0.184,0.022,0.291587438054046
"Ppib",0.000844029956822132,-0.295165893640766,0.673,0.822,0.303646389816713
"Mrps9",0.000860285555917704,0.285995596292975,0.286,0.078,0.303646389816713
"Ccdc90b",0.000941600883385615,0.295030165594104,0.306,0.089,0.319564853653641
"Gas2",0.000996154332698355,0.197174432922019,0.184,0.022,0.325557993767788
"Creb5",0.00104409360800849,0.336861564048836,0.224,0.044,0.329038642752391
"Cul4a",0.00109964441707824,0.321475929890091,0.49,0.2,0.334595252975807
"Cebpd",0.0011492401391576,0.336487857832785,0.551,0.233,0.338029832930889
"2900093K20Rik",0.00120607684510927,0.192010431912876,0.224,0.044,0.342965307258487
"Paics",0.00130487675666271,0.217027296322917,0.245,0.056,0.342965307258487
"Vegfb",0.00130716674503632,0.262866757850438,0.347,0.111,0.342965307258487
"Lhfpl2",0.00134718672728697,0.199085862024548,0.143,0.011,0.342965307258487
"Nrn1",0.00139922382834378,0.164226471548648,0.143,0.011,0.342965307258487
"Tbc1d31",0.00139922382834378,0.177298368534324,0.143,0.011,0.342965307258487
"Flnc",0.00150890061888359,0.152909077541724,0.143,0.011,0.345893636058776
"Rasgef1b",0.00151941381195884,0.210897853506173,0.265,0.067,0.345893636058776
"Zfp445",0.0016636561106154,0.319021079419427,0.49,0.222,0.345893636058776
"Anapc13",0.00200536870886938,0.290716614283723,0.306,0.1,0.345893636058776
"Arf4",0.00206400439527455,0.365479628747447,0.735,0.444,0.345893636058776
"H2afx",0.00206660049982329,0.275561842980941,0.347,0.122,0.345893636058776
"Xab2",0.00210676651072884,0.24360375380778,0.224,0.056,0.345893636058776
"Slf2",0.00211524114593284,0.314869857761112,0.367,0.144,0.345893636058776
"Pik3cd",0.00211729250465618,-0.344110923963333,0.388,0.611,0.345893636058776
"Gm12758",0.00215595534714786,0.15731314459133,0.102,0,0.345893636058776
"Gm29642",0.00215595534714786,0.118394998822778,0.102,0,0.345893636058776
"Mpzl3",0.00215595534714786,0.112203047620335,0.102,0,0.345893636058776
"Sox21",0.00215595534714786,0.14834910222871,0.102,0,0.345893636058776
"Celsr1",0.00215595534714786,0.177321902734089,0.102,0,0.345893636058776
"Gm15564",0.00215595534714786,0.150074794944677,0.102,0,0.345893636058776
"Sidt1",0.00215595534714786,0.210583216528707,0.102,0,0.345893636058776
"4833418N02Rik",0.00215595534714786,0.121721927293522,0.102,0,0.345893636058776
"Gm5820",0.00215595534714786,0.112337050115496,0.102,0,0.345893636058776
"Pgm5",0.00215595534714786,0.164050854205484,0.102,0,0.345893636058776
"Cachd1",0.00226915607174927,0.314821122023036,0.429,0.178,0.353023620545967
"Pisd",0.00229585628259796,0.265967745260393,0.347,0.122,0.353023620545967
"Mfsd14a",0.00232041817675273,0.277207634677572,0.388,0.144,0.353023620545967
"Cirbp",0.00237309302707197,0.304954604485837,0.551,0.267,0.354918184252255
"Zfp316",0.00261860127856709,0.20276868029823,0.184,0.033,0.381870438838649
"Rbm39",0.00263985684147298,-0.170810297337552,0.939,0.967,0.381870438838649
"Jpx",0.00280168111442614,0.256051371891348,0.245,0.067,0.384642987512705
"Cdca3",0.00281504698178264,0.192703103842074,0.224,0.056,0.384642987512705
"Pdlim5",0.00286066573608156,0.219722611772024,0.306,0.1,0.384642987512705
"Cdon",0.0028891823801693,0.23278770450932,0.224,0.056,0.384642987512705
"Ddx3y",0.00289195706502459,-0.312562276152075,0.02,0.2,0.384642987512705
"Rpl28",0.00292056665495821,0.254641968797983,0.918,0.789,0.384642987512705
"Zfp511",0.00308888640096438,0.21397095720716,0.204,0.044,0.396159843987251
"Pten",0.00309780476372624,-0.216994391040591,0.837,0.922,0.396159843987251
"Mmaa",0.00317455825575479,0.200522531274625,0.204,0.044,0.398184304111846
"Gm1976",0.00320388549319368,0.191899947850739,0.224,0.056,0.398184304111846
"Gcsh",0.00326239055350301,0.16954579866067,0.204,0.044,0.399824086723758
"Xpo5",0.00340096962870588,0.208350277084697,0.265,0.078,0.407015226789689
"Lpar1",0.0034133189916633,0.223516394057144,0.184,0.033,0.407015226789689
"Nae1",0.00349343837823239,0.247972870727316,0.347,0.133,0.411014669993635
"Hspb11",0.00360300331684885,0.219104287768209,0.286,0.089,0.416405494974686
"Hsph1",0.0036336381587773,0.238084524093916,0.388,0.144,0.416405494974686
"Cpe",0.00376631049029915,0.236445778072163,0.286,0.089,0.426075945723074
"Fndc3a",0.00384125887385388,0.284506686652075,0.612,0.333,0.42612182075369
"Hmcn1",0.00391158969640173,0.266608587907948,0.122,0.011,0.42612182075369
"Gstm1",0.00391158969640173,0.166445086575903,0.122,0.011,0.42612182075369
"Steap3",0.00405859813138496,0.142443457834809,0.122,0.011,0.431482770016155
"Gm43376",0.00405859813138496,0.178891020117791,0.122,0.011,0.431482770016155
"Vegfc",0.00421060419318714,0.173712178781738,0.122,0.011,0.44231394524623
