"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61"
"HALLMARK_HYPOXIA","0.015753613457526","0.367104656523744","0.352487857583619","0.441219515871595","1.38920488485055","117","Ext1","P4ha2","Ppp1r3c","Dcn","Slc6a6","Pgm1","Ddit3","Ccn1","Bcl2","Large1","Cp","Foxo3","Jun","Bhlhe40","Ppp1r15a","Klf6","Pgk1","Akap12","Atf3","Hk2","Irs2","Maff","Mxi1","Vhl","Siah2","Egfr","Fos","Slc2a1","Gpc3","Tiparp","Ccn2","Cavin3","Mif","Ilvbl","Csrp2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_E2F_TARGETS","0.0274390243902439","0.367104656523744","0.276500599254472","0.429870710307572","1.35513619292617","127","Paics","Cdca3","Pold1","Cks1b","Xrcc6","Cdc20","Mcm4","Psip1","Ube2s","Bub1b","Rfc3","Hells","Nbn","Mcm5","Luc7l3","Nap1l1","Ilf3","Dctpp1","Asf1a","Spc24","Dut","Aurka","Mcm6","Ssrp1","Prdx4","Zw10","Pole","Rpa2","Tipin","Mybl2","Tra2b","Cenpe","Ezh2","Top2a","Trp53","Prim2","Nup107","Ctcf","Lmnb1","Lig1","Rpa1","Exosc8","Pds5b","Ranbp1","Msh2","Pold2","Cdca8","Ccnb2","Brca1","Stmn1","Srsf1","Pnn","Hmgb2","Naa38","Brca2","","","","","",""
"HALLMARK_MTORC1_SIGNALING","0.0364372469635627","0.367104656523744","0.237793834423688","0.417628109656205","1.31827160671936","135","Etf1","Ppa1","Nfyc","Slc6a6","Pgm1","Ddit3","Cacybp","Phgdh","Mcm4","Elovl6","Gga2","Bhlhe40","Ppp1r15a","Ppia","Pgk1","Elovl5","Canx","Eef1e1","Ifrd1","Hk2","Acaca","Aurka","Shmt2","Txnrd1","Psma4","Serp1","Pitpnb","Slc2a1","Slc7a5","Plod2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.0404040404040404","0.367104656523744","0.224966093540314","0.404566652474684","1.28619458730108","153","Pdlim5","Pcnt","Clip2","Bin1","Dock4","Gsn","Palld","Sac3d1","Myh10","Csnk1d","Katna1","Rabgap1","Kifap3","Wasf1","Trio","Dync1h1","Tubgcp2","Fscn1","Nin","Notch2","Stk38l","Ophn1","Stau1","Mid1","Wasf2","Pxn","Arap3","Aurka","Cdk5rap2","Dynll2","Ralbp1","Pkd2","Kif5b","Numa1","Fgd4","Ezr","Nf1","Cenpe","Rasal2","Dst","Lrpprc","Top2a","Atg4b","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.0481171548117155","0.367104656523744","0.208955027549354","0.435668143968718","1.32903221506944","88","Cpe","Cxcl12","Kif20a","Cdc20","Tob1","Mdk","Bcl2","Fkbp5","Large1","Etfb","Elovl5","Olfm1","Slc24a3","Celsr2","Chpt1","Igfbp4","Arl3","Siah2","Ptges","Fos","Fkbp4","Abca3","Slc7a5","Klf4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.0563086548488008","0.367104656523744","0.191892240384838","0.421448990236813","1.29757830462544","98","Celsr1","Cxcl12","Rara","Tob1","Bcl2","Fkbp5","Bhlhe40","Syngr1","Mpped2","Nav2","Elovl5","Olfm1","Slc24a3","Celsr2","Chpt1","Igfbp4","Bcl11b","Arl3","Siah2","Ptges","Fos","Fkbp4","Slc2a1","Abca3","Slc7a5","Klf4","Tiparp","Nbl1","Rhod","Adcy9","Tmem164","Retreg1","Wwc1","Bag1","Endod1","Unc119","Igf1r","Hes1","Slc39a6","Lrig1","Flnb","Mapt","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.0625","0.367104656523744","0.186432558434075","0.474924028006663","1.35239713521846","49","Phf7","Mllt10","Parp2","Csnk2a2","Rfc4","Topbp1","Gstm5","Aurka","Jam3","Scg5","Mast2","Scg3","Ezh2","Zc3h14","Agfg1","Gmcl1","Arl4a","Chfr","Phkg2","Ide","Ccnb2","Dcc","Tsn","Psmg1","Pias2","Ift88","Hspa2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.0630722278738555","0.367104656523744","0.178219874951973","0.404541590826892","1.27343574852901","115","Sfrp1","Vegfc","Msx1","Col1a1","Cxcl12","Aplp1","Fn1","Dcn","Ptx3","Dab2","Lama1","Ccn1","Pmp22","Tgfbr3","Jun","Notch2","Cthrc1","Slit2","Pdlim4","Igfbp4","Postn","Rgs4","Plod2","Fbn2","Dpysl3","Col1a2","Ccn2","Basp1","Gas1","Cdh6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL2_STAT5_SIGNALING","0.0674273858921162","0.367104656523744","0.173747838999571","0.418151757098345","1.28661861934775","95","Aplp1","Syt11","Ptrh2","Bcl2","Bcl2l1","Plagl1","Bhlhe40","Amacr","Klf6","Alcam","Gpx4","Odc1","Gabarapl1","Mapkapk2","Ccnd2","Hk2","Maff","Ckap4","Ahnak","Praf2","Enpp1","Cyfip1","Lrrc8c","Phtf2","Plscr1","Ndrg1","Plec","Prnp","Ptch1","Uck2","Huwe1","Gadd45b","Pnp","Arl4a","Map6","Rabgap1l","Casp3","Ifngr1","Twsg1","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.0761548064918851","0.373158551810237","0.179782316298324","0.583672854381072","1.38519921455657","16","Pax6","Srprb","Dcx","Chga","Mafb","Lmo2","Spcs1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.125638406537283","0.513023493360572","0.122107920287081","0.389432494283867","1.21898777070099","107","Cebpd","Pdlim5","Ptx3","Junb","Bcl6","Ccn1","Nr4a2","Jun","Bhlhe40","Plk2","Ppp1r15a","Klf6","Klf9","Plpp3","Abca1","Nfkbia","Atf3","Irs2","Rel","Maff","Socs3","Zbtb10","Nr4a1","Yrdc","Fos","Klf4","Tiparp","Ninj1","Sqstm1","Sik1","Nr4a3","Tank","Cebpb","Gadd45b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_DN","0.193449334698055","0.685185185185185","0.0946646223153342","0.372429739234676","1.1634944732036","109","Pdlim5","Cdon","Lpar1","Col1a1","Dab2","Ccn1","Bmpr1a","Pmp22","Tgfbr3","Bhlhe40","Map1b","Kalrn","Schip1","Plpp3","Notch2","Tgfbr2","Fzd2","Atrx","Adgrl2","Bckdhb","Nek7","Rgs4","Zmiz1","Col1a2","Ddah1","Sipa1l1","Cdk13","Ythdc1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.195767195767196","0.685185185185185","0.0959206777921745","0.397803275237928","1.18727323379215","71","Pdlim5","Pgm3","Xrcc6","Ube2j1","Fkbp5","Dnajb9","Slc38a2","Elovl5","Akap12","Iqgap2","Zbtb10","Rps6ka3","Srp19","Myl12a","Zmiz1","Adamts1","Ndrg1","Uap1","Selenop","Rab4a","Actn1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_UP","0.210362694300518","0.687184801381693","0.0905428948469474","0.372113811957534","1.15113853425461","100","Msx1","Mapk8ip2","Dgat1","Clcn2","Junb","Gls","Amd1","Parp2","Ntrk3","Prkcd","Hnrnpu","Cdc5l","Rfc4","Nfkbia","Atf3","Olfm1","Grina","Stard3","Eif2s3x","Ap2s1","Ppp1r2","Nr4a1","Fos","Fkbp4","Mark2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.238151658767773","0.709508881922675","0.0911073131586733","0.463605301135018","1.18418530351602","23","Celsr1","Tle3","Hey1","Ophn1","Nrp2","Cdk5r1","Nf1","Ptch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_DNA_REPAIR","0.248219735503561","0.709508881922675","0.080419996876154","0.354696270495048","1.1164456629937","119","Pold1","Clp1","Sac3d1","Polb","Rfc3","Cox17","Nfx1","Polr2c","Gpx4","Dgcr8","Rfc4","Vps28","Polr2e","Dut","Itpa","Taf10","Rae1","Ercc5","Ssrp1","Supt5","Polr1c","Gtf2f1","Ercc1","Rpa2","Polr2g","Vps37d","Hprt","Vps37b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT","0.266194331983806","0.709508881922675","0.0764767053228531","0.349145689876297","1.1022587060155","139","Cul4a","Cks1b","Efna5","Cul5","Amd1","Cdc20","Katna1","Ube2s","Tle3","Lig3","Mcm5","Smc2","Odf2","Notch2","Odc1","Hnrnpu","Ilf3","Atrx","Aurka","Mcm6","Slc7a5","Kif5b","Pole","Numa1","E2f1","Rpa2","Meis2","Ythdc1","Mybl2","Tra2b","Cenpe","Rasal2","Ezh2","Uck2","Top2a","Prim2","Fancc","Ctcf","Lmnb1","Chaf1a","Pds5b","Dtymk","Chmp1a","Ccnb2","Nusap1","Cul1","Stmn1","Nsd2","Upf1","Ube2c","Srsf1","Tpx2","Prmt5","Ncl","Brca2","Casp8ap2","Ccnt1","Mapk14","","",""
"HALLMARK_MYOGENESIS","0.288259958071279","0.709508881922675","0.0741758965588009","0.365388341949559","1.10989664995023","84","Cnn3","Col1a1","Ppp1r3c","Bin1","Gsn","Tsc2","Large1","Aebp1","Bhlhe40","Schip1","Akt2","Nav2","Sh2b1","Ifrd1","Hdac5","Dapk2","Pdlim7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
