"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.026012262312243","0.37375415282392","0.352487857583619","0.668451351735566","2.00018928278911","51","Jun","Klf6","Ier2","Plk2","Marcks","Dusp1","Fos","Tiparp","Ldlr","Btg3","Sqstm1","Fjx1","Mcl1","Sgk1","Btg1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.0385109719147625","0.37375415282392","0.321775918075361","0.738363069756331","1.70577315777946","13","Jun","Ptpn2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.0474323421259635","0.37375415282392","0.321775918075361","0.513062396003973","1.62377488341526","71","Jun","Klf6","Dusp1","Fos","Tiparp","Errfi1","Xpnpep1","Slc6a6","Gpc4","Btg1","Kdm3a","Ddit4","Mxi1","Slc2a1","Csrp2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.0523255813953488","0.37375415282392","0.276500599254472","0.529184239399785","1.59416592024531","54","Jun","Hmgb2","Psen1","Btg3","Sqstm1","Bcl2l1","Mcl1","Add1","Sptan1","Slc20a1","Btg2","Rnasel","Pdcd4","Nedd9","Ccnd2","Ptk2","Dnm1l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.0779727095516569","0.433181719731427","0.224966093540314","0.429431176647711","1.37700535417421","79","Jun","Cdh13","Plk2","Tob1","Fos","Jag2","Dnttip2","Elp1","Btg1","Ddit4","Zmat3","Slc3a2","Kif13b","Btg2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.116935483870968","0.542406311637081","0.184706471207739","0.571829396591722","1.37721084589964","15","Psme1","Adar","Ogfr","Trim26","Nub1","Cmtr1","Cd47","Trafd1","Ly6e","Mvb12a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.164092664092664","0.631125631125631","0.150169802128406","0.37504628987632","1.20926116748256","80","Ctsb","Mark3","Mboat2","Dcaf10","Nudt4","Ubac1","Top1","Add1","Slc30a10","Mxi1","Kdm7a","Sdcbp","Gapvd1","Btg2","Slc2a1","Trak2","Rnf19a","Sec14l1","Slc11a2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","0.199596774193548","0.670816044260028","0.138022242496643","0.430851691543336","1.20171962898605","34","Klf6","Psen1","Pcdh7","Ldlr","Slc31a1","Adrm1","Btg2","Slc11a2","Hif1a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.230769230769231","0.677257525083612","0.12563992130984","0.369285458562416","1.13074283077895","61","Tob1","Slc7a5","Fos","Tiparp","Flnb","Med13l","Xbp1","Rbbp8","Slc1a4","Elovl5","Slc2a1","Sybu","Jak2","Rps6ka2","Rab31","Elovl2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.287671232876712","0.677257525083612","0.110122263835536","0.355415601083373","1.07611947030395","56","Cdh13","Psen1","Ctsb","Prcp","Dock9","Xpnpep1","Pik3ca","Fn1","Rnf4","Jak2","Pclo","Cd46","Vcpip1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT","0.311538461538462","0.677257525083612","0.103958471559957","0.314505718832963","1.04754805544194","96","Marcks","Slc7a5","Bub3","Mapk14","Nup98","Tra2b","Mtf2","Srsf2","Top1","Foxn3","Nolc1","Prim2","Hnrnpu","Cks2","Tle3","Arid4a","Nsd2","Ube2s","Dtymk","Numa1","Hif1a","Smc2","Rad21","Tent4a","Gspt1","Sap30","Cenpf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.373776908023483","0.752556237218814","0.0940503465727813","0.332745071891504","1.01613211036102","59","Tob1","Slc7a5","Fos","Btg3","Flnb","Xbp1","Sgk1","Rbbp8","Slc1a4","Elovl5","Pdcd4","Jak2","Rps6ka2","Rab31","Hspa4l","Rabep1","Abca3","Bag1","Large1","Itpk1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.376278118609407","0.752556237218814","0.096240602328129","0.432113567769918","1.05130156214827","16","Sh2b2","Ctsb","Fn1","Arf4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.486761710794297","0.763315616872102","0.0815265143256594","0.351556306001016","0.951568885620427","28","Ldlr","Fads2","Errfi1","Pcyt2","Hmgcr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
