"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",9.18875131023051e-10,1.73989080994452,0.865,0.083,8.95535702695066e-06
"Kdm5d",1.34270347696013e-05,-0.385177785946161,0,0.333,0.0654299404322671
"Eif2s3y",2.96697695482656e-05,-0.497502679016462,0.135,0.583,0.0750658503512379
"Cntn5",3.08088858408528e-05,-0.620772860278753,0.731,0.958,0.0750658503512379
"Usp39",5.27902223559731e-05,-0.226989940004436,0,0.292,0.0858703517736206
"Sparcl1",5.47144220707249e-05,-0.563409192978,0.308,0.792,0.0858703517736206
"Tsix",6.16758118628509e-05,0.705470083438702,0.481,0,0.0858703517736206
"Arid5b",0.000132276712255554,-0.534821623292409,0.173,0.625,0.151699373928982
"Lonp1",0.000140302816745696,-0.292549672924004,0.038,0.375,0.151699373928982
"Cnnm1",0.000188024462105288,-0.336409288737331,0.038,0.375,0.151699373928982
"3110009E18Rik",0.000202348846816823,-0.237913404090963,0,0.25,0.151699373928982
"Arhgef37",0.000202348846816823,-0.224345626579501,0,0.25,0.151699373928982
"B230217O12Rik",0.000202348846816823,-0.243096072589792,0,0.25,0.151699373928982
"Dpysl3",0.000298708542720752,-0.308576768453656,0.865,1,0.207943818382604
"Stard4",0.000402011010813977,-0.303799740691397,0.058,0.375,0.245757030118901
"Phrf1",0.000403459109573406,-0.412973381826818,0.288,0.75,0.245757030118901
"Higd2a",0.000471708839802206,-0.296871919617655,0.096,0.458,0.269197477204813
"Igfbpl1",0.000497183930811269,0.403670683380221,0.942,0.833,0.269197477204813
"Slc35f2",0.000555411132728928,-0.259359597203085,0.038,0.333,0.27243480536667
"Adck5",0.000559069988439708,-0.304102719604365,0.058,0.375,0.27243480536667
"Gm36388",0.000758965032332259,-0.180934732742697,0,0.208,0.324485287904094
"Fth1",0.000772719433016586,-0.52977484010321,0.5,0.833,0.324485287904094
"Rgs6",0.000799116418089628,0.584213690384407,0.75,0.458,0.324485287904094
"Brd3",0.000817665840220626,-0.44581913600574,0.404,0.833,0.324485287904094
"Cdkl1",0.000939028902224997,-0.286241353679436,0.096,0.458,0.324485287904094
"Dctn2",0.000977024722162225,-0.412953299554291,0.365,0.792,0.324485287904094
"Nup43",0.000981246066224512,-0.321144781974283,0.077,0.375,0.324485287904094
"Ttc4",0.000985520700355821,-0.363463751585157,0.346,0.75,0.324485287904094
"Atp6ap1",0.000985997430537449,-0.427271687018128,0.25,0.625,0.324485287904094
"Timm10b",0.0010235698397341,-0.355437456295851,0.212,0.583,0.324485287904094
"Rpl14",0.00103212024677067,-0.453745707484494,0.462,0.833,0.324485287904094
"Eno2",0.00118897924679493,-0.303515239705458,0.058,0.333,0.343738168676244
"Ttpal",0.00121200601824978,-0.279448397385378,0.038,0.292,0.343738168676244
"Arhgef9",0.00123203457400395,-0.419415058392399,0.385,0.75,0.343738168676244
"Adcy3",0.00123443832379115,0.388121778468079,0.346,0,0.343738168676244
"Hcn3",0.00132418855761443,-0.238451036738309,0.077,0.375,0.344869964874589
"Gprin1",0.00133516164283406,-0.389787713843719,0.135,0.458,0.344869964874589
"Mrps24",0.00134466023653133,-0.380612514795705,0.115,0.417,0.344869964874589
"Grb14",0.0013858988490913,-0.426222852194212,0.173,0.5,0.346140832574483
"Sdha",0.00148475608576025,-0.375135411294484,0.231,0.583,0.346140832574483
"Banf2",0.00149002290464207,-0.326327205207545,0.077,0.375,0.346140832574483
"Spock3",0.00149168017321242,-0.408871502636543,0.038,0.292,0.346140832574483
"Capn7",0.0015361091204528,-0.396588214407531,0.308,0.667,0.348160918324022
"Tmem198",0.00167480780702486,-0.303108585975883,0.077,0.375,0.370969929256007
"Kcnip2",0.00182977553668978,-0.285865368906784,0.038,0.292,0.396288719568413
"Slain2",0.00206953746809196,-0.319857542444295,0.154,0.5,0.42359775632936
"Leng1",0.00208988341895986,-0.276041348501142,0.058,0.333,0.42359775632936
"Gm17178",0.00223703998314691,-0.233335709135282,0.038,0.292,0.42359775632936
