"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67"
"HALLMARK_ANGIOGENESIS","0.0548028503878493","0.456690419898744","0.321775918075361","0.512136114168063","1.56162943952342","14","Itgav","Jag2","Nrp1","Vcan","Pdgfa","Lrpap1","Ccnd2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.296545373135374","0.693730729701953","0.203508959461977","0.234027507620523","1.0574342300995","89","Car12","Inhbb","Nav2","Cxcl12","Farp1","Sybu","Jak2","Kdm4b","Arl3","Fos","Ppif","Rhobtb3","Slc16a1","Elf1","Podxl","Rab31","Nxt1","Bcl11b","Wwc1","Slc39a6","Unc119","Nrip1","Adcy9","Mast4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.4375","0.810185185185185","0.166933848713193","0.307609979163474","1.01781370329627","19","Ifnar1","Cbl","Jun","Cd9","Ptpn11","Pdgfc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.711764705882353","0.957581513137069","0.123257226381337","0.266462751056809","0.872692575404463","18","Mafb","Pcsk2","Abcc8","Srp14","Srp9","Srprb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_SURFACE","0.911111111111111","0.97258883248731","0.122107920287081","0.211679533929423","0.709541785122577","21","Atp8b1","Ncoa6","Crocc","Adam10","Akap7","Atp6v0a4","Sulf2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.97258883248731","0.97258883248731","0.00966564348468499","-0.21232598526724","-0.646001661642266","99","Rchy1","S100a10","Ctsd","Nol8","Kif13b","Zbtb16","Ak1","Sp1","Hdac3","Sesn1","Btg1","Plk2","Tm7sf3","Prmt2","Rack1","Ccnk","Triap1","Ddb2","Xpc","Cd81","Rap2b","Ccng1","Bax","Trafd1","Wrap73","Hras","Cdk5r1","Mdm2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.970438328236493","0.97258883248731","0.0103504582782501","-0.212192227621912","-0.643802221996706","96","Irs1","Actb","Vasp","Ywhah","Cap1","Myh9","Nlgn3","Gnai1","Evl","Thy1","Adam23","Pfn1","Sympk","Akt2","Arpc2","Map4k2","Tro","Tjp1","Mvd","Ptk2","Shroom2","Hras","Crat","Speg","Cd276","Pten","Akt3","Cdh8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","0.959349593495935","0.97258883248731","0.0112106917277743","-0.222257915444041","-0.676356167312094","103","Eno2","Plin2","Bcan","Dusp1","Tes","Scarb1","Mif","Ankzf1","Noct","Bcl2","Myh9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.9296875","0.97258883248731","0.0204893625108019","-0.243182921851042","-0.637033400405711","28","Rabif","Mmp11","Lrp1","Sh2b2","Lta4h","Gng12","Crip2","Clu","Trf","Fyn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.914609053497942","0.97258883248731","0.0161937051076875","-0.244562111562939","-0.72140000437911","71","Map3k7","Eif4e","Mapk10","Prkaa2","Prkcb","Ap2m1","Acaca","Tsc2","Cdk4","Prkar2a","Pfn1","Gsk3b","Raf1","Sqstm1","E2f1","Pikfyve","Akt1","Hras","Actr2","Pten","Cdkn1b","Mapk9","Mapk1","Camk4","Actr3","Rps6ka3","Cab39l","Ralb","Mapkap1","Cltc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.907502569373073","0.97258883248731","0.0166782153543946","-0.247117684762578","-0.734017010140448","80","Homer2","Gale","Scarb1","Rbbp8","Bag1","Bcl2","Add3","Fkbp5","Flnb","Cish","Abca3","Snx10","Rnaseh2a","Dlg5","Slc2a8","Cox6c","Slc29a1","Mapt","Ckb","Olfm1","Idh2","Dynlt3","Amfr","Dhcr7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","0.901960784313726","0.97258883248731","0.0208547494438027","-0.249053403550488","-0.680125079235177","36","Sod1","Ndufs2","Mbp","Ftl1-ps1","Abcc1","Sod2","Ftl1","Gpx4","Lamtor5","Ndufb4","Prnp","Prdx1","Cdkn2d","Prdx2","Stk25","Gclm","Gclc","Ndufa6","G6pdx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.886586695747001","0.97258883248731","0.0219398252709772","-0.258530604621379","-0.702085212902767","35","Bmpr2","Fkbp1a","Map3k7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.876518218623482","0.97258883248731","0.0180135486781383","-0.254412415561065","-0.779812451410836","115","Clcn3","Gde1","Nfe2l1","Dcaf11","Mark3","Hmbs","Gmps","Pgls","Tmcc2","Xk","Dcaf10","Trak2","Sidt2","Usp15","Asns","Sec14l1","Atp6v0a1","Foxj2","Osbp2","Cpox","Rad23a","Ackr1","Gypa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.814049586776859","0.97258883248731","0.0237208606775806","-0.271583638829962","-0.798702791359831","68","Sod1","Cdk7","Ercc1","Ywhah","Siah1a","Pex11b","Acaa1a","Eci2","Abcb9","Vps4b","Abcd3","Sod2","Idh2","Nudt19","Fdps","Slc35b2","Scp2","Cacna1b","Acox1","Aldh9a1","Fads1","Hras","Crat","Prdx1","Hsd17b11","Abcd1","Sema3c","Atxn1","Acot8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.746913580246914","0.957581513137069","0.0280810636309052","-0.28794189001189","-0.84936002305512","71","Sparcl1","Csf2ra","Satb1","Hdac9","Trib2","Pcsk1n","Cdadc1","Gucy1a1","Mmp11","Ptcd2","Cbr4","Mmd","Gfpt2","Adam17","Peg3","Etv5","Akt2","Wdr33","Strn","Yrdc","Ank","Tspan7","Ccser2","Gprc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.746606334841629","0.957581513137069","0.0327971189467838","-0.320836053241582","-0.822545762708076","25","Dpysl2","Rtn1","Myh9","Ophn1","Thy1","Ptch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.742826780021254","0.957581513137069","0.0299906706583812","-0.29989283698737","-0.846354951718719","47","Nr3c2","Sod1","Hsd3b3","Pex7","Abca3","Slc29a1","Abcd3","Pex16","Idh2","Slc35b2","Scp2","Phyh","Aldh9a1","Fads1","Hsd17b11","Abcd1","Atxn1","Gclm","Pecr","Fads2","Idh1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.658084449021627","0.940120641459467","0.0343431191135615","-0.310010668661041","-0.914380458602172","72","Atp6ap1","Sgcd","Mef2c","Hdac5","Agrn","Bag1","Myh9","Eif4a2","Ablim1","Ak1","Psen2","Fkbp1b","Klf5","Tsc2","Mras","Ckb","Sh2b1","Akt2","Scd2","Fdps","Gaa","Pkia","Bin1","Prnp","Crat","Speg","Clu","Gnao1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.649122807017544","0.940120641459467","0.035090109926935","-0.311032289332013","-0.917956771249778","73","Per1","Pdlim5","Nr4a2","Nfkb1","Dusp1","Atp2b1","Klf6","Btg1","Zbtb10","Plk2","Gfpt2","Cebpd","Ifngr2","Dennd5a","Sod2","Mcl1","Myc","Tubb2a","Ldlr","Yrdc","Sqstm1","Nfkbia","Litaf","Birc2","Nfat5","Tank","Il6st","Dnajb4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.649048625792812","0.940120641459467","0.0362254755857254","-0.318199229996301","-0.905878139724464","51","Ccdc106","Nr4a2","Clstn3","Ryr2","Sncb","Zbtb16","Kmt2d","Epha5","Vps50","Cdkal1","Asb7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT","0.644084934277047","0.940120641459467","0.0344919215094074","-0.30710829649116","-0.944842082672591","123","Cul1","Kmt5a","Kif5b","Incenp","Ttk","Nolc1","Srsf2","Gspt1","Pafah1b1","Mnat1","Rad21","Nup50","E2f3","Brca2","Stag1","Prim2","Dtymk","Cdc25b","Odc1","Hif1a","Dkc1","Hspa8","Smc2","Ilf3","Cdk4","Prmt5","Kpnb1","Slc7a1","Traip","Numa1","Myc","Hnrnpu","Casp8ap2","Lmnb1","Sfpq","Nup98","Cbx1","Ncl","Atrx","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
