"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",3.80948167851622e-12,1.13352404177375,0.723,0.198,4.20528682491405e-08
"Ddx3y",7.24273298073393e-11,-0.584466645181243,0.043,0.635,3.99762646871609e-07
"Uty",2.43341636903894e-09,-0.501732462406518,0.064,0.604,8.95416109927361e-06
"Eif2s3y",2.75244496412759e-08,-0.468372888341531,0.021,0.521,7.59605998975112e-05
"Tsix",1.49483347247723e-05,0.305978076686586,0.319,0.052,0.0330029334053522
"Galnt18",4.233011961644e-05,0.362604196997847,0.681,0.344,0.0778803650743135
"Irak2",8.44699598361988e-05,0.330427219230054,0.66,0.323,0.130291793497251
"Kdm5d",9.44228959124929e-05,-0.279417687158823,0.085,0.406,0.130291793497251
"Myzap",0.000119773993902323,0.316568149050074,0.532,0.229,0.146909457631972
"Gm2087",0.000257100724193208,0.123276955877541,0.17,0.01,0.283813489436882
"Sfrp2",0.000375366487304717,0.0646056733836203,0.128,0,0.301880786197618
"Vipas39",0.000390952630328533,0.226273896640528,0.489,0.219,0.301880786197618
"Babam1",0.000425605668308684,0.252098037278378,0.723,0.417,0.301880786197618
"Dhx32",0.000449818001867212,0.131979464307363,0.319,0.094,0.301880786197618
"Cap2",0.000452477674936503,0.155120806239081,0.213,0.031,0.301880786197618
"Dph5",0.000478375855526309,0.207163435822556,0.426,0.167,0.301880786197618
"Tfrc",0.000497556229148056,-0.282225044929262,0.851,0.948,0.301880786197618
"Kdm5c",0.000508538157912472,0.272715349844651,0.702,0.396,0.301880786197618
"Ehmt2",0.000519588272285056,0.180773648311344,0.596,0.271,0.301880786197618
"Slco2a1",0.000554336105835143,-0.363432839870708,0.553,0.74,0.305965813615707
"Ly75",0.000714383371781023,-0.340715753332828,0.596,0.802,0.375527525766225
"Rnf144a",0.000750159513436872,0.236694091579658,0.617,0.333,0.376409584946802
"Fgf1",0.000901655000698313,0.0932562294145638,0.17,0.021,0.401030220258547
"Dusp16",0.000935249334572671,0.318220878008144,0.723,0.49,0.401030220258547
"Fchsd2",0.000945882298528442,0.314864097359619,0.872,0.625,0.401030220258547
"Hpcal1",0.000957835233985687,0.242406526606495,0.723,0.427,0.401030220258547
"Comt",0.00116869624229142,0.235578843034617,0.723,0.5,0.401030220258547
"Prnd",0.00117317864950319,0.30235178528534,0.596,0.302,0.401030220258547
"Gm13187",0.00121934036224513,0.0686295614564807,0.106,0,0.401030220258547
"Gm7467",0.00121934036224513,0.0520409210665558,0.106,0,0.401030220258547
"Ankrd61",0.00121934036224513,0.140762169562192,0.106,0,0.401030220258547
"Gm11110",0.00121934036224513,0.0918197174891354,0.106,0,0.401030220258547
"Dtx3",0.00124342733774119,0.16336217110865,0.574,0.281,0.401030220258547
"Ppt1",0.00127020398953669,0.250798891524206,0.574,0.323,0.401030220258547
"Mmp11",0.00127149721071194,0.0757150436604912,0.17,0.021,0.401030220258547
"Kansl1l",0.00149195183244051,0.270964434180484,0.766,0.51,0.457490452175298
"Slc25a45",0.00158831406581837,0.117268712252638,0.298,0.094,0.472170244035909
"Rragc",0.00165960588711922,0.185636351898923,0.617,0.312,0.472170244035909
"Abhd17a",0.00166814380989224,0.277567578498034,0.809,0.646,0.472170244035909
"Ulk4",0.00177124377011599,0.234153222199762,0.404,0.177,0.486083315891392
"Cmip",0.00188089518385281,0.280790276795567,0.723,0.458,0.486083315891392
"Polr2a",0.00188661997203695,0.244935126585315,0.83,0.552,0.486083315891392
"Pde8a",0.00189343079838118,0.187323449703346,0.957,0.875,0.486083315891392
"Zfp428",0.00212691530816171,0.197314478310444,0.553,0.302,0.516341694268468
"Gm15737",0.00214741305144143,0.14796681208316,0.128,0.01,0.516341694268468
"Zbtb21",0.00216189632215895,0.0829586703855802,0.255,0.073,0.516341694268468
"Fam129a",0.00223438692257043,0.208952656623756,0.468,0.208,0.516341694268468
"Samd4",0.00224516725472294,0.180227724315819,0.319,0.125,0.516341694268468
"Pcolce",0.0024088253239178,0.0589944453212695,0.128,0.01,0.532988012946784
"Spsb1",0.00243484595402494,0.259460158894913,0.617,0.406,0.532988012946784
"Gm49267",0.0024803896568744,0.184839989455229,0.319,0.115,0.532988012946784
"Gm15419",0.00259895115354161,0.0710679839935787,0.128,0.01,0.532988012946784
"Nkd2",0.00262316803564746,0.115631915206395,0.255,0.073,0.532988012946784
"Naa20",0.00267869939621306,0.234459768385296,0.681,0.448,0.532988012946784
"Slc12a2",0.00270044738970516,0.266967952932494,0.766,0.552,0.532988012946784
"Slit2",0.0027038072945937,0.168283645507432,0.426,0.188,0.532988012946784
"Amph",0.00301774345837097,0.0862512831266847,0.149,0.021,0.573887907847735
"Ppp2r5d",0.00305384801410972,-0.168469268725282,0.085,0.312,0.573887907847735
"Tcp11l1",0.00311192984950906,0.107218030566229,0.298,0.094,0.573887907847735
"Ankrd33b",0.0031192385606363,0.242057659738954,0.404,0.188,0.573887907847735
"Rara",0.00319193943211803,0.223300716681552,0.468,0.26,0.577636383461491
"Dr1",0.00335489520261238,0.129079180722382,0.426,0.188,0.594163751745559
"Gabrb2",0.00344361234221824,0.0554522972745283,0.149,0.021,0.594163751745559
"Cdc42ep1",0.00344473956986283,0.142632141601181,0.489,0.24,0.594163751745559
"Spin1",0.00361170776074508,0.256758284336992,0.723,0.49,0.607673318038955
"Smim14",0.00367327948489,0.220123802736972,0.787,0.542,0.607673318038955
"Cyp4f16",0.00371260391494195,0.0789876648983364,0.234,0.062,0.607673318038955
"March2",0.00374325442763375,0.2231986232545,0.809,0.573,0.607673318038955
"Spry2",0.00381665437445493,0.0539567002335209,0.213,0.052,0.610609386081276
"Plekhb2",0.00391600274676445,0.0807305245415368,0.213,0.052,0.61524646045561
"Atxn2",0.00398325813615228,0.206750622484061,0.745,0.49,0.61524646045561
"Gria4",0.00401284039793495,0.216021264062028,0.34,0.146,0.61524646045561
"Telo2",0.00410124945371451,0.14188463792363,0.447,0.219,0.620187571500746
"E530011L22Rik",0.00417246147116123,0.0802541487680945,0.17,0.031,0.620388095047309
"Gsap",0.00421497482820438,0.24153673208184,0.362,0.167,0.620388095047309
"Tacc1",0.00427975281710926,0.232718321472509,0.894,0.771,0.62163409668512
"Phospho2",0.00438869473298014,0.0879627450264608,0.298,0.104,0.623170545891139
"Senp5",0.00454045865730834,0.221069180392272,0.745,0.469,0.623170545891139
"4833439L19Rik",0.00466822857772909,0.192913168224719,0.596,0.344,0.623170545891139
"Zfp637",0.00468847964078634,0.155262130980442,0.489,0.25,0.623170545891139
"Slc2a1",0.0047182233751483,-0.140149307601952,0.957,1,0.623170545891139
"Nosip",0.00478215466443792,0.13828461129045,0.489,0.24,0.623170545891139
"Atrn",0.00481016307089922,0.237731155476695,0.681,0.479,0.623170545891139
"Trp53cor1",0.00488563638508131,0.116589931620634,0.34,0.135,0.623170545891139
"Mdm2",0.00488686430321096,0.269684191744039,0.638,0.438,0.623170545891139
"Map3k3",0.00503126561694131,0.200571901881485,0.894,0.771,0.623170545891139
"Gstcd",0.00503575469777059,0.176240785175738,0.426,0.208,0.623170545891139
"Lcor",0.0051008523417132,0.197158029988457,0.872,0.646,0.623170545891139
"Slc2a8",0.00510554169363567,0.167251428647525,0.234,0.073,0.623170545891139
"Slc25a11",0.00511165838765373,0.184504907259475,0.638,0.375,0.623170545891139
"Oaf",0.00513710659263463,0.154114823791683,0.298,0.115,0.623170545891139
"Nucb1",0.00533831113737782,0.178437882138065,0.617,0.385,0.630519401848113
"Kank3",0.00537380194776421,-0.162416705057641,0.915,0.906,0.630519401848113
