"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.0154950167181502","0.72826578575306","0.380730400722792","0.445941246981642","1.34391551763798","116","Cap2","Pcolce","Slit2","Adam12","Fstl1","Cald1","Pdlim4","Wnt5a","Vcan","Tpm1","Serpine1","Fbln2","Mest","Lama1","Itga2","Col11a1","Lama2","Ccn2","Sntb1","Lamc1","Lrp1","Efemp2","Plod2","Bgn","Igfbp2","Mylk","Slit3","Aplp1","Itgb1","Cdh11","Ecm2","Vcam1","Col5a1","Wipf1","Fn1","Fbn2","Gadd45b","Myl9","Htra1","Flna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.106014271151886","0.803563810586421","0.134273452883202","0.401207809571709","1.20903480628428","114","Mmp11","Spry2","Gypc","Bpgm","Cab39l","Zfp277","Gprc5b","Mmp9","Ephb2","Tor1aip2","Itga2","Mmd","Plat","Cpe","Reln","Ammecr1","Prelid3b","Fbxo4","Sdccag8","Apod","Ank","Cbl","Zfp639","Sparcl1","Laptm5","Gucy1a1","Sox9","Yrdc","Igf2","Tfpi","Map3k1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.150559511698881","0.803563810586421","0.109684061970549","0.386360990116818","1.1699017462363","121","Slit2","Exoc4","Mmp9","Itga9","Vcan","Sorbs3","Msn","Itga2","Pik3r3","Cnn2","Cdk8","Fscn1","Gtf2f1","Epb41l2","Lima1","Cap1","Pfn1","Sirpa","Pbx2","Vwf","Map3k20","Ldlrap1","Pkd1","Gnai1","Cadm3","Itgb1","Cdh11","Nectin1","Vcam1","Jam3","Sympk","Stx4a","Vcl","Tial1","Myl9","Actb","Pten","Baiap2","Gamt","Negr1","Tjp1","Map4k2","Bmp1","Mapk11","Myl12b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.195725534308211","0.803563810586421","0.0995791200495904","0.465487128183508","1.22716682198764","32","Ncstn","Ptch1","Axin1","Ncor2","Nkd1","Psen2","Gnai1","Dvl2","Lef1","Numb","Hey1","Notch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.220408163265306","0.803563810586421","0.0870515867946735","0.377167220738687","1.13598716045063","113","Ppp2cb","Cdh13","Usp15","Rhog","Akap10","Gng2","Kcnip3","Ppp4c","Serpine1","Zeb1","Gnb4","Pik3cg","Serpinc1","Calm3","Sh2b3","Plat","Cdk5r1","Lrp1","Cr1l","Casp3","Usp8","Pfn1","Cebpb","Pdgfb","Vcpip1","Ctsh","Sirt6","Usp16","Prss36","Ctsb","Cp","Usp14","Stx4a","Fn1","Rce1","S100a13","Cpq","Zfpm2","Rbsn","Scg3","Rnf4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.234338747099768","0.803563810586421","0.0908241419007155","0.483384749252398","1.20182760222498","22","Stc1","Fstl1","Tnfrsf21","Vcan","Vtn","Kcnj8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.247959183673469","0.803563810586421","0.0806388495950661","0.372404860569907","1.12164344310802","113","Slc2a8","Aff1","Idh2","Slc16a1","Cox6c","Emp2","Rps6ka2","Mest","Rnaseh2a","Fkbp5","Blvrb","Cpe","Elovl5","Rabep1","Gper1","St6galnac2","Ugdh","Jak1","Dusp2","Dynlt3","Ncor2","Dhcr7","Btg3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS","0.304791029561672","0.803563810586421","0.0699458736501659","0.363838833594969","1.0933127369156","108","Ppt1","Rara","Dap","F2r","Bcl2l11","Bnip3l","Cyld","Smad7","Cdkn1b","Plat","Madd","Casp3","Bgn","Bcl2l2","Cdkn1a","Ank","Btg3","Psen2","Mcl1","Dffa","Hmox1","Txnip","Tgfb2","Lef1","Bid","Gpx4","Ddit3","Gadd45b","Slc20a1","Sqstm1","Casp2","Etf1","Ppp3r1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.305154639175258","0.803563810586421","0.0704500850658419","0.366655471214559","1.09106863570969","91","Adam12","Cdh13","Sorbs3","Ocel1","Prnp","Mapk12","Pfkm","Lama2","Nav2","Bin1","Ncam1","Bhlhe40","Plxnb2","Cdkn1a","Apod","Mylk","Ptp4a3","Psen2","Itgb1","Dmd","Igfbp7","Notch1","Gadd45b","Rb1","Ptgis","Cacna1h","Pcx","Chrnb1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.310085836909871","0.803563810586421","0.0716527366829457","0.389998682750326","1.10743995970935","54","Atxn2","Tm7sf2","S100a11","Acss2","Fasn","Antxr2","Pmvk","Dhcr7","Gnai1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
